x y
-1 -0.000628381
-0.999999 -0.00125676
-0.999999 -0.00188514
-0.999997 -0.00251352
-0.999996 -0.0031419
-0.999994 -0.00377028
-0.999991 -0.00439866
-0.999989 -0.00502704
-0.999985 -0.00565541
-0.999982 -0.00628378
-0.999978 -0.00691215
-0.999974 -0.00754052
-0.999969 -0.00816888
-0.999964 -0.00879725
-0.999958 -0.00942561
-0.999952 -0.010054
-0.999946 -0.0106823
-0.999939 -0.0113107
-0.999932 -0.011939
-0.999924 -0.0125673
-0.999916 -0.0131957
-0.999908 -0.013824
-0.999899 -0.0144523
-0.99989 -0.0150806
-0.999881 -0.015709
-0.999871 -0.0163373
-0.99986 -0.0169656
-0.99985 -0.0175939
-0.999838 -0.0182221
-0.999827 -0.0188504
-0.999815 -0.0194787
-0.999803 -0.020107
-0.99979 -0.0207352
-0.999777 -0.0213635
-0.999763 -0.0219917
-0.999749 -0.0226199
-0.999735 -0.0232482
-0.99972 -0.0238764
-0.999705 -0.0245046
-0.99969 -0.0251328
-0.999674 -0.025761
-0.999658 -0.0263891
-0.999641 -0.0270173
-0.999624 -0.0276455
-0.999606 -0.0282736
-0.999589 -0.0289017
-0.99957 -0.0295299
-0.999552 -0.030158
-0.999533 -0.0307861
-0.999513 -0.0314142
-0.999493 -0.0320422
-0.999473 -0.0326703
-0.999452 -0.0332984
-0.999431 -0.0339264
-0.99941 -0.0345544
-0.999388 -0.0351824
-0.999366 -0.0358104
-0.999343 -0.0364384
-0.99932 -0.0370664
-0.999297 -0.0376943
-0.999273 -0.0383223
-0.999248 -0.0389502
-0.999224 -0.0395781
-0.999199 -0.040206
-0.999173 -0.0408339
-0.999148 -0.0414617
-0.999121 -0.0420896
-0.999095 -0.0427174
-0.999068 -0.0433452
-0.99904 -0.043973
-0.999013 -0.0446008
-0.998984 -0.0452286
-0.998956 -0.0458563
-0.998927 -0.046484
-0.998897 -0.0471117
-0.998868 -0.0477394
-0.998837 -0.0483671
-0.998807 -0.0489947
-0.998776 -0.0496224
-0.998744 -0.05025
-0.998713 -0.0508776
-0.99868 -0.0515052
-0.998648 -0.0521327
-0.998615 -0.0527602
-0.998582 -0.0533877
-0.998548 -0.0540152
-0.998514 -0.0546427
-0.998479 -0.0552702
-0.998444 -0.0558976
-0.998409 -0.056525
-0.998373 -0.0571524
-0.998337 -0.0577797
-0.9983 -0.0584071
-0.998263 -0.0590344
-0.998226 -0.0596617
-0.998188 -0.0602889
-0.99815 -0.0609162
-0.998112 -0.0615434
-0.998073 -0.0621706
-0.998033 -0.0627978
-0.997994 -0.0634249
-0.997954 -0.064052
-0.997913 -0.0646791
-0.997872 -0.0653062
-0.997831 -0.0659332
-0.997789 -0.0665603
-0.997747 -0.0671872
-0.997705 -0.0678142
-0.997662 -0.0684411
-0.997619 -0.0690681
-0.997575 -0.0696949
-0.997531 -0.0703218
-0.997486 -0.0709486
-0.997441 -0.0715754
-0.997396 -0.0722022
-0.997351 -0.072829
-0.997305 -0.0734557
-0.997258 -0.0740824
-0.997211 -0.074709
-0.997164 -0.0753356
-0.997116 -0.0759622
-0.997068 -0.0765888
-0.99702 -0.0772154
-0.996971 -0.0778419
-0.996922 -0.0784683
-0.996872 -0.0790948
-0.996822 -0.0797212
-0.996772 -0.0803476
-0.996721 -0.0809739
-0.99667 -0.0816003
-0.996618 -0.0822265
-0.996566 -0.0828528
-0.996514 -0.083479
-0.996461 -0.0841052
-0.996408 -0.0847314
-0.996354 -0.0853575
-0.9963 -0.0859836
-0.996246 -0.0866096
-0.996191 -0.0872357
-0.996136 -0.0878617
-0.99608 -0.0884876
-0.996024 -0.0891135
-0.995968 -0.0897394
-0.995911 -0.0903653
-0.995854 -0.0909911
-0.995797 -0.0916168
-0.995739 -0.0922426
-0.99568 -0.0928683
-0.995622 -0.093494
-0.995563 -0.0941196
-0.995503 -0.0947452
-0.995443 -0.0953707
-0.995383 -0.0959963
-0.995322 -0.0966217
-0.995261 -0.0972472
-0.995199 -0.0978726
-0.995138 -0.0984979
-0.995075 -0.0991233
-0.995013 -0.0997486
-0.99495 -0.100374
-0.994886 -0.100999
-0.994822 -0.101624
-0.994758 -0.102249
