x y
0.864581 0.501901
0.82337 0.56551
0.777464 0.625894
0.727114 0.6827
0.672599 0.735595
0.614224 0.784269
0.552318 0.828434
0.487232 0.867829
0.419337 0.902221
0.349022 0.931406
0.276692 0.955212
0.202763 0.973498
0.127662 0.986158
0.0518225 0.993118
-0.0243161 0.994339
-0.100314 0.989817
-0.175734 0.979582
-0.25014 0.9637
-0.323106 0.942269
-0.394214 0.915419
-0.46306 0.883315
-0.529252 0.846151
-0.59242 0.804149
-0.652208 0.75756
-0.708286 0.706662
-0.760345 0.651753
-0.808102 0.593156
-0.851299 0.531212
-0.889708 0.46628
-0.923128 0.398733
-0.951388 0.328957
-0.974347 0.257348
-0.991896 0.184309
-1.00396 0.110251
-1.01048 0.0355837
-1.01144 -0.0392792
-1.00686 -0.113927
-0.996784 -0.187953
-0.981278 -0.260955
-0.960443 -0.332541
-0.93441 -0.402327
-0.903333 -0.469941
-0.867393 -0.535026
-0.826796 -0.597238
-0.781769 -0.656251
-0.732564 -0.711757
-0.679452 -0.763466
-0.622722 -0.811111
-0.562682 -0.854444
-0.499655 -0.893243
-0.43398 -0.927306
-0.366006 -0.956458
-0.296095 -0.980549
-0.224619 -0.999454
-0.151954 -1.01307
-0.0784865 -1.02134
-0.00460373 -1.0242
0.0693033 -1.02165
0.142843 -1.01368
0.215627 -1.00035
0.287266 -0.981713
0.35738 -0.957861
0.425593 -0.928915
0.491539 -0.895019
0.55486 -0.856345
0.615213 -0.81309
0.672266 -0.765475
0.725707 -0.713746
0.775236 -0.658171
0.820575 -0.599039
0.861467 -0.53666
0.897676 -0.471365
0.928991 -0.403499
0.955223 -0.333426
0.976213 -0.261524
0.991828 -0.188182
1.00196 -0.113801
1.00655 -0.0387888
1.00553 0.0364385
0.998908 0.111462
0.986692 0.185862
0.968937 0.259218
0.945724 0.331114
0.917168 0.401138
0.883417 0.468891
0.844647 0.533979
0.801066 0.596026
0.752912 0.65467
0.70045 0.709567
0.643972 0.760396
0.583794 0.806857
0.520258 0.848676
0.453725 0.885605
0.384574 0.917426
0.313203 0.94395
0.240023 0.965021
0.165456 0.980514
0.0899324 0.99034
0.0138889 0.994443
-0.0622348 0.9928
-0.137999 0.985425
-0.212968 0.972366
-0.286709 0.953703
-0.358801 0.929553
-0.428831 0.900062
-0.496403 0.86541
-0.561133 0.825805
-0.62266 0.781484
-0.680639 0.732711
-0.734751 0.679775
-0.7847 0.622986
-0.830215 0.562677
-0.871052 0.499197
-0.906998 0.432914
-0.937865 0.364207
-0.963499 0.293468
-0.983774 0.221095
-0.998595 0.147497
-1.0079 0.0730832
-1.01165 -0.00173312
-1.00985 -0.0765402
-1.00252 -0.150929
-0.989726 -0.224494
-0.97155 -0.296839
-0.948106 -0.367575
-0.919538 -0.436324
-0.886013 -0.502722
-0.847724 -0.566417
-0.804889 -0.627074
-0.757747 -0.684376
-0.706559 -0.738024
-0.651606 -0.78774
-0.593187 -0.833265
-0.531617 -0.874364
-0.467227 -0.910826
-0.400361 -0.942462
-0.331376 -0.969109
-0.260638 -0.990628
-0.188522 -1.00691
-0.115409 -1.01787
-0.0416855 -1.02344
0.0322582 -1.02361
0.106031 -1.01835
0.179243 -1.00771
0.251504 -0.991721
0.32243 -0.970471
0.391643 -0.944063
0.458771 -0.91263
0.523452 -0.876329
0.585336 -0.835346
0.644084 -0.789889
0.699375 -0.740192
0.750902 -0.686511
0.798376 -0.629126
0.84153 -0.568336
0.880116 -0.504461
0.91391 -0.43784
0.942713 -0.368828
0.966351 -0.297796
0.984677 -0.225127
0.997573 -0.151216
1.00495 -0.0764694
1.00675 -0.00129818
1.00293 0.07388
0.993519 0.148645
0.978534 0.222577
0.958046 0.295257
0.932154 0.366271
0.900989 0.435212
0.864713 0.501685
0.823518 0.565304
0.777626 0.625699
0.727291 0.682517
0.672789 0.735426
0.614426 0.784114
0.552531 0.828294
0.487455 0.867705
0.419569 0.902114
0.349261 0.931316
0.276936 0.95514
0.203012 0.973445
0.127913 0.986123
0.0520759 0.993102
-0.0240626 0.994342
-0.100062 0.989838
-0.175484 0.979623
-0.249895 0.963759
-0.322866 0.942345
-0.393982 0.915513
-0.462835 0.883425
-0.529038 0.846277
-0.592216 0.80429
-0.652016 0.757716
-0.708107 0.70683
-0.760179 0.651933
-0.807951 0.593347
-0.851163 0.531413
-0.889588 0.46649
-0.923024 0.39895
-0.951301 0.32918
-0.974278 0.257576
-0.991844 0.184542
-1.00392 0.110485
-1.01046 0.0358191
-1.01144 -0.0390441
-1.00688 -0.113694
-0.99682 -0.187722
-0.98133 -0.260729
-0.960512 -0.33232
-0.934495 -0.402112
-0.903433 -0.469734
-0.867508 -0.534828
-0.826925 -0.59705
-0.781911 -0.656073
-0.732719 -0.711591
-0.679618 -0.763312
-0.622899 -0.81097
-0.562869 -0.854317
-0.499851 -0.89313
-0.434183 -0.927208
-0.366216 -0.956376
-0.29631 -0.980483
-0.224838 -0.999404
-0.152177 -1.01304
-0.0787108 -1.02132
-0.00482881 -1.0242
0.0690787 -1.02166
0.142621 -1.01372
0.215407 -1.0004
0.28705 -0.98178
0.357169 -0.957944
0.425389 -0.929013
0.491342 -0.895133
0.554671 -0.856473
0.615034 -0.813233
0.672098 -0.765632
0.72555 -0.713915
0.775092 -0.658352
0.820445 -0.599231
0.861351 -0.536862
0.897575 -0.471575
0.928905 -0.403718
0.955153 -0.333652
0.97616 -0.261755
0.991793 -0.188417
1.00195 -0.114039
1.00655 -0.0390287
1.00555 0.0361982
0.998944 0.111223
0.986746 0.185625
0.969008 0.258984
0.945813 0.330885
0.917274 0.400916
0.88354 0.468676
0.844786 0.533774
0.801221 0.595831
0.753081 0.654486
0.700633 0.709396
0.644168 0.760238
0.584002 0.806714
0.520477 0.848548
0.453953 0.885493
0.38481 0.917331
0.313446 0.943873
0.240271 0.964962
0.165708 0.980474
0.090187 0.990318
0.0141447 0.99444
-0.0619794 0.992816
-0.137746 0.98546
-0.212718 0.972419
-0.286464 0.953775
-0.358562 0.929643
-0.4286 0.900169
-0.49618 0.865534
-0.56092 0.825944
-0.622458 0.781638
-0.68045 0.732879
-0.734575 0.679956
-0.784538 0.623179
-0.830068 0.562881
-0.870921 0.499411
-0.906883 0.433136
-0.937768 0.364436
-0.963419 0.293702
-0.983711 0.221334
-0.99855 0.147739
-1.00787 0.0733265
-1.01164 -0.00148955
-1.00986 -0.0762977
-1.00255 -0.150689
-0.98977 -0.224258
-0.971611 -0.296608
-0.948184 -0.36735
-0.919631 -0.436106
-0.886122 -0.502512
-0.847847 -0.566217
-0.805026 -0.626884
-0.757897 -0.684198
-0.706721 -0.737858
-0.65178 -0.787587
-0.59337 -0.833126
-0.53181 -0.87424
-0.467428 -0.910716
-0.400569 -0.942368
-0.33159 -0.96903
-0.260856 -0.990566
-0.188744 -1.00686
-0.115633 -1.01784
-0.0419106 -1.02343
0.0320332 -1.02361
0.105808 -1.01838
0.179021 -1.00775
0.251286 -0.991776
0.322218 -0.970542
0.391436 -0.944149
0.458571 -0.912731
0.52326 -0.876446
0.585153 -0.835477
0.643912 -0.790033
0.699214 -0.740349
0.750753 -0.68668
0.798241 -0.629306
0.841408 -0.568526
0.880008 -0.50466
0.913818 -0.438047
0.942636 -0.369043
0.96629 -0.298016
0.984633 -0.225352
0.997546 -0.151445
1.00494 -0.0767002
1.00675 -0.00152995
1.00296 0.0736486
0.993562 0.148415
0.978595 0.22235
0.958124 0.295034
0.93225 0.366053
0.901101 0.435002
0.864841 0.501483
0.823661 0.565111
0.777785 0.625516
0.727463 0.682346
0.672975 0.735268
0.614624 0.783969
0.55274 0.828164
0.487674 0.867591
0.419797 0.902016
0.349497 0.931235
0.277178 0.955077
0.203259 0.9734
0.128164 0.986096
0.0523285 0.993094
-0.0238093 0.994352
