x y
1 0
1 0.000314162
1 0.000628325
1 0.000942487
0.999999 0.00125665
0.999999 0.00157081
0.999999 0.00188497
0.999998 0.00219914
0.999997 0.0025133
0.999996 0.00282746
0.999996 0.00314162
0.999995 0.00345578
0.999993 0.00376994
0.999992 0.0040841
0.999991 0.00439826
0.99999 0.00471242
0.999988 0.00502658
0.999987 0.00534074
0.999985 0.0056549
0.999983 0.00596906
0.999981 0.00628321
0.999979 0.00659737
0.999977 0.00691153
0.999975 0.00722568
0.999973 0.00753984
0.99997 0.00785399
0.999968 0.00816814
0.999965 0.00848229
0.999963 0.00879645
0.99996 0.0091106
0.999957 0.00942475
0.999954 0.0097389
0.999951 0.010053
0.999948 0.0103672
0.999945 0.0106813
0.999941 0.0109955
0.999938 0.0113096
0.999934 0.0116238
0.999931 0.0119379
0.999927 0.0122521
0.999923 0.0125662
0.999919 0.0128803
0.999915 0.0131945
0.999911 0.0135086
0.999907 0.0138227
0.999902 0.0141369
0.999898 0.014451
0.999893 0.0147651
0.999889 0.0150793
0.999884 0.0153934
0.999879 0.0157075
0.999874 0.0160216
0.999869 0.0163358
0.999864 0.0166499
0.999859 0.016964
0.999853 0.0172781
0.999848 0.0175922
0.999842 0.0179063
0.999837 0.0182205
0.999831 0.0185346
0.999825 0.0188487
0.999819 0.0191628
0.999813 0.0194769
0.999807 0.019791
0.999801 0.0201051
0.999795 0.0204192
0.999788 0.0207333
0.999782 0.0210474
0.999775 0.0213615
0.999768 0.0216756
0.999762 0.0219897
0.999755 0.0223038
0.999748 0.0226178
0.999741 0.0229319
0.999733 0.023246
0.999726 0.0235601
0.999719 0.0238742
0.999711 0.0241882
0.999704 0.0245023
0.999696 0.0248164
0.999688 0.0251304
0.99968 0.0254445
0.999672 0.0257586
0.999664 0.0260726
0.999656 0.0263867
0.999648 0.0267007
0.999639 0.0270148
0.999631 0.0273288
0.999622 0.0276429
0.999614 0.0279569
0.999605 0.028271
0.999596 0.028585
0.999587 0.028899
0.999578 0.0292131
0.999569 0.0295271
0.999559 0.0298411
0.99955 0.0301552
0.99954 0.0304692
0.999531 0.0307832
0.999521 0.0310972
0.999511 0.0314112
0.999502 0.0317252
0.999492 0.0320392
0.999482 0.0323532
0.999471 0.0326672
0.999461 0.0329812
0.999451 0.0332952
0.99944 0.0336092
0.99943 0.0339232
0.999419 0.0342372
0.999408 0.0345512
0.999398 0.0348651
0.999387 0.0351791
0.999376 0.0354931
0.999364 0.0358071
0.999353 0.036121
0.999342 0.036435
0.99933 0.0367489
0.999319 0.0370629
0.999307 0.0373768
0.999295 0.0376908
0.999284 0.0380047
0.999272 0.0383187
0.99926 0.0386326
0.999247 0.0389465
0.999235 0.0392604
0.999223 0.0395744
0.99921 0.0398883
0.999198 0.0402022
0.999185 0.0405161
0.999173 0.04083
0.99916 0.0411439
0.999147 0.0414578
0.999134 0.0417717
0.999121 0.0420856
0.999107 0.0423995
0.999094 0.0427134
0.999081 0.0430273
0.999067 0.0433411
0.999054 0.043655
0.99904 0.0439689
0.999026 0.0442827
0.999012 0.0445966
0.998998 0.0449104
0.998984 0.0452243
0.99897 0.0455381
0.998955 0.045852
0.998941 0.0461658
0.998927 0.0464796
0.998912 0.0467934
0.998897 0.0471073
0.998882 0.0474211
0.998868 0.0477349
0.998853 0.0480487
0.998837 0.0483625
0.998822 0.0486763
0.998807 0.0489901
0.998792 0.0493039
0.998776 0.0496177
0.998761 0.0499314
0.998745 0.0502452
0.998729 0.050559
0.998713 0.0508727
0.998697 0.0511865
0.998681 0.0515003
0.998665 0.051814
0.998649 0.0521277
0.998632 0.0524415
0.998616 0.0527552
0.998599 0.0530689
0.998583 0.0533827
0.998566 0.0536964
0.998549 0.0540101
0.998532 0.0543238
0.998515 0.0546375
0.998498 0.0549512
0.99848 0.0552649
0.998463 0.0555786
0.998446 0.0558923
0.998428 0.0562059
0.99841 0.0565196
0.998393 0.0568333
0.998375 0.0571469
0.998357 0.0574606
0.998339 0.0577742
0.998321 0.0580879
0.998302 0.0584015
0.998284 0.0587151
0.998266 0.0590287
0.998247 0.0593424
0.998228 0.059656
0.99821 0.0599696
0.998191 0.0602832
0.998172 0.0605968
0.998153 0.0609104
0.998134 0.0612239
0.998114 0.0615375
0.998095 0.0618511
0.998076 0.0621647
0.998056 0.0624782
0.998037 0.0627918
0.998017 0.0631053
0.997997 0.0634188
0.997977 0.0637324
0.997957 0.0640459
0.997937 0.0643594
0.997917 0.0646729
0.997896 0.0649865
0.997876 0.0653
0.997855 0.0656134
0.997835 0.0659269
0.997814 0.0662404
0.997793 0.0665539
0.997772 0.0668674
0.997751 0.0671808
0.99773 0.0674943
0.997709 0.0678077
0.997688 0.0681212
0.997666 0.0684346
0.997645 0.068748
0.997623 0.0690615
0.997602 0.0693749
0.99758 0.0696883
0.997558 0.0700017
0.997536 0.0703151
0.997514 0.0706285
0.997492 0.0709419
0.997469 0.0712552
0.997447 0.0715686
0.997425 0.071882
0.997402 0.0721953
0.997379 0.0725087
0.997356 0.072822
0.997334 0.0731353
0.997311 0.0734487
0.997288 0.073762
0.997264 0.0740753
0.997241 0.0743886
0.997218 0.0747019
0.997194 0.0750152
0.997171 0.0753284
0.997147 0.0756417
0.997123 0.075955
0.997099 0.0762682
0.997075 0.0765815
0.997051 0.0768947
0.997027 0.077208
0.997003 0.0775212
0.996979 0.0778344
0.996954 0.0781476
0.99693 0.0784608
0.996905 0.078774
0.99688 0.0790872
0.996855 0.0794004
0.99683 0.0797136
0.996805 0.0800268
0.99678 0.0803399
0.996755 0.0806531
0.99673 0.0809662
0.996704 0.0812793
0.996679 0.0815925
0.996653 0.0819056
0.996627 0.0822187
0.996601 0.0825318
0.996576 0.0828449
0.99655 0.083158
0.996523 0.0834711
0.996497 0.0837841
0.996471 0.0840972
0.996444 0.0844103
0.996418 0.0847233
0.996391 0.0850363
0.996365 0.0853494
0.996338 0.0856624
0.996311 0.0859754
0.996284 0.0862884
0.996257 0.0866014
0.99623 0.0869144
0.996202 0.0872274
0.996175 0.0875403
0.996147 0.0878533
0.99612 0.0881662
0.996092 0.0884792
0.996064 0.0887921
0.996036 0.089105
0.996008 0.089418
0.99598 0.0897309
0.995952 0.0900438
0.995924 0.0903567
0.995895 0.0906695
0.995867 0.0909824
0.995838 0.0912953
0.99581 0.0916081
0.995781 0.091921
0.995752 0.0922338
0.995723 0.0925466
0.995694 0.0928595
0.995665 0.0931723
0.995636 0.0934851
0.995606 0.0937979
0.995577 0.0941106
0.995547 0.0944234
0.995517 0.0947362
0.995488 0.0950489
0.995458 0.0953617
0.995428 0.0956744
0.995398 0.0959871
0.995368 0.0962999
0.995337 0.0966126
0.995307 0.0969253
0.995277 0.097238
0.995246 0.0975506
0.995215 0.0978633
0.995185 0.098176
0.995154 0.0984886
0.995123 0.0988012
0.995092 0.0991139
0.995061 0.0994265
0.995029 0.0997391
0.994998 0.100052
0.994967 0.100364
0.994935 0.100677
0.994904 0.100989
0.994872 0.101302
0.99484 0.101615
0.994808 0.101927
0.994776 0.10224
0.994744 0.102552
0.994712 0.102865
0.994679 0.103177
0.994647 0.10349
0.994614 0.103802
0.994582 0.104115
0.994549 0.104427
0.994516 0.10474
0.994483 0.105052
0.99445 0.105364
0.994417 0.105677
0.994384 0.105989
0.994351 0.106302
0.994317 0.106614
0.994284 0.106926
0.99425 0.107239
0.994217 0.107551
0.994183 0.107863
0.994149 0.108176
0.994115 0.108488
0.994081 0.1088
0.994047 0.109113
0.994012 0.109425
0.993978 0.109737
0.993944 0.11005
0.993909 0.110362
0.993874 0.110674
0.99384 0.110986
0.993805 0.111299
0.99377 0.111611
0.993735 0.111923
0.9937 0.112235
0.993664 0.112547
0.993629 0.11286
0.993593 0.113172
0.993558 0.113484
0.993522 0.113796
0.993487 0.114108
0.993451 0.11442
0.993415 0.114732
0.993379 0.115044
0.993343 0.115356
0.993306 0.115669
0.99327 0.115981
0.993234 0.116293
0.993197 0.116605
0.99316 0.116917
0.993124 0.117229
0.993087 0.117541
0.99305 0.117853
0.993013 0.118165
0.992976 0.118477
0.992939 0.118789
0.992901 0.119101
0.992864 0.119413
0.992826 0.119724
0.992789 0.120036
0.992751 0.120348
0.992713 0.12066
0.992675 0.120972
0.992637 0.121284
0.992599 0.121596
0.992561 0.121908
0.992523 0.122219
0.992484 0.122531
0.992446 0.122843
0.992407 0.123155
0.992368 0.123467
0.99233 0.123778
0.992291 0.12409
0.992252 0.124402
0.992213 0.124714
0.992174 0.125025
0.992134 0.125337
0.992095 0.125649
0.992055 0.12596
0.992016 0.126272
0.991976 0.126584
0.991936 0.126895
0.991897 0.127207
0.991857 0.127519
0.991817 0.12783
0.991776 0.128142
0.991736 0.128453
0.991696 0.128765
0.991655 0.129076
0.991615 0.129388
0.991574 0.1297
0.991533 0.130011
0.991493 0.130323
0.991452 0.130634
0.991411 0.130945
0.991369 0.131257
0.991328 0.131568
0.991287 0.13188
0.991245 0.132191
0.991204 0.132503
0.991162 0.132814
0.991121 0.133125
0.991079 0.133437
0.991037 0.133748
0.990995 0.13406
0.990953 0.134371
0.99091 0.134682
0.990868 0.134994
0.990826 0.135305
0.990783 0.135616
0.990741 0.135927
0.990698 0.136239
0.990655 0.13655
0.990612 0.136861
0.990569 0.137172
0.990526 0.137483
0.990483 0.137795
0.99044 0.138106
0.990396 0.138417
0.990353 0.138728
0.990309 0.139039
0.990266 0.13935
0.990222 0.139661
0.990178 0.139973
0.990134 0.140284
0.99009 0.140595
0.990046 0.140906
0.990001 0.141217
0.989957 0.141528
0.989913 0.141839
0.989868 0.14215
0.989823 0.142461
0.989779 0.142772
0.989734 0.143083
0.989689 0.143394
0.989644 0.143705
0.989599 0.144015
0.989553 0.144326
0.989508 0.144637
0.989463 0.144948
0.989417 0.145259
0.989371 0.14557
0.989326 0.145881
0.98928 0.146191
0.989234 0.146502
0.989188 0.146813
0.989142 0.147124
0.989096 0.147435
0.989049 0.147745
0.989003 0.148056
0.988956 0.148367
0.98891 0.148677
0.988863 0.148988
0.988816 0.149299
0.988769 0.149609
0.988722 0.14992
0.988675 0.150231
0.988628 0.150541
0.988581 0.150852
0.988533 0.151162
0.988486 0.151473
0.988438 0.151784
0.988391 0.152094
0.988343 0.152405
0.988295 0.152715
0.988247 0.153026
0.988199 0.153336
0.988151 0.153646
0.988102 0.153957
0.988054 0.154267
0.988006 0.154578
0.987957 0.154888
0.987908 0.155199
0.98786 0.155509
0.987811 0.155819
0.987762 0.15613
0.987713 0.15644
0.987664 0.15675
0.987614 0.15706
0.987565 0.157371
0.987516 0.157681
0.987466 0.157991
0.987416 0.158301
0.987367 0.158612
0.987317 0.158922
0.987267 0.159232
0.987217 0.159542
0.987167 0.159852
0.987117 0.160162
0.987066 0.160473
0.987016 0.160783
0.986965 0.161093
0.986915 0.161403
0.986864 0.161713
0.986813 0.162023
0.986762 0.162333
0.986711 0.162643
0.98666 0.162953
0.986609 0.163263
0.986558 0.163573
0.986506 0.163883
0.986455 0.164193
0.986403 0.164503
0.986352 0.164813
0.9863 0.165122
0.986248 0.165432
0.986196 0.165742
0.986144 0.166052
0.986092 0.166362
0.98604 0.166672
0.985987 0.166981
0.985935 0.167291
0.985882 0.167601
0.985829 0.167911
0.985777 0.16822
0.985724 0.16853
0.985671 0.16884
0.985618 0.169149
0.985565 0.169459
0.985512 0.169769
0.985458 0.170078
0.985405 0.170388
0.985351 0.170697
0.985298 0.171007
0.985244 0.171316
0.98519 0.171626
