x y
1 0
1 0.000314162
1 0.000628325
1 0.000942487
0.999999 0.00125665
0.999999 0.00157081
0.999998 0.00188497
0.999998 0.00219914
0.999997 0.0025133
0.999996 0.00282746
0.999995 0.00314162
0.999994 0.00345578
0.999993 0.00376994
0.999992 0.0040841
0.99999 0.00439826
0.999989 0.00471242
0.999987 0.00502658
0.999986 0.00534074
0.999984 0.00565489
0.999982 0.00596905
0.99998 0.00628321
0.999978 0.00659736
0.999976 0.00691152
0.999974 0.00722567
0.999972 0.00753983
0.999969 0.00785398
0.999967 0.00816813
0.999964 0.00848228
0.999961 0.00879643
0.999958 0.00911058
0.999956 0.00942473
0.999953 0.00973888
0.999949 0.010053
0.999946 0.0103672
0.999943 0.0106813
0.99994 0.0109955
0.999936 0.0113096
0.999932 0.0116237
0.999929 0.0119379
0.999925 0.012252
0.999921 0.0125662
0.999917 0.0128803
0.999913 0.0131944
0.999909 0.0135086
0.999904 0.0138227
0.9999 0.0141368
0.999896 0.014451
0.999891 0.0147651
0.999886 0.0150792
0.999882 0.0153934
0.999877 0.0157075
0.999872 0.0160216
0.999867 0.0163357
0.999861 0.0166498
0.999856 0.016964
0.999851 0.0172781
0.999845 0.0175922
0.99984 0.0179063
0.999834 0.0182204
0.999828 0.0185345
0.999822 0.0188486
0.999816 0.0191627
0.99981 0.0194768
0.999804 0.0197909
0.999798 0.020105
0.999792 0.0204191
0.999785 0.0207332
0.999778 0.0210473
0.999772 0.0213614
0.999765 0.0216755
0.999758 0.0219896
0.999751 0.0223037
0.999744 0.0226178
0.999737 0.0229318
0.99973 0.0232459
0.999722 0.02356
0.999715 0.0238741
0.999707 0.0241881
0.9997 0.0245022
0.999692 0.0248163
0.999684 0.0251303
0.999676 0.0254444
0.999668 0.0257585
0.99966 0.0260725
0.999652 0.0263866
0.999643 0.0267006
0.999635 0.0270147
0.999627 0.0273287
0.999618 0.0276428
0.999609 0.0279568
0.9996 0.0282708
0.999591 0.0285849
0.999582 0.0288989
0.999573 0.0292129
0.999564 0.029527
0.999555 0.029841
0.999545 0.030155
0.999536 0.030469
0.999526 0.0307831
0.999516 0.0310971
0.999507 0.0314111
0.999497 0.0317251
0.999487 0.0320391
0.999477 0.0323531
0.999466 0.0326671
0.999456 0.0329811
0.999446 0.0332951
0.999435 0.033609
0.999424 0.033923
0.999414 0.034237
0.999403 0.034551
0.999392 0.034865
0.999381 0.0351789
0.99937 0.0354929
0.999359 0.0358069
0.999347 0.0361208
0.999336 0.0364348
0.999325 0.0367487
0.999313 0.0370627
0.999301 0.0373766
0.999289 0.0376906
0.999278 0.0380045
0.999266 0.0383184
0.999253 0.0386324
0.999241 0.0389463
0.999229 0.0392602
0.999217 0.0395741
0.999204 0.039888
0.999192 0.040202
0.999179 0.0405159
0.999166 0.0408298
0.999153 0.0411437
0.99914 0.0414576
0.999127 0.0417714
0.999114 0.0420853
0.999101 0.0423992
0.999087 0.0427131
0.999074 0.043027
0.99906 0.0433408
0.999047 0.0436547
0.999033 0.0439686
0.999019 0.0442824
0.999005 0.0445963
0.998991 0.0449101
0.998977 0.045224
0.998963 0.0455378
0.998948 0.0458516
0.998934 0.0461655
0.998919 0.0464793
0.998905 0.0467931
0.99889 0.0471069
0.998875 0.0474207
0.99886 0.0477345
0.998845 0.0480483
0.99883 0.0483621
0.998815 0.0486759
0.998799 0.0489897
0.998784 0.0493035
0.998768 0.0496173
0.998753 0.0499311
0.998737 0.0502448
0.998721 0.0505586
0.998705 0.0508723
0.998689 0.0511861
0.998673 0.0514998
0.998657 0.0518136
0.99864 0.0521273
0.998624 0.0524411
0.998607 0.0527548
0.998591 0.0530685
0.998574 0.0533822
0.998557 0.0536959
0.99854 0.0540096
0.998523 0.0543233
0.998506 0.054637
0.998489 0.0549507
0.998472 0.0552644
0.998454 0.0555781
0.998437 0.0558918
0.998419 0.0562054
0.998402 0.0565191
0.998384 0.0568328
0.998366 0.0571464
0.998348 0.0574601
0.99833 0.0577737
0.998312 0.0580873
0.998293 0.058401
0.998275 0.0587146
0.998256 0.0590282
0.998238 0.0593418
0.998219 0.0596554
0.9982 0.059969
0.998181 0.0602826
0.998162 0.0605962
0.998143 0.0609098
0.998124 0.0612234
0.998105 0.0615369
0.998085 0.0618505
0.998066 0.0621641
0.998046 0.0624776
0.998027 0.0627911
0.998007 0.0631047
0.997987 0.0634182
0.997967 0.0637317
0.997947 0.0640453
0.997927 0.0643588
0.997907 0.0646723
0.997886 0.0649858
0.997866 0.0652993
0.997845 0.0656128
0.997824 0.0659263
0.997804 0.0662397
0.997783 0.0665532
0.997762 0.0668667
0.997741 0.0671801
0.99772 0.0674936
0.997698 0.067807
0.997677 0.0681204
0.997656 0.0684339
0.997634 0.0687473
0.997612 0.0690607
0.997591 0.0693741
0.997569 0.0696875
0.997547 0.0700009
0.997525 0.0703143
0.997503 0.0706277
0.997481 0.0709411
0.997458 0.0712544
0.997436 0.0715678
0.997413 0.0718811
0.997391 0.0721945
0.997368 0.0725078
0.997345 0.0728212
0.997322 0.0731345
0.997299 0.0734478
0.997276 0.0737611
0.997253 0.0740744
0.997229 0.0743877
0.997206 0.074701
0.997182 0.0750143
0.997159 0.0753276
0.997135 0.0756408
0.997111 0.0759541
0.997087 0.0762673
0.997063 0.0765806
0.997039 0.0768938
0.997015 0.077207
0.996991 0.0775203
0.996966 0.0778335
0.996942 0.0781467
0.996917 0.0784599
0.996893 0.0787731
0.996868 0.0790863
0.996843 0.0793994
0.996818 0.0797126
0.996793 0.0800258
0.996768 0.0803389
0.996742 0.080652
0.996717 0.0809652
0.996691 0.0812783
0.996666 0.0815914
0.99664 0.0819045
0.996614 0.0822176
0.996589 0.0825307
0.996563 0.0828438
0.996536 0.0831569
0.99651 0.08347
0.996484 0.083783
0.996458 0.0840961
0.996431 0.0844091
0.996405 0.0847222
0.996378 0.0850352
0.996351 0.0853482
0.996324 0.0856612
0.996297 0.0859742
0.99627 0.0862872
0.996243 0.0866002
0.996216 0.0869132
0.996189 0.0872262
0.996161 0.0875391
0.996134 0.0878521
0.996106 0.088165
0.996078 0.088478
0.99605 0.0887909
0.996022 0.0891038
0.995994 0.0894167
0.995966 0.0897296
0.995938 0.0900425
0.99591 0.0903554
0.995881 0.0906682
0.995853 0.0909811
0.995824 0.091294
0.995795 0.0916068
0.995766 0.0919197
0.995738 0.0922325
0.995708 0.0925453
0.995679 0.0928581
0.99565 0.0931709
0.995621 0.0934837
0.995591 0.0937965
0.995562 0.0941093
0.995532 0.094422
0.995503 0.0947348
0.995473 0.0950475
0.995443 0.0953603
0.995413 0.095673
0.995383 0.0959857
0.995353 0.0962984
0.995322 0.0966111
0.995292 0.0969238
0.995261 0.0972365
0.995231 0.0975491
0.9952 0.0978618
0.995169 0.0981744
0.995138 0.0984871
0.995107 0.0987997
0.995076 0.0991123
0.995045 0.0994249
0.995014 0.0997375
0.994982 0.10005
0.994951 0.100363
0.994919 0.100675
0.994888 0.100988
0.994856 0.1013
0.994824 0.101613
0.994792 0.101925
0.99476 0.102238
0.994728 0.102551
0.994696 0.102863
0.994663 0.103175
0.994631 0.103488
0.994598 0.1038
0.994565 0.104113
0.994533 0.104425
0.9945 0.104738
0.994467 0.10505
0.994434 0.105363
0.994401 0.105675
0.994367 0.105987
0.994334 0.1063
0.994301 0.106612
0.994267 0.106925
0.994233 0.107237
0.9942 0.107549
0.994166 0.107862
0.994132 0.108174
0.994098 0.108486
0.994064 0.108799
0.99403 0.109111
0.993995 0.109423
0.993961 0.109735
0.993926 0.110048
0.993892 0.11036
0.993857 0.110672
0.993822 0.110984
0.993787 0.111297
0.993752 0.111609
0.993717 0.111921
0.993682 0.112233
0.993647 0.112545
0.993611 0.112858
0.993576 0.11317
0.99354 0.113482
0.993504 0.113794
0.993469 0.114106
0.993433 0.114418
0.993397 0.11473
0.993361 0.115042
0.993324 0.115354
0.993288 0.115666
0.993252 0.115979
0.993215 0.116291
0.993179 0.116603
0.993142 0.116915
0.993105 0.117227
0.993068 0.117539
0.993031 0.117851
0.992994 0.118163
0.992957 0.118474
0.99292 0.118786
0.992882 0.119098
0.992845 0.11941
0.992807 0.119722
0.99277 0.120034
0.992732 0.120346
0.992694 0.120658
0.992656 0.12097
0.992618 0.121282
0.99258 0.121593
0.992542 0.121905
0.992503 0.122217
0.992465 0.122529
0.992426 0.122841
0.992388 0.123152
0.992349 0.123464
0.99231 0.123776
0.992271 0.124088
0.992232 0.124399
0.992193 0.124711
0.992154 0.125023
0.992115 0.125334
0.992075 0.125646
0.992036 0.125958
0.991996 0.126269
0.991956 0.126581
0.991916 0.126893
0.991877 0.127204
0.991837 0.127516
0.991796 0.127828
0.991756 0.128139
0.991716 0.128451
0.991675 0.128762
0.991635 0.129074
0.991594 0.129385
0.991554 0.129697
0.991513 0.130008
0.991472 0.13032
0.991431 0.130631
0.99139 0.130943
0.991349 0.131254
0.991307 0.131566
0.991266 0.131877
0.991225 0.132189
0.991183 0.1325
0.991141 0.132811
0.9911 0.133123
0.991058 0.133434
0.991016 0.133745
0.990974 0.134057
0.990931 0.134368
0.990889 0.134679
0.990847 0.134991
0.990804 0.135302
0.990762 0.135613
0.990719 0.135924
0.990676 0.136236
0.990634 0.136547
0.990591 0.136858
0.990548 0.137169
0.990504 0.13748
0.990461 0.137792
0.990418 0.138103
0.990374 0.138414
0.990331 0.138725
0.990287 0.139036
0.990244 0.139347
0.9902 0.139658
0.990156 0.139969
0.990112 0.140281
0.990068 0.140592
0.990023 0.140903
0.989979 0.141214
0.989935 0.141525
0.98989 0.141836
0.989846 0.142147
0.989801 0.142458
0.989756 0.142769
0.989711 0.143079
0.989666 0.14339
0.989621 0.143701
0.989576 0.144012
0.989531 0.144323
0.989485 0.144634
0.98944 0.144945
0.989394 0.145256
0.989348 0.145566
0.989303 0.145877
0.989257 0.146188
0.989211 0.146499
0.989165 0.14681
0.989119 0.14712
0.989072 0.147431
0.989026 0.147742
0.988979 0.148053
0.988933 0.148363
0.988886 0.148674
0.98884 0.148985
0.988793 0.149295
0.988746 0.149606
0.988699 0.149916
0.988652 0.150227
0.988604 0.150538
0.988557 0.150848
0.988509 0.151159
0.988462 0.151469
0.988414 0.15178
0.988367 0.15209
0.988319 0.152401
0.988271 0.152711
0.988223 0.153022
0.988175 0.153332
0.988126 0.153643
0.988078 0.153953
0.98803 0.154264
0.987981 0.154574
0.987933 0.154884
0.987884 0.155195
0.987835 0.155505
0.987786 0.155815
0.987737 0.156126
0.987688 0.156436
0.987639 0.156746
0.98759 0.157057
0.98754 0.157367
0.987491 0.157677
0.987441 0.157987
0.987391 0.158298
0.987342 0.158608
0.987292 0.158918
0.987242 0.159228
0.987192 0.159538
0.987142 0.159848
0.987091 0.160158
0.987041 0.160469
0.98699 0.160779
0.98694 0.161089
0.986889 0.161399
0.986839 0.161709
0.986788 0.162019
0.986737 0.162329
0.986686 0.162639
0.986635 0.162949
0.986583 0.163259
0.986532 0.163569
0.986481 0.163879
0.986429 0.164188
0.986377 0.164498
0.986326 0.164808
0.986274 0.165118
0.986222 0.165428
0.98617 0.165738
0.986118 0.166048
0.986066 0.166357
0.986013 0.166667
0.985961 0.166977
0.985908 0.167287
0.985856 0.167596
0.985803 0.167906
0.98575 0.168216
0.985697 0.168525
0.985644 0.168835
0.985591 0.169145
0.985538 0.169454
0.985485 0.169764
0.985431 0.170074
0.985378 0.170383
0.985324 0.170693
0.985271 0.171002
0.985217 0.171312
0.985163 0.171621
0.985109 0.171931
