x y
0.997156 0.0527343
0.988617 0.105167
0.974355 0.15699
0.954329 0.207883
0.928477 0.257505
0.896722 0.305487
0.858968 0.351421
0.815103 0.394851
0.764998 0.435251
0.708513 0.472013
0.6455 0.504412
0.575812 0.531579
0.499325 0.552444
0.415972 0.565672
0.325806 0.569569
0.229118 0.561947
0.126673 0.539958
0.0201439 0.499887
-0.087039 0.437055
-0.188181 0.346232
-0.271299 0.223802
-0.319042 0.0733733
-0.316599 -0.0881453
-0.264845 -0.236475
-0.179425 -0.355971
-0.0773514 -0.444017
0.0299557 -0.504552
0.13619 -0.542801
0.238136 -0.563357
0.33423 -0.569842
0.423768 -0.565036
0.506484 -0.551072
0.582341 -0.529607
0.651412 -0.501946
0.713825 -0.469137
0.769726 -0.432037
0.819262 -0.391356
0.862573 -0.347694
0.899786 -0.30157
0.93101 -0.253435
0.95634 -0.203693
0.975852 -0.15271
0.989604 -0.100824
0.997638 -0.0483543
0.999978 0.00439152
0.99663 0.0571123
0.987584 0.109506
0.972812 0.161264
0.952271 0.212064
0.925897 0.261563
0.89361 0.309389
0.855313 0.35513
0.810892 0.398324
0.760218 0.438439
0.703147 0.474856
0.639531 0.50684
0.569225 0.533504
0.492107 0.553757
0.408117 0.566235
0.317323 0.569204
0.220048 0.560422
0.117116 0.536966
0.0103187 0.495033
-0.0966853 0.429856
-0.196795 0.33622
-0.277455 0.210879
-0.321048 0.0584991
-0.313725 -0.102796
-0.258109 -0.248891
-0.170537 -0.365439
-0.0676293 -0.450747
0.0397507 -0.509032
0.145665 -0.545501
0.2471 -0.564654
0.342597 -0.570026
0.431504 -0.564329
0.513585 -0.549643
0.588813 -0.527587
0.657269 -0.499441
0.719084 -0.46623
0.774402 -0.428797
0.823371 -0.387839
0.86613 -0.34395
0.902802 -0.297639
0.933496 -0.249354
0.958305 -0.199494
0.977303 -0.148423
0.990547 -0.0964763
0.998075 -0.0439723
0.99991 0.00878288
0.996058 0.061488
0.986506 0.113841
0.971224 0.165531
0.950167 0.216236
0.923269 0.26561
0.89045 0.313276
0.851609 0.358821
0.806631 0.401775
0.755385 0.4416
0.697727 0.477666
0.633507 0.509228
0.562581 0.53538
0.48483 0.55501
0.400203 0.566724
0.308782 0.568746
0.210925 0.558779
0.10752 0.533824
0.000483795 0.489986
-0.106283 0.422417
-0.205254 0.325933
-0.283298 0.197713
-0.322607 0.0435427
-0.310432 -0.117307
-0.251106 -0.261044
-0.16153 -0.374638
-0.0578788 -0.45725
0.0495259 -0.513333
0.155097 -0.54806
0.25601 -0.56584
0.350906 -0.570123
0.439182 -0.563551
0.520626 -0.548157
0.595227 -0.525522
0.663071 -0.496898
0.724288 -0.463292
0.779026 -0.425531
0.82743 -0.384302
0.869637 -0.340188
0.90577 -0.293694
0.935936 -0.245262
0.960225 -0.195287
0.978709 -0.14413
0.991444 -0.0921252
0.998467 -0.0395886
0.999798 0.0131739
0.995442 0.0658614
0.985383 0.118171
0.96959 0.169792
0.948016 0.220399
0.920594 0.269644
0.887241 0.317149
0.847855 0.362494
0.802319 0.405204
0.7505 0.444733
0.692252 0.480444
0.627426 0.511575
0.555879 0.537207
0.477494 0.556202
0.392229 0.567137
0.300184 0.568193
0.201751 0.557014
0.0978866 0.530527
-0.00935714 0.484742
-0.115825 0.414733
-0.213544 0.31537
-0.288812 0.184314
-0.323716 0.0285247
-0.306729 -0.131662
-0.243853 -0.27293
-0.152414 -0.383571
-0.0481059 -0.463531
