x y
0.997163 0.113003
0.988729 0.225373
0.974913 0.336521
0.956051 0.445933
0.932563 0.553195
0.904917 0.657997
0.873596 0.760136
0.839073 0.859498
0.801795 0.956045
0.762166 1.0498
0.720548 1.14082
0.677259 1.2292
0.632574 1.31505
0.586728 1.3985
0.539924 1.47967
0.492332 1.55868
0.444096 1.63567
0.395341 1.71074
0.346169 1.78402
0.296668 1.85561
0.246912 1.9256
0.196963 1.9941
0.146874 2.06119
0.0966904 2.12695
0.046449 2.19146
-0.0038178 2.25478
-0.0540831 2.31698
-0.104324 2.37813
-0.154521 2.43827
-0.204658 2.49747
-0.254722 2.55576
-0.3047 2.61319
-0.354583 2.6698
-0.404363 2.72564
-0.454033 2.78074
-0.503587 2.83513
-0.553022 2.88884
-0.602334 2.94191
-0.651519 2.99436
-0.700575 3.04622
-0.749501 3.09751
-0.798295 3.14826
-0.846957 3.19848
-0.895486 3.24821
-0.943882 3.29745
-0.992145 3.34622
-1.04027 3.39455
-1.08827 3.44244
-1.13614 3.48992
-1.18388 3.537
-1.23148 3.58369
-1.27896 3.63001
-1.32631 3.67597
-1.37353 3.72157
-1.42063 3.76683
-1.46761 3.81177
-1.51446 3.85639
-1.56119 3.9007
-1.6078 3.94471
-1.65429 3.98843
-1.70067 4.03187
-1.74693 4.07504
-1.79308 4.11794
-1.83911 4.16058
-1.88503 4.20297
-1.93085 4.24511
-1.97655 4.28702
-2.02215 4.3287
-2.06765 4.37015
-2.11303 4.41138
-2.15832 4.45239
-2.20351 4.4932
-2.24859 4.5338
-2.29358 4.57421
-2.33847 4.61442
-2.38326 4.65444
-2.42796 4.69427
-2.47256 4.73393
-2.51708 4.7734
-2.5615 4.81271
-2.60583 4.85185
-2.65007 4.89082
-2.69423 4.92963
-2.7383 4.96828
-2.78228 5.00677
-2.82618 5.04512
-2.86999 5.08331
-2.91373 5.12137
-2.95738 5.15927
-3.00096 5.19704
-3.04445 5.23468
-3.08787 5.27218
-3.13121 5.30954
-3.17447 5.34678
-3.21766 5.38389
-3.26077 5.42088
-3.30381 5.45775
-3.34678 5.49449
-3.38968 5.53112
-3.43251 5.56764
-3.47526 5.60404
-3.51795 5.64033
-3.56057 5.67651
-3.60312 5.71258
-3.64561 5.74855
-3.68803 5.78441
-3.73038 5.82018
-3.77268 5.85584
-3.8149 5.8914
-3.85707 5.92687
-3.89917 5.96224
-3.94121 5.99752
-3.98319 6.0327
-4.02511 6.0678
-4.06698 6.1028
-4.10878 6.13772
-4.15052 6.17255
-4.19221 6.2073
-4.23384 6.24196
-4.27542 6.27654
-4.31694 6.31103
-4.3584 6.34545
-4.39981 6.37979
-4.44117 6.41405
-4.48247 6.44823
-4.52372 6.48234
-4.56492 6.51637
-4.60607 6.55033
-4.64716 6.58422
-4.68821 6.61803
-4.7292 6.65178
-4.77015 6.68545
-4.81105 6.71906
-4.8519 6.7526
-4.8927 6.78607
-4.93345 6.81947
-4.97416 6.85281
-5.01482 6.88609
-5.05543 6.9193
-5.096 6.95245
-5.13652 6.98554
-5.177 7.01857
-5.21743 7.05154
-5.25782 7.08445
-5.29817 7.1173
-5.33847 7.15009
-5.37873 7.18283
-5.41895 7.2155
-5.45912 7.24813
-5.49926 7.28069
-5.53935 7.31321
-5.5794 7.34567
-5.61941 7.37807
-5.65938 7.41042
-5.69932 7.44273
-5.73921 7.47498
-5.77906 7.50717
-5.81888 7.53932
-5.85865 7.57142
-5.89839 7.60347
