x y
-4.55923 -2.95931
-4.54154 -2.98541
-4.52369 -3.01141
-4.50568 -3.0373
-4.4875 -3.06308
-4.46917 -3.08876
-4.45068 -3.11432
-4.43203 -3.13978
-4.41323 -3.16512
-4.39427 -3.19035
-4.37515 -3.21547
-4.35588 -3.24047
-4.33645 -3.26536
-4.31687 -3.29013
-4.29713 -3.31479
-4.27724 -3.33933
-4.2572 -3.36374
-4.23701 -3.38804
-4.21667 -3.41222
-4.19618 -3.43628
-4.17554 -3.46021
-4.15474 -3.48403
-4.13381 -3.50771
-4.11272 -3.53128
-4.09149 -3.55471
-4.07011 -3.57802
-4.04858 -3.6012
-4.02691 -3.62426
-4.0051 -3.64718
-3.98315 -3.66997
-3.96105 -3.69263
-3.93881 -3.71516
-3.91643 -3.73756
-3.8939 -3.75982
-3.87124 -3.78195
-3.84844 -3.80394
-3.82551 -3.8258
-3.80243 -3.84752
-3.77922 -3.8691
-3.75587 -3.89054
-3.73239 -3.91184
-3.70877 -3.933
-3.68502 -3.95402
-3.66114 -3.9749
-3.63713 -3.99563
-3.61298 -4.01622
-3.58871 -4.03667
-3.5643 -4.05697
-3.53977 -4.07712
-3.5151 -4.09713
-3.49032 -4.11699
-3.4654 -4.1367
-3.44036 -4.15626
-3.4152 -4.17567
-3.38991 -4.19492
-3.3645 -4.21403
-3.33896 -4.23298
-3.31331 -4.25178
-3.28754 -4.27043
-3.26164 -4.28892
-3.23563 -4.30726
-3.2095 -4.32543
-3.18325 -4.34346
-3.15689 -4.36132
-3.13041 -4.37902
-3.10382 -4.39657
-3.07712 -4.41395
-3.0503 -4.43117
-3.02337 -4.44823
-2.99633 -4.46513
-2.96919 -4.48187
-2.94193 -4.49844
-2.91456 -4.51485
-2.88709 -4.53109
-2.85952 -4.54716
-2.83183 -4.56307
-2.80405 -4.57881
-2.77616 -4.59439
-2.74817 -4.60979
-2.72008 -4.62503
-2.69189 -4.64009
-2.66359 -4.65499
-2.6352 -4.66971
-2.60672 -4.68426
-2.57814 -4.69864
-2.54946 -4.71284
-2.52069 -4.72687
-2.49182 -4.74072
-2.46286 -4.7544
-2.43381 -4.76791
-2.40468 -4.78123
-2.37545 -4.79438
-2.34613 -4.80735
-2.31673 -4.82015
-2.28724 -4.83276
-2.25766 -4.84519
-2.22801 -4.85745
-2.19827 -4.86952
-2.16844 -4.88141
-2.13854 -4.89312
-2.10855 -4.90465
-2.07849 -4.91599
-2.04835 -4.92715
-2.01813 -4.93813
-1.98784 -4.94892
-1.95747 -4.95952
-1.92703 -4.96994
-1.89652 -4.98017
-1.86593 -4.99022
-1.83528 -5.00007
-1.80456 -5.00974
-1.77377 -5.01923
-1.74291 -5.02852
-1.71198 -5.03762
-1.68099 -5.04653
-1.64994 -5.05525
-1.61883 -5.06378
-1.58765 -5.07212
-1.55642 -5.08027
-1.52512 -5.08822
-1.49377 -5.09598
-1.46236 -5.10355
-1.43089 -5.11092
-1.39938 -5.1181
-1.3678 -5.12509
-1.33618 -5.13188
-1.3045 -5.13847
-1.27278 -5.14487
-1.241 -5.15107
-1.20918 -5.15707
-1.17731 -5.16288
-1.1454 -5.16849
-1.11344 -5.1739
-1.08144 -5.17911
-1.0494 -5.18413
-1.01732 -5.18894
-0.985202 -5.19356
-0.953044 -5.19797
-0.920849 -5.20219
-0.888619 -5.2062
-0.856354 -5.21001
-0.824056 -5.21363
-0.791726 -5.21704
-0.759366 -5.22025
-0.726976 -5.22325
-0.694558 -5.22606
-0.662113 -5.22866
-0.629643 -5.23106
-0.597148 -5.23325
-0.564629 -5.23524
-0.532089 -5.23703
-0.499528 -5.23861
-0.466948 -5.23999
-0.434349 -5.24117
-0.401733 -5.24214
-0.369102 -5.2429
-0.336456 -5.24346
-0.303797 -5.24381
-0.271126 -5.24396
-0.238444 -5.2439
-0.205753 -5.24364
-0.173054 -5.24317
-0.140348 -5.24249
-0.107636 -5.24161
-0.0749205 -5.24052
-0.0422018 -5.23922
-0.00948142 -5.23771
0.0232393 -5.236
0.0559591 -5.23408
0.0886767 -5.23196
0.121391 -5.22962
0.1541 -5.22708
0.186803 -5.22433
0.219499 -5.22137
0.252186 -5.21821
0.284863 -5.21483
0.317528 -5.21125
0.350181 -5.20746
0.38282 -5.20346
0.415443 -5.19925
0.44805 -5.19484
0.480639 -5.19022
0.513209 -5.18538
0.545758 -5.18034
0.578285 -5.17509
0.610788 -5.16964
0.643268 -5.16397
0.675721 -5.1581
0.708147 -5.15201
0.740544 -5.14572
