x y z
-4.57198 -2.94029 0.114457
-4.56718 -2.94747 0.11438
-4.56237 -2.95465 0.114302
-4.55755 -2.96181 0.114224
-4.55271 -2.96897 0.114146
-4.54786 -2.97612 0.114067
-4.54301 -2.98327 0.113988
-4.53813 -2.9904 0.113909
-4.53325 -2.99753 0.113829
-4.52836 -3.00465 0.113749
-4.52345 -3.01176 0.113669
-4.51853 -3.01886 0.113588
-4.5136 -3.02595 0.113507
-4.50865 -3.03304 0.113426
-4.5037 -3.04012 0.113345
-4.49873 -3.04719 0.113263
-4.49375 -3.05425 0.113181
-4.48876 -3.06131 0.113099
-4.48376 -3.06835 0.113016
-4.47874 -3.07539 0.112933
-4.47372 -3.08242 0.11285
-4.46868 -3.08944 0.112767
-4.46363 -3.09646 0.112683
-4.45856 -3.10346 0.112599
-4.45349 -3.11046 0.112514
-4.4484 -3.11745 0.112429
-4.44331 -3.12443 0.112344
-4.4382 -3.1314 0.112259
-4.43307 -3.13836 0.112173
-4.42794 -3.14532 0.112088
-4.42279 -3.15227 0.112001
-4.41764 -3.15921 0.111915
-4.41247 -3.16614 0.111828
-4.40729 -3.17306 0.111741
-4.4021 -3.17997 0.111653
-4.39689 -3.18688 0.111566
-4.39168 -3.19377 0.111478
-4.38645 -3.20066 0.111389
-4.38121 -3.20754 0.111301
-4.37596 -3.21441 0.111212
-4.3707 -3.22127 0.111123
-4.36542 -3.22813 0.111033
-4.36014 -3.23497 0.110944
-4.35484 -3.24181 0.110853
-4.34953 -3.24864 0.110763
-4.34421 -3.25546 0.110672
-4.33888 -3.26227 0.110581
-4.33353 -3.26907 0.11049
-4.32818 -3.27586 0.110399
-4.32281 -3.28265 0.110307
-4.31743 -3.28942 0.110215
-4.31204 -3.29619 0.110122
-4.30664 -3.30295 0.110029
-4.30123 -3.3097 0.109936
-4.2958 -3.31644 0.109843
-4.29037 -3.32317 0.10975
-4.28492 -3.32989 0.109656
-4.27946 -3.3366 0.109561
-4.27399 -3.34331 0.109467
-4.26851 -3.35 0.109372
-4.26302 -3.35669 0.109277
-4.25751 -3.36337 0.109182
-4.252 -3.37004 0.109086
-4.24647 -3.3767 0.10899
-4.24093 -3.38335 0.108894
-4.23538 -3.38999 0.108797
-4.22982 -3.39663 0.108701
-4.22425 -3.40325 0.108603
-4.21866 -3.40986 0.108506
-4.21307 -3.41647 0.108408
-4.20746 -3.42307 0.10831
-4.20185 -3.42965 0.108212
-4.19622 -3.43623 0.108114
-4.19058 -3.4428 0.108015
-4.18493 -3.44936 0.107916
-4.17926 -3.45591 0.107816
-4.17359 -3.46245 0.107716
-4.16791 -3.46899 0.107616
-4.16221 -3.47551 0.107516
-4.1565 -3.48202 0.107416
-4.15079 -3.48853 0.107315
-4.14506 -3.49502 0.107214
-4.13932 -3.50151 0.107112
-4.13357 -3.50798 0.10701
-4.1278 -3.51445 0.106908
-4.12203 -3.52091 0.106806
-4.11625 -3.52736 0.106704
-4.11045 -3.53379 0.106601
-4.10464 -3.54022 0.106497
-4.09883 -3.54664 0.106394
-4.093 -3.55305 0.10629
-4.08716 -3.55945 0.106186
-4.08131 -3.56584 0.106082
-4.07545 -3.57223 0.105977
-4.06958 -3.5786 0.105873
-4.06369 -3.58496 0.105767
-4.0578 -3.59131 0.105662
-4.05189 -3.59766 0.105556
-4.04598 -3.60399 0.10545
-4.04005 -3.61031 0.105344
-4.03411 -3.61663 0.105237
-4.02817 -3.62293 0.105131
-4.02221 -3.62923 0.105024
-4.01624 -3.63551 0.104916
-4.01026 -3.64179 0.104808
-4.00427 -3.64805 0.1047
-3.99826 -3.65431 0.104592
-3.99225 -3.66055 0.104484
-3.98623 -3.66679 0.104375
-3.98019 -3.67302 0.104266
-3.97415 -3.67923 0.104156
-3.96809 -3.68544 0.104047
-3.96203 -3.69164 0.103937
-3.95595 -3.69782 0.103827
-3.94986 -3.704 0.103716
-3.94376 -3.71017 0.103605
-3.93766 -3.71632 0.103494
-3.93154 -3.72247 0.103383
-3.92541 -3.72861 0.103271
-3.91927 -3.73473 0.10316
-3.91312 -3.74085 0.103047
-3.90695 -3.74696 0.102935
-3.90078 -3.75305 0.102822
-3.8946 -3.75914 0.102709
-3.88841 -3.76522 0.102596
-3.8822 -3.77128 0.102482
-3.87599 -3.77734 0.102369
-3.86977 -3.78339 0.102255
-3.86353 -3.78942 0.10214
-3.85729 -3.79545 0.102026
-3.85103 -3.80146 0.101911
-3.84477 -3.80747 0.101795
-3.83849 -3.81346 0.10168
-3.8322 -3.81945 0.101564
-3.82591 -3.82542 0.101448
-3.8196 -3.83139 0.101332
-3.81328 -3.83734 0.101215
-3.80695 -3.84328 0.101099
-3.80062 -3.84922 0.100982
-3.79427 -3.85514 0.100864
-3.78791 -3.86105 0.100747
-3.78154 -3.86695 0.100629
-3.77516 -3.87284 0.10051
-3.76877 -3.87873 0.100392
-3.76237 -3.8846 0.100273
-3.75597 -3.89046 0.100154
-3.74955 -3.89631 0.100035
-3.74312 -3.90214 0.0999154
-3.73668 -3.90797 0.0997956
-3.73023 -3.91379 0.0996755
-3.72377 -3.9196 0.0995552
-3.7173 -3.9254 0.0994346
-3.71082 -3.93118 0.0993137
-3.70433 -3.93696 0.0991926
-3.69783 -3.94272 0.0990711
-3.69132 -3.94848 0.0989494
-3.6848 -3.95422 0.0988275
-3.67827 -3.95995 0.0987053
-3.67173 -3.96568 0.0985828
-3.66518 -3.97139 0.09846
-3.65862 -3.97709 0.098337
-3.65205 -3.98278 0.0982137
-3.64547 -3.98846 0.0980902
-3.63888 -3.99413 0.0979664
-3.63228 -3.99978 0.0978423
-3.62568 -4.00543 0.0977179
-3.61906 -4.01107 0.0975933
-3.61243 -4.01669 0.0974685
-3.60579 -4.02231 0.0973433
-3.59914 -4.02791 0.0972179
-3.59248 -4.0335 0.0970923
-3.58582 -4.03909 0.0969663
-3.57914 -4.04466 0.0968402
-3.57245 -4.05022 0.0967137
-3.56576 -4.05577 0.096587
-3.55905 -4.0613 0.09646
-3.55234 -4.06683 0.0963328
-3.54561 -4.07235 0.0962053
-3.53888 -4.07785 0.0960775
-3.53213 -4.08334 0.0959495
-3.52538 -4.08883 0.0958212
-3.51861 -4.0943 0.0956927
-3.51184 -4.09976 0.0955639
-3.50506 -4.10521 0.0954348
-3.49826 -4.11065 0.0953055
-3.49146 -4.11607 0.095176
-3.48465 -4.12149 0.0950461
-3.47783 -4.1269 0.094916
-3.471 -4.13229 0.0947857
-3.46416 -4.13767 0.0946551
-3.45731 -4.14304 0.0945242
-3.45045 -4.1484 0.0943931
-3.44359 -4.15375 0.0942617
-3.43671 -4.15909 0.0941301
-3.42982 -4.16442 0.0939982
-3.42293 -4.16973 0.0938661
-3.41602 -4.17503 0.0937337
-3.40911 -4.18033 0.093601
-3.40219 -4.18561 0.0934681
-3.39525 -4.19088 0.093335
-3.38831 -4.19613 0.0932016
-3.38136 -4.20138 0.0930679
-3.3744 -4.20662 0.092934
-3.36743 -4.21184 0.0927998
-3.36045 -4.21705 0.0926654
-3.35346 -4.22225 0.0925307
-3.34647 -4.22744 0.0923958
-3.33946 -4.23262 0.0922606
-3.33244 -4.23779 0.0921252
-3.32542 -4.24294 0.0919895
-3.31839 -4.24808 0.0918536
-3.31135 -4.25322 0.0917174
-3.30429 -4.25834 0.091581
-3.29723 -4.26344 0.0914443
-3.29016 -4.26854 0.0913073
-3.28309 -4.27363 0.0911702
-3.276 -4.2787 0.0910327
-3.2689 -4.28376 0.0908951
-3.2618 -4.28881 0.0907571
-3.25468 -4.29385 0.090619
-3.24756 -4.29888 0.0904806
-3.24043 -4.30389 0.0903419
-3.23329 -4.3089 0.090203
-3.22614 -4.31389 0.0900638
-3.21898 -4.31887 0.0899244
-3.21181 -4.32383 0.0897848
-3.20464 -4.32879 0.0896449
-3.19745 -4.33374 0.0895047
-3.19026 -4.33867 0.0893644
-3.18306 -4.34359 0.0892237
-3.17585 -4.3485 0.0890829
-3.16863 -4.35339 0.0889418
-3.1614 -4.35828 0.0888004
-3.15416 -4.36315 0.0886588
-3.14692 -4.36801 0.088517
-3.13966 -4.37286 0.0883749
-3.1324 -4.3777 0.0882326
-3.12513 -4.38253 0.08809
-3.11785 -4.38734 0.0879472
-3.11056 -4.39214 0.0878041
-3.10327 -4.39693 0.0876608
-3.09596 -4.40171 0.0875173
-3.08865 -4.40647 0.0873736
-3.08133 -4.41123 0.0872295
-3.074 -4.41597 0.0870853
-3.06666 -4.4207 0.0869408
-3.05931 -4.42541 0.0867961
-3.05195 -4.43012 0.0866511
-3.04459 -4.43481 0.0865059
-3.03722 -4.43949 0.0863605
-3.02984 -4.44416 0.0862148
-3.02245 -4.44882 0.0860689
-3.01505 -4.45346 0.0859228
-3.00765 -4.45809 0.0857764
-3.00023 -4.46271 0.0856298
-2.99281 -4.46732 0.0854829
-2.98538 -4.47191 0.0853359
-2.97794 -4.4765 0.0851885
-2.9705 -4.48107 0.085041
-2.96304 -4.48563 0.0848932
-2.95558 -4.49017 0.0847452
-2.94811 -4.4947 0.0845969
-2.94063 -4.49923 0.0844485
-2.93314 -4.50374 0.0842997
-2.92565 -4.50823 0.0841508
-2.91814 -4.51272 0.0840016
-2.91063 -4.51719 0.0838522
-2.90311 -4.52165 0.0837026
-2.89558 -4.52609 0.0835527
-2.88805 -4.53053 0.0834026
-2.88051 -4.53495 0.0832523
-2.87296 -4.53936 0.0831017
-2.8654 -4.54376 0.0829509
-2.85783 -4.54814 0.0827999
-2.85026 -4.55251 0.0826487
-2.84267 -4.55687 0.0824972
-2.83508 -4.56122 0.0823455
-2.82748 -4.56555 0.0821936
-2.81988 -4.56988 0.0820414
-2.81226 -4.57418 0.0818891
-2.80464 -4.57848 0.0817365
-2.79701 -4.58276 0.0815836
-2.78938 -4.58704 0.0814306
-2.78173 -4.59129 0.0812773
-2.77408 -4.59554 0.0811238
-2.76642 -4.59977 0.0809701
-2.75875 -4.60399 0.0808161
-2.75108 -4.6082 0.080662
-2.74339 -4.6124 0.0805076
-2.7357 -4.61658 0.080353
-2.72801 -4.62075 0.0801981
-2.7203 -4.62491 0.0800431
-2.71259 -4.62905 0.0798878
-2.70487 -4.63318 0.0797323
-2.69714 -4.6373 0.0795766
-2.6894 -4.64141 0.0794206
-2.68166 -4.6455 0.0792645
-2.67391 -4.64958 0.0791081
