x y z
28.6167 -8.81168 -0.478042
28.6178 -8.80806 -0.478141
28.6189 -8.80444 -0.47824
28.62 -8.80081 -0.47834
28.6211 -8.79719 -0.478439
28.6221 -8.79357 -0.478538
28.6232 -8.78995 -0.478637
28.6243 -8.78632 -0.478737
28.6254 -8.7827 -0.478836
28.6265 -8.77908 -0.478935
28.6275 -8.77545 -0.479035
28.6286 -8.77183 -0.479134
28.6297 -8.7682 -0.479233
28.6308 -8.76458 -0.479332
28.6318 -8.76096 -0.479431
28.6329 -8.75733 -0.479531
28.634 -8.75371 -0.47963
28.6351 -8.75008 -0.479729
28.6362 -8.74646 -0.479828
28.6372 -8.74283 -0.479927
28.6383 -8.73921 -0.480027
28.6394 -8.73558 -0.480126
28.6404 -8.73196 -0.480225
28.6415 -8.72833 -0.480324
28.6426 -8.72471 -0.480423
28.6437 -8.72108 -0.480522
28.6447 -8.71745 -0.480621
28.6458 -8.71383 -0.48072
28.6469 -8.7102 -0.48082
28.6479 -8.70658 -0.480919
28.649 -8.70295 -0.481018
28.6501 -8.69932 -0.481117
28.6512 -8.6957 -0.481216
28.6522 -8.69207 -0.481315
28.6533 -8.68844 -0.481414
28.6544 -8.68481 -0.481513
28.6554 -8.68119 -0.481612
28.6565 -8.67756 -0.481711
28.6576 -8.67393 -0.48181
28.6586 -8.6703 -0.481909
28.6597 -8.66668 -0.482008
28.6607 -8.66305 -0.482107
28.6618 -8.65942 -0.482206
28.6629 -8.65579 -0.482305
28.6639 -8.65216 -0.482404
28.665 -8.64854 -0.482503
28.6661 -8.64491 -0.482602
28.6671 -8.64128 -0.482701
28.6682 -8.63765 -0.4828
28.6692 -8.63402 -0.482899
28.6703 -8.63039 -0.482998
28.6714 -8.62676 -0.483097
28.6724 -8.62313 -0.483196
28.6735 -8.6195 -0.483295
28.6745 -8.61587 -0.483394
28.6756 -8.61224 -0.483493
28.6767 -8.60861 -0.483591
28.6777 -8.60498 -0.48369
28.6788 -8.60135 -0.483789
28.6798 -8.59772 -0.483888
28.6809 -8.59409 -0.483987
28.6819 -8.59046 -0.484086
28.683 -8.58683 -0.484185
28.6841 -8.5832 -0.484283
28.6851 -8.57957 -0.484382
28.6862 -8.57594 -0.484481
28.6872 -8.57231 -0.48458
28.6883 -8.56867 -0.484679
28.6893 -8.56504 -0.484778
28.6904 -8.56141 -0.484876
28.6914 -8.55778 -0.484975
28.6925 -8.55415 -0.485074
28.6935 -8.55051 -0.485173
28.6946 -8.54688 -0.485271
28.6956 -8.54325 -0.48537
28.6967 -8.53962 -0.485469
28.6977 -8.53598 -0.485568
28.6988 -8.53235 -0.485666
28.6998 -8.52872 -0.485765
28.7009 -8.52508 -0.485864
28.7019 -8.52145 -0.485963
28.703 -8.51782 -0.486061
28.704 -8.51418 -0.48616
28.705 -8.51055 -0.486259
28.7061 -8.50692 -0.486357
28.7071 -8.50328 -0.486456
28.7082 -8.49965 -0.486555
