x y z
10.5568 -31.7115 0.339698
10.5604 -31.7111 0.338608
10.5641 -31.7107 0.337519
10.5678 -31.7102 0.33643
10.5714 -31.7098 0.33534
10.5751 -31.7094 0.334251
10.5787 -31.709 0.333162
10.5824 -31.7086 0.332072
10.5861 -31.7082 0.330983
10.5897 -31.7077 0.329894
10.5934 -31.7073 0.328804
10.597 -31.7069 0.327715
10.6007 -31.7065 0.326626
10.6043 -31.7061 0.325536
10.608 -31.7057 0.324447
10.6117 -31.7052 0.323357
10.6153 -31.7048 0.322268
10.619 -31.7044 0.321179
10.6226 -31.704 0.320089
10.6263 -31.7036 0.319
10.6299 -31.7031 0.317911
10.6336 -31.7027 0.316821
10.6373 -31.7023 0.315732
10.6409 -31.7019 0.314642
10.6446 -31.7014 0.313553
10.6482 -31.701 0.312464
10.6519 -31.7006 0.311374
10.6555 -31.7002 0.310285
10.6592 -31.6997 0.309195
10.6628 -31.6993 0.308106
10.6665 -31.6989 0.307017
10.6702 -31.6985 0.305927
10.6738 -31.698 0.304838
10.6775 -31.6976 0.303748
10.6811 -31.6972 0.302659
10.6848 -31.6968 0.301569
10.6884 -31.6963 0.30048
10.6921 -31.6959 0.299391
10.6957 -31.6955 0.298301
10.6994 -31.6951 0.297212
10.7031 -31.6946 0.296122
10.7067 -31.6942 0.295033
10.7104 -31.6938 0.293943
10.714 -31.6933 0.292854
10.7177 -31.6929 0.291764
10.7213 -31.6925 0.290675
10.725 -31.692 0.289585
10.7286 -31.6916 0.288496
10.7323 -31.6912 0.287406
10.7359 -31.6908 0.286317
10.7396 -31.6903 0.285227
10.7432 -31.6899 0.284138
10.7469 -31.6895 0.283049
10.7505 -31.689 0.281959
10.7542 -31.6886 0.28087
10.7579 -31.6882 0.27978
10.7615 -31.6877 0.278691
10.7652 -31.6873 0.277601
10.7688 -31.6869 0.276511
10.7725 -31.6864 0.275422
10.7761 -31.686 0.274332
10.7798 -31.6855 0.273243
10.7834 -31.6851 0.272153
10.7871 -31.6847 0.271064
10.7907 -31.6842 0.269974
10.7944 -31.6838 0.268885
10.798 -31.6834 0.267795
10.8017 -31.6829 0.266706
10.8053 -31.6825 0.265616
10.809 -31.682 0.264527
10.8126 -31.6816 0.263437
10.8163 -31.6812 0.262348
10.8199 -31.6807 0.261258
10.8236 -31.6803 0.260168
10.8272 -31.6798 0.259079
10.8309 -31.6794 0.257989
10.8345 -31.679 0.2569
10.8382 -31.6785 0.25581
10.8418 -31.6781 0.254721
10.8455 -31.6776 0.253631
10.8491 -31.6772 0.252541
10.8528 -31.6767 0.251452
10.8564 -31.6763 0.250362
10.8601 -31.6759 0.249273
10.8637 -31.6754 0.248183
10.8674 -31.675 0.247094
10.871 -31.6745 0.246004
10.8747 -31.6741 0.244914
10.8783 -31.6736 0.243825
10.882 -31.6732 0.242735
10.8856 -31.6727 0.241646
10.8893 -31.6723 0.240556
10.8929 -31.6718 0.239466
10.8966 -31.6714 0.238377
10.9002 -31.6709 0.237287
10.9039 -31.6705 0.236197
10.9075 -31.67 0.235108
10.9111 -31.6696 0.234018
10.9148 -31.6691 0.232929
10.9184 -31.6687 0.231839
10.9221 -31.6682 0.230749
10.9257 -31.6678 0.22966
10.9294 -31.6673 0.22857
10.933 -31.6669 0.22748
10.9367 -31.6664 0.226391
10.9403 -31.666 0.225301
10.944 -31.6655 0.224212
10.9476 -31.6651 0.223122
10.9513 -31.6646 0.222032
10.9549 -31.6642 0.220943
10.9586 -31.6637 0.219853
10.9622 -31.6633 0.218763
10.9658 -31.6628 0.217674
10.9695 -31.6624 0.216584
10.9731 -31.6619 0.215494
10.9768 -31.6615 0.214405
10.9804 -31.661 0.213315
10.9841 -31.6605 0.212225
10.9877 -31.6601 0.211136
10.9914 -31.6596 0.210046
10.995 -31.6592 0.208956
10.9986 -31.6587 0.207867
11.0023 -31.6583 0.206777
11.0059 -31.6578 0.205687
11.0096 -31.6573 0.204597
11.0132 -31.6569 0.203508
11.0169 -31.6564 0.202418
11.0205 -31.656 0.201328
11.0242 -31.6555 0.200239
11.0278 -31.655 0.199149
11.0314 -31.6546 0.198059
11.0351 -31.6541 0.19697
11.0387 -31.6537 0.19588
11.0424 -31.6532 0.19479
11.046 -31.6527 0.1937
11.0497 -31.6523 0.192611
11.0533 -31.6518 0.191521
11.0569 -31.6513 0.190431
11.0606 -31.6509 0.189342
11.0642 -31.6504 0.188252
11.0679 -31.6499 0.187162
11.0715 -31.6495 0.186072
11.0752 -31.649 0.184983
11.0788 -31.6485 0.183893
11.0824 -31.6481 0.182803
11.0861 -31.6476 0.181713
11.0897 -31.6471 0.180624
11.0934 -31.6467 0.179534
11.097 -31.6462 0.178444
11.1006 -31.6457 0.177354
11.1043 -31.6453 0.176265
11.1079 -31.6448 0.175175
11.1116 -31.6443 0.174085
11.1152 -31.6439 0.172995
11.1188 -31.6434 0.171906
11.1225 -31.6429 0.170816
11.1261 -31.6425 0.169726
11.1298 -31.642 0.168636
11.1334 -31.6415 0.167547
11.137 -31.641 0.166457
11.1407 -31.6406 0.165367
11.1443 -31.6401 0.164277
11.148 -31.6396 0.163188
11.1516 -31.6392 0.162098
11.1552 -31.6387 0.161008
11.1589 -31.6382 0.159918
11.1625 -31.6377 0.158828
11.1662 -31.6373 0.157739
11.1698 -31.6368 0.156649
11.1734 -31.6363 0.155559
11.1771 -31.6358 0.154469
11.1807 -31.6354 0.15338
11.1843 -31.6349 0.15229
11.188 -31.6344 0.1512
11.1916 -31.6339 0.15011
11.1953 -31.6335 0.14902
11.1989 -31.633 0.147931
11.2025 -31.6325 0.146841
11.2062 -31.632 0.145751
11.2098 -31.6315 0.144661
11.2134 -31.6311 0.143571
11.2171 -31.6306 0.142482
11.2207 -31.6301 0.141392
