x y z
0.896199 0.454545 -0.000282135
0.889141 0.467945 -0.00028285
0.881882 0.481239 -0.000283529
0.874422 0.494426 -0.000284172
0.866765 0.507501 -0.00028478
0.85891 0.520462 -0.000285351
0.85086 0.533305 -0.000285886
0.842617 0.546029 -0.000286384
0.834183 0.558629 -0.000286846
0.825558 0.571103 -0.000287272
0.816746 0.583449 -0.00028766
0.807748 0.595662 -0.000288011
0.798566 0.607741 -0.000288326
0.789202 0.619681 -0.000288603
0.779658 0.631482 -0.000288842
0.769936 0.64314 -0.000289045
0.760038 0.654651 -0.000289209
0.749967 0.666014 -0.000289337
0.739725 0.677226 -0.000289426
0.729314 0.688284 -0.000289478
0.718736 0.699186 -0.000289492
0.707993 0.709929 -0.000289468
0.697089 0.72051 -0.000289406
0.686025 0.730927 -0.000289306
0.674805 0.741177 -0.000289169
0.66343 0.751259 -0.000288993
0.651902 0.761169 -0.00028878
0.640226 0.770906 -0.000288528
0.628403 0.780467 -0.000288239
0.616436 0.78985 -0.000287912
0.604327 0.799052 -0.000287547
0.59208 0.808072 -0.000287145
0.579697 0.816907 -0.000286704
0.567181 0.825556 -0.000286226
0.554535 0.834015 -0.00028571
0.541761 0.842284 -0.000285157
0.528863 0.85036 -0.000284567
0.515844 0.858241 -0.000283939
0.502706 0.865925 -0.000283274
0.489452 0.873412 -0.000282571
0.476087 0.880698 -0.000281832
0.462611 0.887782 -0.000281056
0.44903 0.894662 -0.000280244
0.435345 0.901338 -0.000279394
0.42156 0.907806 -0.000278509
0.407678 0.914066 -0.000277587
0.393703 0.920117 -0.000276629
0.379637 0.925956 -0.000275636
0.365483 0.931582 -0.000274606
0.351246 0.936995 -0.000273542
0.336928 0.942192 -0.000272442
0.322532 0.947172 -0.000271307
0.308063 0.951935 -0.000270137
0.293522 0.95648 -0.000268933
0.278914 0.960804 -0.000267695
0.264242 0.964907 -0.000266422
0.24951 0.968789 -0.000265116
0.234719 0.972448 -0.000263776
0.219876 0.975883 -0.000262403
0.204981 0.979093 -0.000260998
0.19004 0.982079 -0.000259559
0.175055 0.984838 -0.000258088
0.16003 0.987371 -0.000256586
0.144968 0.989677 -0.000255051
0.129874 0.991755 -0.000253485
0.114749 0.993605 -0.000251888
0.099599 0.995226 -0.000250261
0.0844259 0.996619 -0.000248603
0.0692337 0.997782 -0.000246915
0.0540259 0.998715 -0.000245198
0.038806 0.999419 -0.000243451
0.0235776 0.999893 -0.000241675
0.00834414 1.00014 -0.000239871
-0.00689084 1.00015 -0.000238039
-0.0221238 0.999934 -0.000236179
-0.0373512 0.999488 -0.000234292
-0.0525696 0.998812 -0.000232378
-0.0677754 0.997906 -0.000230438
-0.0829651 0.996771 -0.000228471
-0.0981352 0.995407 -0.000226479
-0.113282 0.993814 -0.000224462
-0.128403 0.991992 -0.00022242
-0.143493 0.989943 -0.000220354
-0.15855 0.987666 -0.000218264
-0.173569 0.985163 -0.00021615
-0.188549 0.982433 -0.000214014
-0.203484 0.979478 -0.000211855
-0.218372 0.976298 -0.000209674
-0.233209 0.972894 -0.000207472
-0.247992 0.969267 -0.000205249
-0.262717 0.965417 -0.000203005
-0.277381 0.961346 -0.000200741
-0.291981 0.957055 -0.000198458
-0.306513 0.952544 -0.000196156
-0.320974 0.947815 -0.000193835
-0.335361 0.94287 -0.000191496
-0.34967 0.937708 -0.00018914
-0.363898 0.932332 -0.000186767
-0.378042 0.926742 -0.000184377
-0.392098 0.92094 -0.000181971
-0.406064 0.914928 -0.00017955
-0.419936 0.908707 -0.000177115
-0.433711 0.902278 -0.000174664
-0.447386 0.895644 -0.0001722
-0.460958 0.888804 -0.000169723
-0.474424 0.881763 -0.000167234
-0.48778 0.874519 -0.000164732
-0.501024 0.867077 -0.000162218
