x y z
-4.57109 -2.93274 0.114351
-4.56759 -2.93799 0.114295
-4.56409 -2.94323 0.114238
-4.56058 -2.94847 0.114181
-4.55706 -2.9537 0.114124
-4.55353 -2.95893 0.114067
-4.55 -2.96415 0.11401
-4.54646 -2.96937 0.113952
-4.54292 -2.97459 0.113895
-4.53937 -2.9798 0.113837
-4.53581 -2.98501 0.113779
-4.53224 -2.99021 0.113721
-4.52867 -2.99541 0.113663
-4.5251 -3.0006 0.113604
-4.52151 -3.00579 0.113546
-4.51793 -3.01098 0.113487
-4.51433 -3.01616 0.113428
-4.51073 -3.02134 0.113369
-4.50712 -3.02651 0.11331
-4.5035 -3.03168 0.11325
-4.49988 -3.03685 0.113191
-4.49625 -3.04201 0.113131
-4.49262 -3.04716 0.113071
-4.48898 -3.05232 0.113011
-4.48533 -3.05746 0.112951
-4.48168 -3.06261 0.112891
-4.47802 -3.06775 0.11283
-4.47435 -3.07288 0.11277
-4.47068 -3.07801 0.112709
-4.467 -3.08314 0.112648
-4.46332 -3.08826 0.112587
-4.45963 -3.09337 0.112525
-4.45593 -3.09849 0.112464
-4.45222 -3.10359 0.112402
-4.44851 -3.1087 0.11234
-4.4448 -3.1138 0.112278
-4.44107 -3.11889 0.112216
-4.43735 -3.12398 0.112154
-4.43361 -3.12907 0.112092
-4.42987 -3.13415 0.112029
-4.42612 -3.13923 0.111966
-4.42237 -3.1443 0.111903
-4.4186 -3.14937 0.11184
-4.41484 -3.15443 0.111777
-4.41106 -3.15949 0.111714
-4.40729 -3.16455 0.11165
-4.4035 -3.1696 0.111587
-4.39971 -3.17464 0.111523
-4.39591 -3.17968 0.111459
-4.3921 -3.18472 0.111395
-4.38829 -3.18975 0.11133
-4.38448 -3.19478 0.111266
-4.38065 -3.1998 0.111201
-4.37682 -3.20482 0.111136
-4.37299 -3.20983 0.111071
-4.36915 -3.21484 0.111006
-4.3653 -3.21985 0.110941
-4.36145 -3.22485 0.110876
-4.35758 -3.22985 0.11081
-4.35372 -3.23484 0.110744
-4.34985 -3.23982 0.110678
-4.34597 -3.2448 0.110612
-4.34208 -3.24978 0.110546
-4.33819 -3.25475 0.11048
-4.33429 -3.25972 0.110413
-4.33039 -3.26469 0.110347
-4.32648 -3.26964 0.11028
-4.32256 -3.2746 0.110213
-4.31864 -3.27955 0.110146
-4.31471 -3.28449 0.110078
-4.31078 -3.28943 0.110011
-4.30684 -3.29437 0.109943
-4.30289 -3.2993 0.109875
-4.29894 -3.30423 0.109807
-4.29498 -3.30915 0.109739
-4.29101 -3.31406 0.109671
-4.28704 -3.31897 0.109603
-4.28307 -3.32388 0.109534
-4.27908 -3.32878 0.109465
-4.27509 -3.33368 0.109396
-4.2711 -3.33857 0.109327
-4.2671 -3.34346 0.109258
-4.26309 -3.34835 0.109189
-4.25908 -3.35322 0.109119
-4.25506 -3.3581 0.10905
-4.25103 -3.36297 0.10898
-4.247 -3.36783 0.10891
-4.24296 -3.37269 0.10884
-4.23892 -3.37755 0.10877
-4.23487 -3.3824 0.108699
-4.23081 -3.38724 0.108629
-4.22675 -3.39208 0.108558
-4.22268 -3.39692 0.108487
-4.21861 -3.40175 0.108416
-4.21453 -3.40657 0.108345
-4.21044 -3.41139 0.108273
-4.20635 -3.41621 0.108202
-4.20225 -3.42102 0.10813
-4.19815 -3.42583 0.108058
-4.19404 -3.43063 0.107986
-4.18992 -3.43542 0.107914
-4.1858 -3.44022 0.107842
-4.18167 -3.445 0.10777
-4.17754 -3.44978 0.107697
-4.1734 -3.45456 0.107624
-4.16925 -3.45933 0.107551
-4.1651 -3.4641 0.107478
-4.16094 -3.46886 0.107405
-4.15678 -3.47362 0.107332
-4.15261 -3.47837 0.107258
-4.14843 -3.48312 0.107185
-4.14425 -3.48786 0.107111
-4.14006 -3.4926 0.107037
-4.13587 -3.49733 0.106963
-4.13167 -3.50206 0.106888
-4.12747 -3.50678 0.106814
-4.12326 -3.51149 0.106739
-4.11904 -3.51621 0.106665
-4.11482 -3.52091 0.10659
-4.11059 -3.52562 0.106515
-4.10635 -3.53031 0.106439
-4.10211 -3.535 0.106364
-4.09787 -3.53969 0.106289
-4.09362 -3.54437 0.106213
-4.08936 -3.54905 0.106137
-4.08509 -3.55372 0.106061
-4.08082 -3.55839 0.105985
-4.07655 -3.56305 0.105909
-4.07227 -3.56771 0.105833
-4.06798 -3.57236 0.105756
-4.06369 -3.577 0.105679
-4.05939 -3.58165 0.105602
-4.05508 -3.58628 0.105525
-4.05077 -3.59091 0.105448
-4.04646 -3.59554 0.105371
-4.04214 -3.60016 0.105293
-4.03781 -3.60477 0.105216
-4.03348 -3.60938 0.105138
-4.02914 -3.61399 0.10506
-4.02479 -3.61859 0.104982
-4.02044 -3.62318 0.104904
-4.01609 -3.62777 0.104826
-4.01172 -3.63236 0.104747
-4.00736 -3.63694 0.104668
-4.00298 -3.64151 0.10459
-3.9986 -3.64608 0.104511
-3.99422 -3.65064 0.104432
-3.98983 -3.6552 0.104352
-3.98543 -3.65975 0.104273
-3.98103 -3.6643 0.104193
-3.97662 -3.66884 0.104114
-3.97221 -3.67338 0.104034
-3.96779 -3.67791 0.103954
-3.96336 -3.68244 0.103874
-3.95893 -3.68696 0.103793
-3.9545 -3.69148 0.103713
-3.95005 -3.69599 0.103632
-3.94561 -3.70049 0.103551
-3.94115 -3.70499 0.103471
-3.93669 -3.70949 0.10339
-3.93223 -3.71398 0.103308
-3.92776 -3.71846 0.103227
-3.92328 -3.72294 0.103145
-3.9188 -3.72742 0.103064
-3.91432 -3.73188 0.102982
-3.90982 -3.73635 0.1029
-3.90533 -3.7408 0.102818
-3.90082 -3.74526 0.102736
-3.89631 -3.7497 0.102653
-3.8918 -3.75415 0.102571
-3.88728 -3.75858 0.102488
-3.88275 -3.76301 0.102405
-3.87822 -3.76744 0.102322
-3.87368 -3.77186 0.102239
-3.86914 -3.77627 0.102156
-3.86459 -3.78068 0.102073
-3.86004 -3.78508 0.101989
-3.85548 -3.78948 0.101905
-3.85091 -3.79388 0.101822
-3.84634 -3.79826 0.101738
-3.84177 -3.80264 0.101653
-3.83718 -3.80702 0.101569
-3.8326 -3.81139 0.101485
-3.828 -3.81576 0.1014
-3.82341 -3.82012 0.101315
-3.8188 -3.82447 0.101231
-3.81419 -3.82882 0.101146
-3.80958 -3.83316 0.10106
-3.80496 -3.8375 0.100975
-3.80033 -3.84183 0.10089
-3.7957 -3.84616 0.100804
-3.79107 -3.85048 0.100718
-3.78642 -3.8548 0.100632
-3.78178 -3.85911 0.100546
-3.77712 -3.86341 0.10046
-3.77247 -3.86771 0.100374
-3.7678 -3.87201 0.100288
-3.76313 -3.87629 0.100201
-3.75846 -3.88058 0.100114
-3.75378 -3.88485 0.100027
-3.74909 -3.88912 0.0999402
-3.7444 -3.89339 0.0998531
-3.73971 -3.89765 0.0997657
-3.73501 -3.9019 0.0996783
-3.7303 -3.90615 0.0995907
-3.72559 -3.9104 0.0995029
-3.72087 -3.91463 0.099415
-3.71615 -3.91887 0.099327
-3.71142 -3.92309 0.0992388
-3.70669 -3.92731 0.0991505
-3.70195 -3.93153 0.099062
-3.6972 -3.93574 0.0989734
-3.69245 -3.93994 0.0988846
-3.6877 -3.94414 0.0987957
-3.68294 -3.94833 0.0987067
-3.67817 -3.95252 0.0986175
-3.6734 -3.9567 0.0985282
-3.66863 -3.96087 0.0984387
-3.66385 -3.96504 0.0983491
-3.65906 -3.96921 0.0982594
-3.65427 -3.97336 0.0981695
-3.64947 -3.97752 0.0980795
-3.64467 -3.98166 0.0979893
-3.63986 -3.9858 0.097899
-3.63505 -3.98994 0.0978085
-3.63023 -3.99407 0.0977179
-3.62541 -3.99819 0.0976272
-3.62058 -4.00231 0.0975363
-3.61574 -4.00642 0.0974453
-3.61091 -4.01053 0.0973541
-3.60606 -4.01463 0.0972628
-3.60121 -4.01872 0.0971714
-3.59636 -4.02281 0.0970798
-3.5915 -4.02689 0.0969881
-3.58663 -4.03097 0.0968962
-3.58176 -4.03504 0.0968042
-3.57689 -4.03911 0.0967121
-3.57201 -4.04317 0.0966198
-3.56712 -4.04722 0.0965274
-3.56223 -4.05127 0.0964348
-3.55733 -4.05531 0.0963421
-3.55243 -4.05935 0.0962493
-3.54753 -4.06338 0.0961563
-3.54262 -4.0674 0.0960632
-3.5377 -4.07142 0.0959699
-3.53278 -4.07543 0.0958765
-3.52785 -4.07944 0.095783
-3.52292 -4.08344 0.0956893
-3.51798 -4.08744 0.0955955
-3.51304 -4.09143 0.0955016
-3.50809 -4.09541 0.0954075
-3.50314 -4.09939 0.0953133
-3.49819 -4.10336 0.0952189
-3.49322 -4.10732 0.0951244
-3.48826 -4.11128 0.0950298
-3.48328 -4.11524 0.094935
-3.47831 -4.11918 0.0948401
-3.47332 -4.12313 0.0947451
-3.46834 -4.12706 0.0946499
-3.46334 -4.13099 0.0945545
-3.45835 -4.13491 0.0944591
-3.45334 -4.13883 0.0943635
-3.44834 -4.14274 0.0942678
-3.44333 -4.14665 0.0941719
-3.43831 -4.15055 0.0940759
-3.43329 -4.15444 0.0939797
-3.42826 -4.15833 0.0938835
-3.42323 -4.16221 0.093787
-3.41819 -4.16609 0.0936905
-3.41315 -4.16996 0.0935938
-3.4081 -4.17382 0.093497
-3.40305 -4.17768 0.0934
-3.39799 -4.18153 0.0933029
-3.39293 -4.18538 0.0932057
-3.38786 -4.18921 0.0931083
-3.38279 -4.19305 0.0930109
-3.37771 -4.19687 0.0929132
-3.37263 -4.2007 0.0928155
-3.36755 -4.20451 0.0927175
-3.36245 -4.20832 0.0926195
-3.35736 -4.21212 0.0925213
-3.35226 -4.21592 0.092423
