x y z
-1.57286 0.543594 0.0496047
-1.57629 0.533018 0.0494671
-1.57963 0.522415 0.049327
-1.5829 0.511788 0.0491845
-1.5861 0.501135 0.0490395
-1.58921 0.490457 0.0488921
-1.59225 0.479756 0.0487424
-1.5952 0.469032 0.0485901
-1.59808 0.458284 0.0484355
-1.60088 0.447514 0.0482785
-1.6036 0.436723 0.0481191
-1.60624 0.42591 0.0479573
-1.6088 0.415076 0.0477932
-1.61128 0.404222 0.0476266
-1.61368 0.393348 0.0474577
-1.616 0.382455 0.0472865
-1.61825 0.371543 0.0471129
-1.62041 0.360614 0.046937
-1.62249 0.349666 0.0467587
-1.62449 0.338702 0.0465781
-1.62641 0.327721 0.0463952
-1.62824 0.316724 0.0462099
-1.63 0.305711 0.0460224
-1.63168 0.294684 0.0458326
-1.63327 0.283642 0.0456405
-1.63479 0.272587 0.0454461
-1.63622 0.261518 0.0452495
-1.63757 0.250436 0.0450506
-1.63884 0.239342 0.0448494
-1.64003 0.228237 0.044646
-1.64113 0.21712 0.0444403
-1.64215 0.205993 0.0442325
-1.64309 0.194856 0.0440224
-1.64395 0.183709 0.0438101
-1.64473 0.172553 0.0435956
-1.64542 0.161389 0.0433789
-1.64603 0.150218 0.0431601
-1.64656 0.139039 0.042939
-1.64701 0.127853 0.0427158
-1.64737 0.116661 0.0424905
-1.64765 0.105463 0.042263
-1.64785 0.094261 0.0420334
-1.64796 0.0830541 0.0418016
-1.64799 0.0718432 0.0415678
-1.64794 0.060629 0.0413318
-1.6478 0.049412 0.0410937
-1.64758 0.0381929 0.0408536
-1.64728 0.026972 0.0406114
-1.64689 0.0157501 0.0403671
-1.64642 0.00452769 0.0401208
-1.64587 -0.00669468 0.0398724
-1.64523 -0.0179164 0.039622
-1.64451 -0.029137 0.0393696
-1.64371 -0.0403557 0.0391152
-1.64282 -0.0515722 0.0388587
-1.64185 -0.0627857 0.0386003
-1.64079 -0.0739957 0.0383399
-1.63965 -0.0852016 0.0380776
-1.63843 -0.096403 0.0378133
-1.63712 -0.107599 0.037547
-1.63573 -0.118789 0.0372789
-1.63425 -0.129973 0.0370088
-1.63269 -0.14115 0.0367368
-1.63105 -0.152319 0.0364629
-1.62932 -0.163481 0.0361871
-1.62751 -0.174633 0.0359095
-1.62561 -0.185776 0.03563
-1.62363 -0.19691 0.0353486
-1.62157 -0.208033 0.0350654
-1.61942 -0.219144 0.0347804
-1.61719 -0.230245 0.0344936
-1.61487 -0.241333 0.034205
-1.61247 -0.252408 0.0339146
-1.60999 -0.263469 0.0336225
-1.60742 -0.274517 0.0333285
-1.60477 -0.28555 0.0330329
-1.60203 -0.296568 0.0327355
-1.59921 -0.30757 0.0324364
-1.59631 -0.318555 0.0321356
-1.59332 -0.329524 0.0318331
-1.59025 -0.340475 0.0315289
-1.5871 -0.351408 0.0312231
-1.58386 -0.362322 0.0309156
-1.58054 -0.373216 0.0306064
-1.57713 -0.384091 0.0302957
-1.57364 -0.394945 0.0299833
-1.57007 -0.405778 0.0296694
-1.56642 -0.416589 0.0293539
-1.56268 -0.427377 0.0290368
-1.55886 -0.438143 0.0287182
-1.55495 -0.448885 0.028398
