x y z
-0.28466 -0.338547 -0.00233078
-0.270282 -0.352637 -0.00480033
-0.255225 -0.365834 -0.00725823
-0.239534 -0.378116 -0.00969858
-0.223254 -0.389463 -0.0121156
-0.20643 -0.399857 -0.0145037
-0.189106 -0.40928 -0.0168574
-0.171327 -0.417715 -0.0191713
-0.153138 -0.425148 -0.0214401
-0.134582 -0.431564 -0.0236586
-0.115704 -0.43695 -0.0258217
-0.0965483 -0.441294 -0.0279242
-0.0771601 -0.444584 -0.0299612
-0.0575844 -0.446809 -0.0319276
-0.0378671 -0.44796 -0.0338185
-0.0180543 -0.448027 -0.035629
0.00180684 -0.447004 -0.037354
0.0216687 -0.444881 -0.0389887
0.0414824 -0.441655 -0.0405282
0.0611983 -0.437319 -0.0419674
0.0807655 -0.431869 -0.0433014
0.100132 -0.425303 -0.0445253
0.119244 -0.417619 -0.045634
0.138046 -0.408817 -0.0466225
0.156482 -0.3989 -0.0474859
0.174493 -0.38787 -0.048219
0.19202 -0.375733 -0.0488168
0.208998 -0.362497 -0.0492743
0.225364 -0.348172 -0.0495865
0.241052 -0.332772 -0.0497484
0.255992 -0.316314 -0.049755
0.270112 -0.298817 -0.0496017
0.28334 -0.280307 -0.0492836
0.295599 -0.260812 -0.0487962
0.306811 -0.240367 -0.0481353
0.316896 -0.219012 -0.0472969
0.325771 -0.196795 -0.0462774
0.333353 -0.173769 -0.0450735
0.339557 -0.149997 -0.0436828
0.344297 -0.125551 -0.0421032
0.347488 -0.100511 -0.0403338
0.349047 -0.0749696 -0.0383745
0.348892 -0.0490302 -0.0362263
0.346944 -0.0228086 -0.0338917
0.343133 0.00356662 -0.0313747
0.337393 0.0299534 -0.0286811
0.329671 0.0561964 -0.0258189
0.319923 0.0821269 -0.0227979
0.308124 0.107564 -0.0196307
0.294265 0.132315 -0.0163324
0.278358 0.156179 -0.0129207
0.260441 0.178948 -0.00941596
0.240577 0.200412 -0.00584136
0.218857 0.220361 -0.00222239
0.195402 0.238594 0.00141326
0.170363 0.254919 0.00503623
0.143917 0.269163 0.00861603
0.116268 0.281176 0.0121217
0.0876413 0.290835 0.0155227
0.0582787 0.298047 0.0187894
0.0284328 0.302756 0.0218941
-0.00163938 0.304939 0.0248115
-0.0316826 0.304608 0.0275194
-0.0614494 0.301811 0.0299991
-0.0907056 0.296623 0.0322356
-0.119235 0.289148 0.0342176
-0.146841 0.279511 0.0359377
-0.173351 0.267856 0.0373919
-0.198617 0.254338 0.0385795
-0.222514 0.239121 0.0395025
-0.24494 0.222374 0.0401658
-0.265816 0.204266 0.0405759
-0.285084 0.184964 0.0407412
-0.302702 0.164632 0.0406716
-0.318647 0.143427 0.0403778
-0.332909 0.121499 0.0398711
-0.34549 0.0989889 0.0391635
-0.356402 0.0760314 0.0382672
-0.365667 0.0527509 0.0371942
-0.373313 0.0292635 0.0359569
-0.379375 0.00567704 0.0345671
