x y z
28.6186 -8.80705 -0.478142
28.6194 -8.80441 -0.478215
28.6202 -8.80176 -0.478287
28.621 -8.79912 -0.47836
28.6218 -8.79648 -0.478432
28.6226 -8.79383 -0.478505
28.6234 -8.79119 -0.478577
28.6241 -8.78854 -0.47865
28.6249 -8.7859 -0.478722
28.6257 -8.78325 -0.478794
28.6265 -8.78061 -0.478867
28.6273 -8.77796 -0.478939
28.6281 -8.77532 -0.479012
28.6289 -8.77267 -0.479084
28.6297 -8.77003 -0.479157
28.6304 -8.76738 -0.479229
28.6312 -8.76474 -0.479302
28.632 -8.76209 -0.479374
28.6328 -8.75944 -0.479446
28.6336 -8.7568 -0.479519
28.6344 -8.75415 -0.479591
28.6352 -8.75151 -0.479664
28.636 -8.74886 -0.479736
28.6367 -8.74622 -0.479809
28.6375 -8.74357 -0.479881
28.6383 -8.74092 -0.479953
28.6391 -8.73828 -0.480026
28.6399 -8.73563 -0.480098
28.6407 -8.73298 -0.480171
28.6414 -8.73034 -0.480243
28.6422 -8.72769 -0.480315
28.643 -8.72504 -0.480388
28.6438 -8.7224 -0.48046
28.6446 -8.71975 -0.480532
28.6454 -8.7171 -0.480605
28.6461 -8.71446 -0.480677
28.6469 -8.71181 -0.48075
28.6477 -8.70916 -0.480822
28.6485 -8.70652 -0.480894
28.6493 -8.70387 -0.480967
28.65 -8.70122 -0.481039
28.6508 -8.69858 -0.481111
28.6516 -8.69593 -0.481184
28.6524 -8.69328 -0.481256
28.6532 -8.69063 -0.481328
28.654 -8.68799 -0.481401
28.6547 -8.68534 -0.481473
28.6555 -8.68269 -0.481545
28.6563 -8.68004 -0.481618
28.6571 -8.67739 -0.48169
28.6578 -8.67475 -0.481762
28.6586 -8.6721 -0.481834
28.6594 -8.66945 -0.481907
28.6602 -8.6668 -0.481979
28.661 -8.66415 -0.482051
28.6617 -8.66151 -0.482124
28.6625 -8.65886 -0.482196
28.6633 -8.65621 -0.482268
28.6641 -8.65356 -0.48234
28.6648 -8.65091 -0.482413
28.6656 -8.64826 -0.482485
28.6664 -8.64561 -0.482557
28.6672 -8.64297 -0.482629
28.6679 -8.64032 -0.482702
28.6687 -8.63767 -0.482774
28.6695 -8.63502 -0.482846
28.6703 -8.63237 -0.482918
