x y z
10.558 -31.706 0.339864
10.5606 -31.7057 0.339069
10.5633 -31.7054 0.338274
10.566 -31.7051 0.337479
10.5687 -31.7048 0.336684
10.5713 -31.7045 0.335888
10.574 -31.7042 0.335093
10.5767 -31.7039 0.334298
10.5793 -31.7036 0.333503
10.582 -31.7033 0.332708
10.5847 -31.703 0.331912
10.5874 -31.7027 0.331117
10.59 -31.7024 0.330322
10.5927 -31.702 0.329527
10.5954 -31.7017 0.328731
10.598 -31.7014 0.327936
10.6007 -31.7011 0.327141
10.6034 -31.7008 0.326346
10.606 -31.7005 0.325551
10.6087 -31.7002 0.324755
10.6114 -31.6999 0.32396
10.6141 -31.6996 0.323165
10.6167 -31.6993 0.32237
10.6194 -31.699 0.321574
10.6221 -31.6987 0.320779
10.6247 -31.6984 0.319984
10.6274 -31.6981 0.319189
10.6301 -31.6978 0.318393
10.6327 -31.6975 0.317598
10.6354 -31.6971 0.316803
10.6381 -31.6968 0.316008
10.6407 -31.6965 0.315212
10.6434 -31.6962 0.314417
10.6461 -31.6959 0.313622
10.6488 -31.6956 0.312827
10.6514 -31.6953 0.312031
10.6541 -31.695 0.311236
10.6568 -31.6947 0.310441
10.6594 -31.6944 0.309646
10.6621 -31.6941 0.30885
10.6648 -31.6937 0.308055
10.6674 -31.6934 0.30726
10.6701 -31.6931 0.306464
10.6728 -31.6928 0.305669
10.6754 -31.6925 0.304874
10.6781 -31.6922 0.304079
10.6808 -31.6919 0.303283
10.6834 -31.6916 0.302488
10.6861 -31.6913 0.301693
10.6888 -31.6909 0.300897
10.6915 -31.6906 0.300102
10.6941 -31.6903 0.299307
10.6968 -31.69 0.298512
10.6995 -31.6897 0.297716
10.7021 -31.6894 0.296921
10.7048 -31.6891 0.296126
10.7075 -31.6888 0.29533
10.7101 -31.6884 0.294535
10.7128 -31.6881 0.29374
10.7155 -31.6878 0.292944
10.7181 -31.6875 0.292149
10.7208 -31.6872 0.291354
10.7235 -31.6869 0.290559
10.7261 -31.6866 0.289763
10.7288 -31.6862 0.288968
10.7315 -31.6859 0.288173
10.7341 -31.6856 0.287377
10.7368 -31.6853 0.286582
10.7395 -31.685 0.285787
10.7421 -31.6847 0.284991
10.7448 -31.6844 0.284196
10.7475 -31.684 0.283401
10.7501 -31.6837 0.282605
10.7528 -31.6834 0.28181
10.7555 -31.6831 0.281015
10.7581 -31.6828 0.280219
10.7608 -31.6825 0.279424
10.7635 -31.6821 0.278629
10.7661 -31.6818 0.277833
10.7688 -31.6815 0.277038
10.7715 -31.6812 0.276243
10.7741 -31.6809 0.275447
10.7768 -31.6805 0.274652
10.7795 -31.6802 0.273857
10.7821 -31.6799 0.273061
10.7848 -31.6796 0.272266
10.7875 -31.6793 0.271471
10.7901 -31.679 0.270675
10.7928 -31.6786 0.26988
10.7955 -31.6783 0.269084
10.7981 -31.678 0.268289
10.8008 -31.6777 0.267494
10.8034 -31.6774 0.266698
10.8061 -31.677 0.265903
10.8088 -31.6767 0.265108
10.8114 -31.6764 0.264312
10.8141 -31.6761 0.263517
10.8168 -31.6758 0.262722
10.8194 -31.6754 0.261926
10.8221 -31.6751 0.261131
10.8248 -31.6748 0.260335
10.8274 -31.6745 0.25954
10.8301 -31.6741 0.258745
10.8328 -31.6738 0.257949
10.8354 -31.6735 0.257154
10.8381 -31.6732 0.256359
10.8408 -31.6729 0.255563
10.8434 -31.6725 0.254768
10.8461 -31.6722 0.253972
10.8487 -31.6719 0.253177
10.8514 -31.6716 0.252382
10.8541 -31.6712 0.251586
10.8567 -31.6709 0.250791
10.8594 -31.6706 0.249995
10.8621 -31.6703 0.2492
10.8647 -31.6699 0.248405
10.8674 -31.6696 0.247609
10.8701 -31.6693 0.246814
10.8727 -31.669 0.246018
10.8754 -31.6686 0.245223
10.8781 -31.6683 0.244428
10.8807 -31.668 0.243632
10.8834 -31.6677 0.242837
10.886 -31.6673 0.242041
10.8887 -31.667 0.241246
10.8914 -31.6667 0.240451
10.894 -31.6664 0.239655
10.8967 -31.666 0.23886
10.8994 -31.6657 0.238064
10.902 -31.6654 0.237269
10.9047 -31.6651 0.236473
10.9073 -31.6647 0.235678
10.91 -31.6644 0.234883
10.9127 -31.6641 0.234087
10.9153 -31.6637 0.233292
10.918 -31.6634 0.232496
10.9207 -31.6631 0.231701
10.9233 -31.6628 0.230905
10.926 -31.6624 0.23011
10.9286 -31.6621 0.229315
10.9313 -31.6618 0.228519
10.934 -31.6614 0.227724
10.9366 -31.6611 0.226928
10.9393 -31.6608 0.226133
10.942 -31.6605 0.225337
10.9446 -31.6601 0.224542
10.9473 -31.6598 0.223746
10.9499 -31.6595 0.222951
10.9526 -31.6591 0.222156
10.9553 -31.6588 0.22136
10.9579 -31.6585 0.220565
10.9606 -31.6581 0.219769
10.9632 -31.6578 0.218974
10.9659 -31.6575 0.218178
10.9686 -31.6571 0.217383
10.9712 -31.6568 0.216587
10.9739 -31.6565 0.215792
10.9766 -31.6561 0.214997
10.9792 -31.6558 0.214201
10.9819 -31.6555 0.213406
10.9845 -31.6551 0.21261
10.9872 -31.6548 0.211815
10.9899 -31.6545 0.211019
10.9925 -31.6541 0.210224
10.9952 -31.6538 0.209428
10.9978 -31.6535 0.208633
11.0005 -31.6531 0.207837
11.0032 -31.6528 0.207042
11.0058 -31.6525 0.206246
11.0085 -31.6521 0.205451
11.0111 -31.6518 0.204655
11.0138 -31.6515 0.20386
11.0165 -31.6511 0.203064
11.0191 -31.6508 0.202269
11.0218 -31.6505 0.201474
11.0244 -31.6501 0.200678
11.0271 -31.6498 0.199883
11.0298 -31.6495 0.199087
11.0324 -31.6491 0.198292
11.0351 -31.6488 0.197496
11.0377 -31.6484 0.196701
11.0404 -31.6481 0.195905
11.0431 -31.6478 0.19511
11.0457 -31.6474 0.194314
11.0484 -31.6471 0.193519
11.051 -31.6468 0.192723
11.0537 -31.6464 0.191928
11.0563 -31.6461 0.191132
11.059 -31.6457 0.190337
11.0617 -31.6454 0.189541
11.0643 -31.6451 0.188746
11.067 -31.6447 0.18795
11.0696 -31.6444 0.187155
11.0723 -31.644 0.186359
11.075 -31.6437 0.185564
11.0776 -31.6434 0.184768
11.0803 -31.643 0.183973
11.0829 -31.6427 0.183177
11.0856 -31.6423 0.182382
11.0883 -31.642 0.181586
11.0909 -31.6417 0.180791
11.0936 -31.6413 0.179995
11.0962 -31.641 0.1792
11.0989 -31.6406 0.178404
11.1015 -31.6403 0.177609
11.1042 -31.64 0.176813
11.1069 -31.6396 0.176018
11.1095 -31.6393 0.175222
11.1122 -31.6389 0.174427
11.1148 -31.6386 0.173631
11.1175 -31.6382 0.172835
11.1201 -31.6379 0.17204
11.1228 -31.6376 0.171244
11.1255 -31.6372 0.170449
11.1281 -31.6369 0.169653
11.1308 -31.6365 0.168858
11.1334 -31.6362 0.168062
11.1361 -31.6358 0.167267
11.1387 -31.6355 0.166471
11.1414 -31.6352 0.165676
11.1441 -31.6348 0.16488
11.1467 -31.6345 0.164085
11.1494 -31.6341 0.163289
11.152 -31.6338 0.162494
11.1547 -31.6334 0.161698
11.1573 -31.6331 0.160903
11.16 -31.6327 0.160107
11.1627 -31.6324 0.159311
11.1653 -31.632 0.158516
11.168 -31.6317 0.15772
11.1706 -31.6314 0.156925
11.1733 -31.631 0.156129
11.1759 -31.6307 0.155334
11.1786 -31.6303 0.154538
11.1812 -31.63 0.153743
11.1839 -31.6296 0.152947
11.1866 -31.6293 0.152152
11.1892 -31.6289 0.151356
11.1919 -31.6286 0.15056
11.1945 -31.6282 0.149765
11.1972 -31.6279 0.148969
11.1998 -31.6275 0.148174
11.2025 -31.6272 0.147378
11.2051 -31.6268 0.146583
11.2078 -31.6265 0.145787
11.2105 -31.6261 0.144992
11.2131 -31.6258 0.144196
11.2158 -31.6254 0.143401
11.2184 -31.6251 0.142605
11.2211 -31.6247 0.141809
11.2237 -31.6244 0.141014
11.2264 -31.624 0.140218
11.229 -31.6237 0.139423
11.2317 -31.6233 0.138627
11.2343 -31.623 0.137832
11.237 -31.6226 0.137036
11.2397 -31.6223 0.13624
11.2423 -31.6219 0.135445
11.245 -31.6216 0.134649
11.2476 -31.6212 0.133854
