x y z
-0.335402 -10.0442 0.188046
-0.330786 -10.0444 0.187866
-0.32617 -10.0446 0.187685
-0.321553 -10.0448 0.187505
-0.316937 -10.0449 0.187324
-0.31232 -10.0451 0.187144
-0.307703 -10.0453 0.186963
-0.303087 -10.0454 0.186783
-0.29847 -10.0456 0.186602
-0.293853 -10.0458 0.186421
-0.289236 -10.0459 0.186241
-0.284619 -10.0461 0.18606
-0.280002 -10.0462 0.185879
-0.275385 -10.0464 0.185698
-0.270768 -10.0465 0.185517
-0.266151 -10.0467 0.185336
-0.261534 -10.0468 0.185155
-0.256916 -10.047 0.184974
-0.252299 -10.0471 0.184793
-0.247682 -10.0472 0.184612
-0.243064 -10.0474 0.184431
-0.238447 -10.0475 0.18425
-0.233829 -10.0476 0.184069
-0.229211 -10.0478 0.183887
-0.224594 -10.0479 0.183706
-0.219976 -10.048 0.183525
-0.215358 -10.0482 0.183343
-0.21074 -10.0483 0.183162
-0.206122 -10.0484 0.18298
-0.201505 -10.0485 0.182799
-0.196887 -10.0486 0.182617
-0.192269 -10.0487 0.182436
-0.187651 -10.0488 0.182254
-0.183032 -10.0489 0.182072
-0.178414 -10.0491 0.181891
-0.173796 -10.0492 0.181709
-0.169178 -10.0493 0.181527
-0.16456 -10.0494 0.181345
-0.159941 -10.0495 0.181163
-0.155323 -10.0495 0.180981
-0.150705 -10.0496 0.1808
-0.146086 -10.0497 0.180618
-0.141468 -10.0498 0.180435
-0.13685 -10.0499 0.180253
-0.132231 -10.05 0.180071
-0.127613 -10.0501 0.179889
-0.122994 -10.0501 0.179707
-0.118376 -10.0502 0.179525
-0.113757 -10.0503 0.179342
-0.109138 -10.0504 0.17916
-0.10452 -10.0504 0.178978
-0.0999012 -10.0505 0.178795
-0.0952825 -10.0506 0.178613
-0.0906638 -10.0506 0.17843
-0.0860451 -10.0507 0.178248
-0.0814264 -10.0507 0.178065
-0.0768077 -10.0508 0.177883
-0.0721889 -10.0508 0.1777
-0.0675702 -10.0509 0.177517
-0.0629514 -10.0509 0.177335
-0.0583326 -10.051 0.177152
-0.0537138 -10.051 0.176969
-0.049095 -10.0511 0.176786
-0.0444761 -10.0511 0.176603
-0.0398573 -10.0512 0.17642
-0.0352385 -10.0512 0.176238
-0.0306196 -10.0512 0.176055
-0.0260008 -10.0513 0.175871
-0.0213819 -10.0513 0.175688
-0.016763 -10.0513 0.175505
-0.0121442 -10.0513 0.175322
-0.00752532 -10.0514 0.175139
