x y z
17.8567 8.82505 -0.19868
17.8552 8.82798 -0.198649
17.8536 8.8309 -0.198618
17.8521 8.83383 -0.198587
17.8505 8.83676 -0.198556
17.849 8.83969 -0.198525
17.8474 8.84261 -0.198494
17.8459 8.84554 -0.198463
17.8443 8.84847 -0.198432
17.8428 8.85139 -0.1984
17.8412 8.85432 -0.198369
17.8396 8.85725 -0.198338
17.8381 8.86017 -0.198307
17.8365 8.8631 -0.198276
17.835 8.86602 -0.198245
17.8334 8.86895 -0.198214
17.8319 8.87187 -0.198183
17.8303 8.8748 -0.198152
17.8287 8.87772 -0.19812
17.8272 8.88064 -0.198089
17.8256 8.88357 -0.198058
17.824 8.88649 -0.198027
17.8225 8.88941 -0.197996
17.8209 8.89234 -0.197965
17.8194 8.89526 -0.197934
17.8178 8.89818 -0.197902
17.8162 8.9011 -0.197871
17.8147 8.90402 -0.19784
17.8131 8.90695 -0.197809
17.8115 8.90987 -0.197778
17.81 8.91279 -0.197746
17.8084 8.91571 -0.197715
17.8068 8.91863 -0.197684
17.8053 8.92155 -0.197653
17.8037 8.92447 -0.197622
17.8021 8.92739 -0.19759
17.8006 8.93031 -0.197559
17.799 8.93323 -0.197528
17.7974 8.93615 -0.197497
17.7959 8.93906 -0.197465
17.7943 8.94198 -0.197434
17.7927 8.9449 -0.197403
17.7911 8.94782 -0.197372
17.7896 8.95074 -0.19734
17.788 8.95365 -0.197309
17.7864 8.95657 -0.197278
17.7848 8.95949 -0.197246
17.7833 8.9624 -0.197215
17.7817 8.96532 -0.197184
17.7801 8.96824 -0.197153
17.7785 8.97115 -0.197121
17.777 8.97407 -0.19709
17.7754 8.97698 -0.197059
17.7738 8.9799 -0.197027
17.7722 8.98281 -0.196996
17.7706 8.98573 -0.196965
17.7691 8.98864 -0.196933
17.7675 8.99156 -0.196902
17.7659 8.99447 -0.196871
17.7643 8.99738 -0.196839
17.7627 9.0003 -0.196808
17.7612 9.00321 -0.196776
17.7596 9.00612 -0.196745
17.758 9.00903 -0.196714
17.7564 9.01195 -0.196682
17.7548 9.01486 -0.196651
17.7532 9.01777 -0.196619
17.7517 9.02068 -0.196588
17.7501 9.02359 -0.196557
17.7485 9.0265 -0.196525
17.7469 9.02941 -0.196494
17.7453 9.03232 -0.196462
17.7437 9.03523 -0.196431
17.7421 9.03814 -0.196399
17.7405 9.04105 -0.196368
17.739 9.04396 -0.196336
17.7374 9.04687 -0.196305
17.7358 9.04978 -0.196274
17.7342 9.05269 -0.196242
17.7326 9.0556 -0.196211
17.731 9.05851 -0.196179
17.7294 9.06141 -0.196148
17.7278 9.06432 -0.196116
17.7262 9.06723 -0.196085
17.7246 9.07014 -0.196053
17.723 9.07304 -0.196022
17.7214 9.07595 -0.19599
17.7198 9.07885 -0.195959
17.7183 9.08176 -0.195927
17.7167 9.08467 -0.195896
17.7151 9.08757 -0.195864
17.7135 9.09048 -0.195832
17.7119 9.09338 -0.195801
17.7103 9.09629 -0.195769
17.7087 9.09919 -0.195738
17.7071 9.10209 -0.195706
17.7055 9.105 -0.195675
17.7039 9.1079 -0.195643
17.7023 9.1108 -0.195611
17.7007 9.11371 -0.19558
17.6991 9.11661 -0.195548
17.6975 9.11951 -0.195517
17.6959 9.12242 -0.195485
17.6942 9.12532 -0.195453
17.6926 9.12822 -0.195422
17.691 9.13112 -0.19539
17.6894 9.13402 -0.195359
17.6878 9.13692 -0.195327
17.6862 9.13982 -0.195295
17.6846 9.14272 -0.195264
17.683 9.14562 -0.195232
17.6814 9.14852 -0.1952
17.6798 9.15142 -0.195169
17.6782 9.15432 -0.195137
17.6766 9.15722 -0.195105
17.675 9.16012 -0.195074
17.6734 9.16302 -0.195042
17.6717 9.16592 -0.19501
17.6701 9.16882 -0.194979
17.6685 9.17171 -0.194947
17.6669 9.17461 -0.194915
17.6653 9.17751 -0.194883
17.6637 9.1804 -0.194852
17.6621 9.1833 -0.19482
17.6605 9.1862 -0.194788
17.6588 9.18909 -0.194756
17.6572 9.19199 -0.194725
17.6556 9.19489 -0.194693
17.654 9.19778 -0.194661
17.6524 9.20068 -0.194629
17.6508 9.20357 -0.194598
17.6491 9.20647 -0.194566
17.6475 9.20936 -0.194534
17.6459 9.21225 -0.194502
17.6443 9.21515 -0.194471
17.6427 9.21804 -0.194439
