x y z
-0.662791 0.275895 0.0418721
-0.669206 0.259262 0.042014
-0.675209 0.242473 0.04213
-0.680798 0.22554 0.0422202
-0.685968 0.208472 0.0422844
-0.690717 0.19128 0.0423227
-0.695041 0.173974 0.0423349
-0.698938 0.156565 0.0423211
-0.702405 0.139063 0.0422813
-0.705439 0.121479 0.0422155
-0.70804 0.103825 0.0421237
-0.710204 0.0861096 0.0420059
-0.711931 0.0683452 0.0418623
-0.71322 0.0505423 0.0416929
-0.714069 0.0327118 0.0414977
-0.714477 0.0148647 0.041277
-0.714446 -0.00298801 0.0410309
-0.713973 -0.0208354 0.0407594
-0.713061 -0.0386665 0.0404628
-0.711708 -0.0564703 0.0401413
-0.709916 -0.0742359 0.0397949
-0.707686 -0.0919523 0.039424
-0.70502 -0.109609 0.0390288
-0.701918 -0.127194 0.0386095
-0.698382 -0.144697 0.0381663
-0.694416 -0.162108 0.0376995
-0.69002 -0.179416 0.0372094
-0.685198 -0.196609 0.0366964
-0.679953 -0.213678 0.0361606
-0.674288 -0.230612 0.0356025
-0.668206 -0.2474 0.0350224
-0.661711 -0.264032 0.0344207
-0.654807 -0.280498 0.0337977
-0.647499 -0.296787 0.0331537
-0.63979 -0.312891 0.0324893
-0.631686 -0.328797 0.0318048
-0.623192 -0.344498 0.0311006
-0.614313 -0.359983 0.0303771
-0.605053 -0.375243 0.0296349
-0.59542 -0.390268 0.0288744
-0.585419 -0.405049 0.028096
-0.575056 -0.419577 0.0273002
-0.564338 -0.433843 0.0264875
-0.553271 -0.447838 0.0256584
-0.541863 -0.461554 0.0248135
-0.530119 -0.474982 0.0239532
-0.518048 -0.488114 0.0230781
-0.505657 -0.500943 0.0221887
-0.492954 -0.513459 0.0212856
-0.479946 -0.525657 0.0203694
-0.466642 -0.537527 0.0194405
-0.45305 -0.549063 0.0184996
-0.439178 -0.560258 0.0175472
-0.425035 -0.571105 0.016584
-0.41063 -0.581598 0.0156105
-0.395971 -0.59173 0.0146274
-0.381068 -0.601495 0.0136352
-0.36593 -0.610887 0.0126346
-0.350566 -0.6199 0.0116261
-0.334986 -0.62853 0.0106104
-0.319199 -0.63677 0.00958818
-0.303216 -0.644617 0.00855997
-0.287045 -0.652065 0.00752645
-0.270698 -0.659109 0.00648824
-0.254183 -0.665747 0.00544598
-0.237512 -0.671973 0.00440031
-0.220694 -0.677784 0.00335188
-0.20374 -0.683178 0.00230133
-0.186661 -0.68815 0.0012493
-0.169466 -0.692697 0.000196427
-0.152167 -0.696818 -0.000856636
-0.134773 -0.70051 -0.00190925
-0.117297 -0.703771 -0.00296077
-0.0997471 -0.706598 -0.00401055
-0.0821357 -0.708991 -0.00505797
-0.0644731 -0.710948 -0.00610237
-0.0467702 -0.712469 -0.00714312
-0.0290376 -0.713552 -0.0081796
-0.0112863 -0.714197 -0.00921117
0.00647292 -0.714404 -0.0102372
0.0242293 -0.714173 -0.0112571
0.0419721 -0.713505 -0.0122702
0.0596904 -0.712399 -0.013276
0.0773736 -0.710857 -0.0142737
0.0950109 -0.708881 -0.0152629
0.112592 -0.706471 -0.0162428
0.130105 -0.703628 -0.017213
0.147541 -0.700357 -0.0181729
0.164889 -0.696657 -0.0191218
