kin pot x y z vx vy vz
2.33782e-05 -3.67224e-05 0 6.28319 0 1 0 0
2.33782e-05 -3.67224e-05 -0.00197412 6.28319 0 1 0.000628381 0
2.33782e-05 -3.67224e-05 -0.00592235 6.28318 0 0.999999 0.00125676 0
2.33782e-05 -3.67224e-05 -0.00987059 6.28318 0 0.999999 0.00188514 0
2.33782e-05 -3.67223e-05 -0.0138188 6.28317 0 0.999997 0.00251352 0
2.33782e-05 -3.67223e-05 -0.017767 6.28317 0 0.999996 0.0031419 0
2.33782e-05 -3.67223e-05 -0.0217153 6.28315 0 0.999994 0.00377028 0
2.33782e-05 -3.67223e-05 -0.0256635 6.28314 0 0.999992 0.00439866 0
2.33782e-05 -3.67223e-05 -0.0296117 6.28312 0 0.999989 0.00502704 0
2.33783e-05 -3.67223e-05 -0.0335598 6.28311 0 0.999986 0.00565541 0
2.33783e-05 -3.67223e-05 -0.037508 6.28308 0 0.999982 0.00628378 0
2.33783e-05 -3.67223e-05 -0.0414562 6.28306 0 0.999978 0.00691215 0
2.33783e-05 -3.67223e-05 -0.0454043 6.28304 0 0.999974 0.00754052 0
2.33783e-05 -3.67223e-05 -0.0493524 6.28301 0 0.999969 0.00816889 0
2.33783e-05 -3.67223e-05 -0.0533005 6.28298 0 0.999964 0.00879725 0
2.33783e-05 -3.67223e-05 -0.0572486 6.28294 0 0.999958 0.00942561 0
2.33783e-05 -3.67223e-05 -0.0611966 6.28291 0 0.999952 0.010054 0
2.33783e-05 -3.67223e-05 -0.0651447 6.28287 0 0.999946 0.0106823 0
2.33783e-05 -3.67223e-05 -0.0690927 6.28283 0 0.999939 0.0113107 0
2.33784e-05 -3.67223e-05 -0.0730406 6.28278 0 0.999932 0.011939 0
2.33784e-05 -3.67223e-05 -0.0769886 6.28274 0 0.999925 0.0125673 0
2.33784e-05 -3.67223e-05 -0.0809365 6.28269 0 0.999917 0.0131957 0
2.33784e-05 -3.67223e-05 -0.0848844 6.28264 0 0.999909 0.013824 0
2.33784e-05 -3.67223e-05 -0.0888322 6.28258 0 0.9999 0.0144523 0
2.33784e-05 -3.67223e-05 -0.09278 6.28253 0 0.999891 0.0150806 0
2.33784e-05 -3.67223e-05 -0.0967278 6.28247 0 0.999881 0.015709 0
2.33784e-05 -3.67222e-05 -0.100676 6.28241 0 0.999871 0.0163373 0
2.33784e-05 -3.67222e-05 -0.104623 6.28235 0 0.999861 0.0169656 0
2.33784e-05 -3.67222e-05 -0.108571 6.28228 0 0.999851 0.0175939 0
