kin pot x y z vx vy vz
2.33782e-05 -3.67224e-05 0 6.28319 0 1 0 0
2.33782e-05 -3.67224e-05 -0.00394824 6.28318 0 1 0.000628381 0
2.33782e-05 -3.67224e-05 -0.00789647 6.28318 0 0.999999 0.00125676 0
2.33782e-05 -3.67224e-05 -0.0118447 6.28317 0 0.999998 0.00188514 0
2.33782e-05 -3.67224e-05 -0.0157929 6.28317 0 0.999997 0.00251352 0
2.33782e-05 -3.67224e-05 -0.0197411 6.28315 0 0.999995 0.0031419 0
2.33782e-05 -3.67224e-05 -0.0236894 6.28314 0 0.999993 0.00377028 0
2.33782e-05 -3.67224e-05 -0.0276376 6.28312 0 0.99999 0.00439866 0
2.33782e-05 -3.67224e-05 -0.0315858 6.28311 0 0.999987 0.00502703 0
2.33782e-05 -3.67224e-05 -0.0355339 6.28308 0 0.999984 0.0056554 0
2.33782e-05 -3.67224e-05 -0.0394821 6.28306 0 0.99998 0.00628377 0
2.33782e-05 -3.67224e-05 -0.0434303 6.28304 0 0.999976 0.00691214 0
2.33782e-05 -3.67224e-05 -0.0473784 6.28301 0 0.999972 0.00754051 0
2.33782e-05 -3.67224e-05 -0.0513265 6.28298 0 0.999967 0.00816887 0
2.33782e-05 -3.67224e-05 -0.0552746 6.28294 0 0.999961 0.00879723 0
2.33782e-05 -3.67224e-05 -0.0592227 6.28291 0 0.999956 0.00942558 0
2.33782e-05 -3.67224e-05 -0.0631707 6.28287 0 0.999949 0.0100539 0
2.33782e-05 -3.67224e-05 -0.0671187 6.28283 0 0.999943 0.0106823 0
2.33782e-05 -3.67224e-05 -0.0710667 6.28278 0 0.999936 0.0113106 0
2.33782e-05 -3.67224e-05 -0.0750147 6.28274 0 0.999929 0.011939 0
2.33782e-05 -3.67224e-05 -0.0789627 6.28269 0 0.999921 0.0125673 0
2.33782e-05 -3.67224e-05 -0.0829106 6.28264 0 0.999913 0.0131956 0
2.33782e-05 -3.67224e-05 -0.0868584 6.28258 0 0.999904 0.013824 0
2.33782e-05 -3.67224e-05 -0.0908063 6.28253 0 0.999896 0.0144523 0
2.33782e-05 -3.67224e-05 -0.0947541 6.28247 0 0.999886 0.0150806 0
2.33782e-05 -3.67224e-05 -0.0987019 6.28241 0 0.999877 0.0157089 0
2.33782e-05 -3.67224e-05 -0.10265 6.28235 0 0.999867 0.0163372 0
2.33782e-05 -3.67224e-05 -0.106597 6.28228 0 0.999856 0.0169655 0
2.33782e-05 -3.67224e-05 -0.110545 6.28221 0 0.999845 0.0175938 0
2.33782e-05 -3.67224e-05 -0.114493 6.28214 0 0.999834 0.0182221 0
2.33782e-05 -3.67224e-05 -0.11844 6.28207 0 0.999822 0.0188503 0
2.33782e-05 -3.67224e-05 -0.122388 6.28199 0 0.99981 0.0194786 0
2.33782e-05 -3.67224e-05 -0.126335 6.28192 0 0.999798 0.0201069 0
2.33782e-05 -3.67224e-05 -0.130282 6.28183 0 0.999785 0.0207351 0
2.33782e-05 -3.67224e-05 -0.13423 6.28175 0 0.999772 0.0213633 0
2.33782e-05 -3.67224e-05 -0.138177 6.28167 0 0.999758 0.0219916 0
2.33782e-05 -3.67224e-05 -0.142124 6.28158 0 0.999744 0.0226198 0
2.33782e-05 -3.67224e-05 -0.146072 6.28149 0 0.99973 0.023248 0
2.33782e-05 -3.67224e-05 -0.150019 6.28139 0 0.999715 0.0238762 0
2.33782e-05 -3.67224e-05 -0.153966 6.2813 0 0.9997 0.0245044 0
2.33782e-05 -3.67224e-05 -0.157913 6.2812 0 0.999684 0.0251326 0
2.33782e-05 -3.67224e-05 -0.16186 6.2811 0 0.999668 0.0257608 0
2.33782e-05 -3.67224e-05 -0.165807 6.281 0 0.999652 0.026389 0
2.33782e-05 -3.67224e-05 -0.169754 6.28089 0 0.999635 0.0270171 0
2.33782e-05 -3.67224e-05 -0.1737 6.28078 0 0.999618 0.0276453 0
2.33782e-05 -3.67224e-05 -0.177647 6.28067 0 0.9996 0.0282734 0
2.33782e-05 -3.67224e-05 -0.181594 6.28056 0 0.999582 0.0289015 0
2.33782e-05 -3.67224e-05 -0.18554 6.28045 0 0.999564 0.0295296 0
2.33782e-05 -3.67224e-05 -0.189487 6.28033 0 0.999545 0.0301577 0
2.33782e-05 -3.67224e-05 -0.193433 6.28021 0 0.999526 0.0307858 0
2.33782e-05 -3.67224e-05 -0.197379 6.28008 0 0.999506 0.0314139 0
2.33782e-05 -3.67224e-05 -0.201326 6.27996 0 0.999487 0.032042 0
2.33782e-05 -3.67224e-05 -0.205272 6.27983 0 0.999466 0.03267 0
2.33782e-05 -3.67224e-05 -0.209218 6.2797 0 0.999445 0.0332981 0
2.33782e-05 -3.67224e-05 -0.213164 6.27957 0 0.999424 0.0339261 0
2.33782e-05 -3.67224e-05 -0.21711 6.27943 0 0.999403 0.0345541 0
2.33782e-05 -3.67224e-05 -0.221056 6.2793 0 0.999381 0.0351821 0
2.33782e-05 -3.67224e-05 -0.225001 6.27916 0 0.999359 0.0358101 0
2.33782e-05 -3.67224e-05 -0.228947 6.27901 0 0.999336 0.0364381 0
2.33782e-05 -3.67224e-05 -0.232893 6.27887 0 0.999313 0.037066 0
2.33782e-05 -3.67224e-05 -0.236838 6.27872 0 0.999289 0.037694 0
2.33782e-05 -3.67224e-05 -0.240783 6.27857 0 0.999265 0.0383219 0
2.33782e-05 -3.67224e-05 -0.244729 6.27842 0 0.999241 0.0389498 0
2.33782e-05 -3.67224e-05 -0.248674 6.27826 0 0.999216 0.0395777 0
2.33782e-05 -3.67224e-05 -0.252619 6.2781 0 0.999191 0.0402056 0
2.33782e-05 -3.67224e-05 -0.256564 6.27794 0 0.999166 0.0408334 0
2.33782e-05 -3.67224e-05 -0.260509 6.27778 0 0.99914 0.0414613 0
2.33782e-05 -3.67224e-05 -0.264454 6.27762 0 0.999114 0.0420891 0
2.33782e-05 -3.67224e-05 -0.268398 6.27745 0 0.999087 0.0427169 0
2.33782e-05 -3.67224e-05 -0.272343 6.27728 0 0.99906 0.0433447 0
2.33782e-05 -3.67224e-05 -0.276287 6.27711 0 0.999033 0.0439725 0
2.33782e-05 -3.67224e-05 -0.280232 6.27693 0 0.999005 0.0446003 0
2.33782e-05 -3.67224e-05 -0.284176 6.27676 0 0.998977 0.045228 0
2.33782e-05 -3.67224e-05 -0.28812 6.27658 0 0.998948 0.0458558 0
2.33782e-05 -3.67224e-05 -0.292064 6.27639 0 0.998919 0.0464835 0
2.33782e-05 -3.67224e-05 -0.296008 6.27621 0 0.99889 0.0471112 0
2.33782e-05 -3.67224e-05 -0.299952 6.27602 0 0.99886 0.0477388 0
2.33782e-05 -3.67224e-05 -0.303896 6.27583 0 0.99883 0.0483665 0
2.33782e-05 -3.67224e-05 -0.307839 6.27564 0 0.998799 0.0489941 0
2.33782e-05 -3.67224e-05 -0.311783 6.27544 0 0.998768 0.0496217 0
2.33782e-05 -3.67224e-05 -0.315726 6.27525 0 0.998737 0.0502493 0
2.33782e-05 -3.67224e-05 -0.319669 6.27505 0 0.998705 0.0508769 0
2.33782e-05 -3.67224e-05 -0.323612 6.27485 0 0.998673 0.0515045 0
2.33782e-05 -3.67224e-05 -0.327555 6.27464 0 0.99864 0.052132 0
2.33782e-05 -3.67224e-05 -0.331498 6.27443 0 0.998607 0.0527595 0
2.33782e-05 -3.67224e-05 -0.335441 6.27422 0 0.998574 0.053387 0
2.33782e-05 -3.67224e-05 -0.339383 6.27401 0 0.99854 0.0540145 0
2.33782e-05 -3.67224e-05 -0.343325 6.2738 0 0.998506 0.054642 0
2.33782e-05 -3.67224e-05 -0.347268 6.27358 0 0.998471 0.0552694 0
2.33782e-05 -3.67224e-05 -0.35121 6.27336 0 0.998437 0.0558968 0
2.33782e-05 -3.67224e-05 -0.355152 6.27314 0 0.998401 0.0565242 0
2.33782e-05 -3.67224e-05 -0.359094 6.27292 0 0.998366 0.0571516 0
2.33782e-05 -3.67224e-05 -0.363035 6.27269 0 0.998329 0.0577789 0
2.33782e-05 -3.67224e-05 -0.366977 6.27246 0 0.998293 0.0584062 0
2.33782e-05 -3.67224e-05 -0.370918 6.27223 0 0.998256 0.0590335 0
2.33782e-05 -3.67224e-05 -0.37486 6.27199 0 0.998219 0.0596608 0
2.33782e-05 -3.67224e-05 -0.378801 6.27176 0 0.998181 0.060288 0
2.33782e-05 -3.67224e-05 -0.382742 6.27152 0 0.998143 0.0609153 0
2.33782e-05 -3.67224e-05 -0.386683 6.27128 0 0.998104 0.0615425 0
2.33782e-05 -3.67224e-05 -0.390623 6.27103 0 0.998066 0.0621696 0
2.33782e-05 -3.67224e-05 -0.394564 6.27078 0 0.998026 0.0627968 0
2.33782e-05 -3.67224e-05 -0.398504 6.27054 0 0.997987 0.0634239 0
2.33782e-05 -3.67224e-05 -0.402444 6.27028 0 0.997947 0.064051 0
2.33782e-05 -3.67224e-05 -0.406384 6.27003 0 0.997906 0.0646781 0
2.33782e-05 -3.67224e-05 -0.410324 6.26977 0 0.997865 0.0653052 0
2.33782e-05 -3.67224e-05 -0.414264 6.26951 0 0.997824 0.0659322 0
2.33782e-05 -3.67224e-05 -0.418204 6.26925 0 0.997782 0.0665592 0
2.33782e-05 -3.67224e-05 -0.422143 6.26899 0 0.99774 0.0671862 0
2.33782e-05 -3.67224e-05 -0.426082 6.26872 0 0.997698 0.0678131 0
2.33782e-05 -3.67224e-05 -0.430021 6.26845 0 0.997655 0.06844 0
2.33782e-05 -3.67224e-05 -0.43396 6.26818 0 0.997612 0.0690669 0
2.33782e-05 -3.67224e-05 -0.437899 6.26791 0 0.997568 0.0696938 0
2.33782e-05 -3.67224e-05 -0.441838 6.26763 0 0.997524 0.0703206 0
2.33782e-05 -3.67224e-05 -0.445776 6.26735 0 0.99748 0.0709474 0
2.33782e-05 -3.67224e-05 -0.449714 6.26707 0 0.997435 0.0715742 0
2.33782e-05 -3.67224e-05 -0.453652 6.26679 0 0.99739 0.072201 0
2.33782e-05 -3.67224e-05 -0.45759 6.2665 0 0.997345 0.0728277 0
2.33782e-05 -3.67224e-05 -0.461528 6.26621 0 0.997299 0.0734544 0
2.33782e-05 -3.67224e-05 -0.465465 6.26592 0 0.997252 0.0740811 0
2.33782e-05 -3.67224e-05 -0.469402 6.26563 0 0.997205 0.0747077 0
2.33782e-05 -3.67224e-05 -0.47334 6.26533 0 0.997158 0.0753343 0
2.33782e-05 -3.67224e-05 -0.477276 6.26503 0 0.997111 0.0759609 0
2.33782e-05 -3.67224e-05 -0.481213 6.26473 0 0.997063 0.0765875 0
2.33782e-05 -3.67224e-05 -0.48515 6.26443 0 0.997015 0.077214 0
2.33782e-05 -3.67224e-05 -0.489086 6.26412 0 0.996966 0.0778405 0
2.33782e-05 -3.67224e-05 -0.493022 6.26381 0 0.996917 0.0784669 0
2.33782e-05 -3.67224e-05 -0.496958 6.2635 0 0.996867 0.0790934 0
2.33782e-05 -3.67224e-05 -0.500894 6.26319 0 0.996817 0.0797198 0
2.33782e-05 -3.67224e-05 -0.50483 6.26287 0 0.996767 0.0803461 0
2.33782e-05 -3.67224e-05 -0.508765 6.26255 0 0.996716 0.0809725 0
2.33782e-05 -3.67224e-05 -0.5127 6.26223 0 0.996665 0.0815988 0
2.33782e-05 -3.67224e-05 -0.516635 6.26191 0 0.996614 0.082225 0
2.33782e-05 -3.67224e-05 -0.52057 6.26158 0 0.996562 0.0828513 0
2.33782e-05 -3.67224e-05 -0.524504 6.26125 0 0.99651 0.0834775 0
2.33782e-05 -3.67224e-05 -0.528439 6.26092 0 0.996457 0.0841036 0
2.33782e-05 -3.67224e-05 -0.532373 6.26059 0 0.996404 0.0847298 0
2.33782e-05 -3.67224e-05 -0.536307 6.26025 0 0.996351 0.0853559 0
2.33782e-05 -3.67224e-05 -0.540241 6.25992 0 0.996297 0.085982 0
2.33782e-05 -3.67224e-05 -0.544174 6.25958 0 0.996242 0.086608 0
2.33782e-05 -3.67224e-05 -0.548107 6.25923 0 0.996188 0.087234 0
2.33782e-05 -3.67224e-05 -0.55204 6.25889 0 0.996133 0.08786 0
2.33782e-05 -3.67224e-05 -0.555973 6.25854 0 0.996077 0.0884859 0
2.33782e-05 -3.67224e-05 -0.559906 6.25819 0 0.996022 0.0891118 0
2.33782e-05 -3.67224e-05 -0.563838 6.25784 0 0.995965 0.0897377 0
2.33782e-05 -3.67224e-05 -0.567771 6.25748 0 0.995909 0.0903635 0
2.33782e-05 -3.67224e-05 -0.571702 6.25712 0 0.995852 0.0909893 0
2.33782e-05 -3.67224e-05 -0.575634 6.25676 0 0.995794 0.091615 0
2.33782e-05 -3.67224e-05 -0.579566 6.2564 0 0.995737 0.0922408 0
2.33782e-05 -3.67224e-05 -0.583497 6.25603 0 0.995679 0.0928664 0
2.33782e-05 -3.67224e-05 -0.587428 6.25567 0 0.99562 0.0934921 0
2.33782e-05 -3.67224e-05 -0.591359 6.25529 0 0.995561 0.0941177 0
2.33782e-05 -3.67224e-05 -0.59529 6.25492 0 0.995502 0.0947433 0
2.33782e-05 -3.67224e-05 -0.59922 6.25455 0 0.995442 0.0953688 0
2.33782e-05 -3.67224e-05 -0.60315 6.25417 0 0.995382 0.0959943 0
2.33782e-05 -3.67224e-05 -0.60708 6.25379 0 0.995321 0.0966198 0
2.33782e-05 -3.67224e-05 -0.61101 6.25341 0 0.99526 0.0972452 0
2.33782e-05 -3.67224e-05 -0.614939 6.25302 0 0.995199 0.0978706 0
2.33782e-05 -3.67224e-05 -0.618868 6.25263 0 0.995137 0.0984959 0
2.33782e-05 -3.67224e-05 -0.622797 6.25224 0 0.995075 0.0991212 0
2.33782e-05 -3.67224e-05 -0.626726 6.25185 0 0.995013 0.0997465 0
2.33782e-05 -3.67224e-05 -0.630654 6.25146 0 0.99495 0.100372 0
2.33782e-05 -3.67224e-05 -0.634582 6.25106 0 0.994887 0.100997 0
2.33782e-05 -3.67224e-05 -0.63851 6.25066 0 0.994823 0.101622 0
2.33782e-05 -3.67224e-05 -0.642438 6.25026 0 0.994759 0.102247 0
2.33782e-05 -3.67224e-05 -0.646365 6.24985 0 0.994695 0.102872 0
2.33782e-05 -3.67224e-05 -0.650292 6.24944 0 0.99463 0.103497 0
2.33782e-05 -3.67224e-05 -0.654219 6.24903 0 0.994565 0.104122 0
2.33782e-05 -3.67224e-05 -0.658146 6.24862 0 0.994499 0.104747 0
2.33782e-05 -3.67224e-05 -0.662072 6.24821 0 0.994433 0.105372 0
2.33782e-05 -3.67224e-05 -0.665998 6.24779 0 0.994366 0.105997 0
2.33782e-05 -3.67224e-05 -0.669924 6.24737 0 0.9943 0.106622 0
2.33782e-05 -3.67224e-05 -0.67385 6.24695 0 0.994232 0.107247 0
2.33782e-05 -3.67224e-05 -0.677775 6.24652 0 0.994165 0.107871 0
2.33782e-05 -3.67224e-05 -0.6817 6.24609 0 0.994097 0.108496 0
2.33782e-05 -3.67224e-05 -0.685625 6.24567 0 0.994029 0.109121 0
2.33782e-05 -3.67224e-05 -0.68955 6.24523 0 0.99396 0.109745 0
2.33782e-05 -3.67224e-05 -0.693474 6.2448 0 0.993891 0.11037 0
2.33782e-05 -3.67224e-05 -0.697398 6.24436 0 0.993821 0.110994 0
2.33782e-05 -3.67224e-05 -0.701322 6.24392 0 0.993751 0.111619 0
2.33782e-05 -3.67224e-05 -0.705245 6.24348 0 0.993681 0.112243 0
2.33782e-05 -3.67224e-05 -0.709168 6.24304 0 0.99361 0.112868 0
2.33782e-05 -3.67224e-05 -0.713091 6.24259 0 0.993539 0.113492 0
2.33782e-05 -3.67224e-05 -0.717014 6.24214 0 0.993467 0.114116 0
2.33782e-05 -3.67224e-05 -0.720936 6.24169 0 0.993395 0.114741 0
2.33782e-05 -3.67224e-05 -0.724858 6.24123 0 0.993323 0.115365 0
2.33782e-05 -3.67224e-05 -0.72878 6.24078 0 0.993251 0.115989 0
2.33782e-05 -3.67224e-05 -0.732701 6.24032 0 0.993177 0.116613 0
2.33782e-05 -3.67224e-05 -0.736622 6.23986 0 0.993104 0.117237 0
2.33782e-05 -3.67224e-05 -0.740543 6.23939 0 0.99303 0.117861 0
2.33782e-05 -3.67224e-05 -0.744464 6.23893 0 0.992956 0.118485 0
2.33782e-05 -3.67224e-05 -0.748384 6.23846 0 0.992881 0.119109 0
2.33782e-05 -3.67224e-05 -0.752304 6.23798 0 0.992806 0.119733 0
2.33782e-05 -3.67224e-05 -0.756224 6.23751 0 0.992731 0.120357 0
2.33782e-05 -3.67224e-05 -0.760143 6.23703 0 0.992655 0.120981 0
2.33782e-05 -3.67224e-05 -0.764062 6.23656 0 0.992579 0.121604 0
2.33782e-05 -3.67224e-05 -0.767981 6.23607 0 0.992502 0.122228 0
2.33782e-05 -3.67224e-05 -0.771899 6.23559 0 0.992425 0.122852 0
