t x y
0 1 0
0.001001 1 0.00628947
0.002002 0.99996 0.0125789
0.003003 0.999881 0.0188682
0.004004 0.999763 0.0251569
0.00500501 0.999604 0.0314449
0.00600601 0.999407 0.0377319
0.00700701 0.999169 0.0440176
0.00800801 0.998893 0.0503019
0.00900901 0.998576 0.0565844
0.01001 0.998221 0.0628649
0.011011 0.997825 0.0691432
0.012012 0.99739 0.075419
0.013013 0.996916 0.0816921
0.014014 0.996403 0.0879621
0.015015 0.99585 0.094229
0.016016 0.995257 0.100492
0.017017 0.994625 0.106752
0.018018 0.993954 0.113008
0.019019 0.993244 0.119259
0.02002 0.992494 0.125506
0.021021 0.991705 0.131748
0.022022 0.990877 0.137986
0.023023 0.99001 0.144218
0.024024 0.989103 0.150445
0.025025 0.988158 0.156666
0.026026 0.987173 0.162881
0.027027 0.98615 0.169089
0.028028 0.985087 0.175292
0.029029 0.983985 0.181488
0.03003 0.982845 0.187676
0.031031 0.981665 0.193858
0.032032 0.980447 0.200032
0.033033 0.97919 0.206199
0.034034 0.977895 0.212358
0.035035 0.97656 0.218508
0.036036 0.975188 0.22465
0.037037 0.973776 0.230784
0.038038 0.972326 0.236908
0.039039 0.970838 0.243024
0.04004 0.969311 0.24913
0.041041 0.967746 0.255227
0.042042 0.966143 0.261314
0.043043 0.964501 0.26739
0.044044 0.962822 0.273457
0.045045 0.961104 0.279513
0.046046 0.959348 0.285558
0.047047 0.957555 0.291592
0.048048 0.955723 0.297614
0.049049 0.953854 0.303626
0.0500501 0.951947 0.309625
0.0510511 0.950003 0.315613
0.0520521 0.948021 0.321588
0.0530531 0.946001 0.327551
0.0540541 0.943944 0.333501
0.0550551 0.94185 0.339439
0.0560561 0.939719 0.345363
0.0570571 0.93755 0.351274
0.0580581 0.935345 0.357171
0.0590591 0.933102 0.363054
0.0600601 0.930823 0.368923
0.0610611 0.928507 0.374778
0.0620621 0.926154 0.380619
0.0630631 0.923764 0.386444
0.0640641 0.921338 0.392255
0.0650651 0.918876 0.39805
0.0660661 0.916378 0.40383
0.0670671 0.913843 0.409595
0.0680681 0.911272 0.415343
0.0690691 0.908665 0.421075
0.0700701 0.906022 0.426791
0.0710711 0.903344 0.43249
0.0720721 0.900629 0.438173
0.0730731 0.89788 0.443838
0.0740741 0.895094 0.449487
0.0750751 0.892274 0.455117
0.0760761 0.889418 0.46073
0.0770771 0.886527 0.466325
0.0780781 0.883601 0.471902
0.0790791 0.88064 0.477461
0.0800801 0.877644 0.483001
0.0810811 0.874614 0.488522
0.0820821 0.871549 0.494025
0.0830831 0.86845 0.499508
0.0840841 0.865316 0.504971
0.0850851 0.862149 0.510415
0.0860861 0.858947 0.515839
0.0870871 0.855711 0.521243
0.0880881 0.852442 0.526627
0.0890891 0.849139 0.53199
0.0900901 0.845802 0.537333
0.0910911 0.842432 0.542655
0.0920921 0.839029 0.547955
0.0930931 0.835593 0.553234
0.0940941 0.832123 0.558492
0.0950951 0.828621 0.563728
0.0960961 0.825086 0.568942
0.0970971 0.821519 0.574133
0.0980981 0.817919 0.579303
0.0990991 0.814287 0.58445
0.1001 0.810622 0.589574
0.101101 0.806926 0.594675
0.102102 0.803198 0.599753
0.103103 0.799438 0.604808
0.104104 0.795647 0.609839
0.105105 0.791824 0.614846
0.106106 0.78797 0.619829
0.107107 0.784085 0.624789
0.108108 0.780169 0.629724
0.109109 0.776222 0.634634
0.11011 0.772245 0.63952
0.111111 0.768237 0.64438
0.112112 0.764199 0.649216
0.113113 0.760131 0.654026
0.114114 0.756032 0.658811
0.115115 0.751904 0.663571
0.116116 0.747746 0.668304
0.117117 0.743559 0.673011
0.118118 0.739343 0.677692
0.119119 0.735097 0.682347
0.12012 0.730822 0.686975
0.121121 0.726519 0.691577
0.122122 0.722186 0.696151
0.123123 0.717826 0.700699
0.124124 0.713437 0.705219
0.125125 0.70902 0.709712
0.126126 0.704574 0.714177
0.127127 0.700102 0.718614
0.128128 0.695601 0.723023
0.129129 0.691073 0.727404
0.13013 0.686518 0.731757
0.131131 0.681936 0.736081
0.132132 0.677327 0.740377
0.133133 0.672691 0.744644
0.134134 0.668029 0.748882
0.135135 0.66334 0.75309
0.136136 0.658625 0.75727
0.137137 0.653885 0.761419
0.138138 0.649118 0.76554
0.139139 0.644326 0.76963
0.14014 0.639509 0.773691
0.141141 0.634666 0.777721
0.142142 0.629798 0.781721
0.143143 0.624906 0.785691
0.144144 0.619988 0.78963
0.145145 0.615047 0.793539
0.146146 0.610081 0.797416
0.147147 0.605091 0.801263
0.148148 0.600077 0.805078
0.149149 0.59504 0.808862
0.15015 0.589979 0.812615
0.151151 0.584895 0.816336
0.152152 0.579788 0.820025
0.153153 0.574658 0.823683
0.154154 0.569506 0.827308
0.155155 0.564331 0.830901
0.156156 0.559133 0.834462
0.157157 0.553914 0.837991
0.158158 0.548673 0.841487
0.159159 0.54341 0.84495
0.16016 0.538126 0.84838
0.161161 0.532821 0.851777
0.162162 0.527494 0.855142
0.163163 0.522147 0.858473
0.164164 0.51678 0.861771
0.165165 0.511392 0.865035
0.166166 0.505983 0.868266
0.167167 0.500555 0.871462
0.168168 0.495107 0.874626
0.169169 0.48964 0.877755
0.17017 0.484153 0.88085
0.171171 0.478648 0.883911
0.172172 0.473123 0.886937
0.173173 0.46758 0.889929
0.174174 0.462018 0.892887
0.175175 0.456438 0.89581
0.176176 0.45084 0.898698
0.177177 0.445225 0.901551
0.178178 0.439592 0.904369
0.179179 0.433941 0.907153
0.18018 0.428274 0.909901
0.181181 0.422589 0.912614
0.182182 0.416888 0.915291
0.183183 0.41117 0.917933
0.184184 0.405437 0.920539
0.185185 0.399687 0.92311
0.186186 0.393921 0.925645
0.187187 0.38814 0.928143
0.188188 0.382344 0.930606
0.189189 0.376533 0.933033
0.19019 0.370706 0.935424
0.191191 0.364865 0.937779
0.192192 0.35901 0.940097
0.193193 0.353141 0.942379
0.194194 0.347257 0.944624
0.195195 0.34136 0.946833
0.196196 0.335449 0.949005
0.197197 0.329526 0.95114
0.198198 0.323589 0.953239
0.199199 0.317639 0.9553
0.2002 0.311677 0.957325
0.201201 0.305703 0.959313
0.202202 0.299716 0.961263
0.203203 0.293718 0.963177
0.204204 0.287708 0.965053
0.205205 0.281686 0.966892
0.206206 0.275654 0.968693
0.207207 0.26961 0.970457
0.208208 0.263556 0.972184
0.209209 0.257491 0.973872
0.21021 0.251417 0.975524
0.211211 0.245332 0.977137
0.212212 0.239237 0.978713
0.213213 0.233133 0.980251
0.214214 0.22702 0.981751
0.215215 0.220898 0.983214
0.216216 0.214767 0.984638
0.217217 0.208627 0.986024
0.218218 0.20248 0.987372
0.219219 0.196324 0.988683
0.22022 0.19016 0.989955
0.221221 0.183989 0.991188
0.222222 0.17781 0.992384
0.223223 0.171624 0.993541
0.224224 0.165432 0.99466
0.225225 0.159232 0.995741
0.226226 0.153027 0.996783
0.227227 0.146815 0.997787
0.228228 0.140597 0.998753
0.229229 0.134374 0.99968
0.23023 0.128145 1.00057
0.231231 0.121911 1.00142
0.232232 0.115673 1.00223
0.233233 0.109429 1.003
0.234234 0.103181 1.00374
0.235235 0.0969287 1.00443
0.236236 0.0906725 1.00509
0.237237 0.0844125 1.00571
0.238238 0.0781491 1.00629
0.239239 0.0718824 1.00683
0.24024 0.0656127 1.00733
0.241241 0.0593403 1.00779
0.242242 0.0530653 1.00822
0.243243 0.0467881 1.0086
0.244244 0.0405088 1.00895
0.245245 0.0342277 1.00926
0.246246 0.027945 1.00953
0.247247 0.021661 1.00976
0.248248 0.015376 1.00995
0.249249 0.00909014 1.0101
0.25025 0.00280368 1.01022
0.251251 -0.00348313 1.0103
0.252252 -0.00977005 1.01033
0.253253 -0.0160568 1.01033
0.254254 -0.0223432 1.01029
0.255255 -0.028629 1.01021
0.256256 -0.034914 1.01009
0.257257 -0.0411978 1.00994
0.258258 -0.0474803 1.00974
0.259259 -0.0537612 1.00951
0.26026 -0.0600403 1.00923
0.261261 -0.0663174 1.00892
0.262262 -0.0725921 1.00857
0.263263 -0.0788643 1.00818
0.264264 -0.0851338 1.00776
0.265265 -0.0914002 1.00729
0.266266 -0.0976633 1.00679
0.267267 -0.103923 1.00624
0.268268 -0.110179 1.00566
0.269269 -0.116431 1.00504
0.27027 -0.122679 1.00438
0.271271 -0.128922 1.00369
0.272272 -0.135161 1.00295
0.273273 -0.141394 1.00218
0.274274 -0.147623 1.00137
0.275275 -0.153846 1.00052
0.276276 -0.160063 0.999631
0.277277 -0.166275 0.998705
0.278278 -0.172481 0.997741
0.279279 -0.17868 0.996739
0.28028 -0.184873 0.995698
0.281281 -0.191058 0.99462
0.282282 -0.197237 0.993504
0.283283 -0.203409 0.99235
0.284284 -0.209573 0.991158
0.285285 -0.215729 0.989928
0.286286 -0.221877 0.988661
0.287287 -0.228017 0.987356
0.288288 -0.234149 0.986013
0.289289 -0.240272 0.984633
0.29029 -0.246386 0.983216
0.291291 -0.252491 0.981761
0.292292 -0.258587 0.980268
0.293293 -0.264673 0.978739
0.294294 -0.270749 0.977172
0.295295 -0.276815 0.975568
0.296296 -0.282871 0.973927
0.297297 -0.288916 0.972249
0.298298 -0.294951 0.970534
0.299299 -0.300974 0.968782
0.3003 -0.306987 0.966993
0.301301 -0.312988 0.965168
0.302302 -0.318978 0.963306
0.303303 -0.324955 0.961407
0.304304 -0.330921 0.959472
0.305305 -0.336874 0.957501
0.306306 -0.342815 0.955493
0.307307 -0.348743 0.953449
0.308308 -0.354658 0.951369
0.309309 -0.36056 0.949253
0.31031 -0.366448 0.947101
0.311311 -0.372323 0.944913
0.312312 -0.378184 0.94269
0.313313 -0.384031 0.94043
0.314314 -0.389863 0.938135
0.315315 -0.395681 0.935805
0.316316 -0.401485 0.933439
0.317317 -0.407273 0.931038
0.318318 -0.413047 0.928602
0.319319 -0.418805 0.92613
0.32032 -0.424547 0.923624
0.321321 -0.430274 0.921082
0.322322 -0.435985 0.918506
0.323323 -0.441679 0.915896
0.324324 -0.447357 0.91325
0.325325 -0.453019 0.91057
0.326326 -0.458663 0.907856
0.327327 -0.464291 0.905108
0.328328 -0.469901 0.902325
0.329329 -0.475494 0.899509
0.33033 -0.48107 0.896658
0.331331 -0.486627 0.893774
0.332332 -0.492166 0.890856
0.333333 -0.497687 0.887905
0.334334 -0.50319 0.88492
0.335335 -0.508674 0.881902
0.336336 -0.514139 0.878851
0.337337 -0.519585 0.875766
0.338338 -0.525012 0.872649
0.339339 -0.530419 0.869499
0.34034 -0.535807 0.866316
0.341341 -0.541174 0.863101
0.342342 -0.546522 0.859853
0.343343 -0.55185 0.856573
0.344344 -0.557157 0.853261
0.345345 -0.562443 0.849916
0.346346 -0.567708 0.84654
0.347347 -0.572953 0.843132
0.348348 -0.578176 0.839693
0.349349 -0.583378 0.836222
0.35035 -0.588559 0.832719
0.351351 -0.593717 0.829186
0.352352 -0.598854 0.825621
0.353353 -0.603968 0.822025
0.354354 -0.60906 0.818399
0.355355 -0.61413 0.814742
0.356356 -0.619177 0.811055
0.357357 -0.624201 0.807337
0.358358 -0.629202 0.803589
0.359359 -0.63418 0.799811
0.36036 -0.639134 0.796003
0.361361 -0.644065 0.792165
0.362362 -0.648972 0.788298
0.363363 -0.653855 0.784401
0.364364 -0.658714 0.780475
0.365365 -0.663549 0.77652
0.366366 -0.668359 0.772535
0.367367 -0.673145 0.768522
0.368368 -0.677905 0.764481
0.369369 -0.682641 0.76041
0.37037 -0.687352 0.756312
0.371371 -0.692037 0.752185
0.372372 -0.696697 0.74803
0.373373 -0.701331 0.743848
0.374374 -0.70594 0.739637
0.375375 -0.710522 0.7354
0.376376 -0.715079 0.731134
0.377377 -0.719609 0.726842
0.378378 -0.724112 0.722522
0.379379 -0.728589 0.718176
0.38038 -0.73304 0.713803
0.381381 -0.737463 0.709403
0.382382 -0.741859 0.704977
0.383383 -0.746228 0.700525
0.384384 -0.75057 0.696047
0.385385 -0.754884 0.691543
0.386386 -0.75917 0.687014
0.387387 -0.763429 0.682458
0.388388 -0.76766 0.677878
0.389389 -0.771862 0.673272
0.39039 -0.776037 0.668642
0.391391 -0.780182 0.663986
0.392392 -0.7843 0.659306
0.393393 -0.788388 0.654602
0.394394 -0.792448 0.649873
0.395395 -0.796479 0.64512
0.396396 -0.80048 0.640344
0.397397 -0.804453 0.635544
0.398398 -0.808396 0.63072
0.399399 -0.812309 0.625873
0.4004 -0.816193 0.621002
0.401401 -0.820047 0.616109
0.402402 -0.823871 0.611193
0.403403 -0.827665 0.606254
0.404404 -0.831429 0.601293
0.405405 -0.835162 0.59631
0.406406 -0.838865 0.591305
0.407407 -0.842538 0.586278
0.408408 -0.846179 0.581229
0.409409 -0.84979 0.576159
0.41041 -0.85337 0.571068
0.411411 -0.856919 0.565955
0.412412 -0.860437 0.560822
0.413413 -0.863923 0.555668
0.414414 -0.867379 0.550493
0.415415 -0.870802 0.545298
0.416416 -0.874194 0.540084
0.417417 -0.877554 0.534849
0.418418 -0.880882 0.529595
0.419419 -0.884179 0.524321
