t x y
0 1 0
0.001001 0.99998 0.00628947
0.002002 0.999921 0.0125787
0.003003 0.999822 0.0188674
0.004004 0.999684 0.0251554
0.00500501 0.999506 0.0314424
0.00600601 0.999288 0.0377281
0.00700701 0.999031 0.0440124
0.00800801 0.998734 0.0502949
0.00900901 0.998398 0.0565754
0.01001 0.998023 0.0628537
0.011011 0.997608 0.0691295
0.012012 0.997153 0.0754026
0.013013 0.996659 0.0816726
0.014014 0.996126 0.0879395
0.015015 0.995553 0.0942029
0.016016 0.994941 0.100462
0.017017 0.994289 0.106718
0.018018 0.993599 0.11297
0.019019 0.992868 0.119217
0.02002 0.992099 0.125459
0.021021 0.99129 0.131696
0.022022 0.990442 0.137928
0.023023 0.989555 0.144155
0.024024 0.988629 0.150376
0.025025 0.987664 0.156591
0.026026 0.986659 0.1628
0.027027 0.985616 0.169002
0.028028 0.984533 0.175198
0.029029 0.983412 0.181386
0.03003 0.982252 0.187568
0.031031 0.981053 0.193742
0.032032 0.979815 0.199908
0.033033 0.978538 0.206067
0.034034 0.977223 0.212217
0.035035 0.975869 0.21836
0.036036 0.974476 0.224493
0.037037 0.973045 0.230617
0.038038 0.971575 0.236733
0.039039 0.970067 0.242839
0.04004 0.96852 0.248935
0.041041 0.966936 0.255022
0.042042 0.965313 0.261098
0.043043 0.963651 0.267164
0.044044 0.961952 0.27322
0.045045 0.960215 0.279265
0.046046 0.958439 0.285298
0.047047 0.956626 0.291321
0.048048 0.954775 0.297332
0.049049 0.952886 0.303331
0.0500501 0.950959 0.309318
0.0510511 0.948995 0.315293
0.0520521 0.946993 0.321255
0.0530531 0.944954 0.327205
0.0540541 0.942877 0.333142
0.0550551 0.940763 0.339066
0.0560561 0.938612 0.344976
0.0570571 0.936424 0.350872
0.0580581 0.934199 0.356755
0.0590591 0.931936 0.362624
0.0600601 0.929637 0.368478
0.0610611 0.927301 0.374317
0.0620621 0.924929 0.380142
0.0630631 0.92252 0.385952
0.0640641 0.920074 0.391747
0.0650651 0.917592 0.397526
0.0660661 0.915074 0.403289
0.0670671 0.912519 0.409036
0.0680681 0.909928 0.414767
0.0690691 0.907302 0.420482
0.0700701 0.904639 0.42618
0.0710711 0.901941 0.431862
0.0720721 0.899207 0.437526
0.0730731 0.896437 0.443173
0.0740741 0.893632 0.448802
0.0750751 0.890792 0.454414
0.0760761 0.887916 0.460007
0.0770771 0.885006 0.465583
0.0780781 0.88206 0.47114
0.0790791 0.879079 0.476678
0.0800801 0.876064 0.482198
0.0810811 0.873014 0.487698
0.0820821 0.869929 0.493179
0.0830831 0.86681 0.498641
0.0840841 0.863657 0.504083
0.0850851 0.860469 0.509505
0.0860861 0.857248 0.514907
0.0870871 0.853992 0.520288
0.0880881 0.850703 0.525649
0.0890891 0.84738 0.530989
0.0900901 0.844024 0.536308
0.0910911 0.840634 0.541606
0.0920921 0.837211 0.546882
0.0930931 0.833755 0.552137
0.0940941 0.830266 0.55737
0.0950951 0.826744 0.562581
0.0960961 0.82319 0.56777
0.0970971 0.819602 0.572936
0.0980981 0.815983 0.57808
0.0990991 0.812331 0.5832
0.1001 0.808647 0.588298
0.101101 0.804931 0.593372
0.102102 0.801183 0.598423
0.103103 0.797403 0.60345
0.104104 0.793592 0.608453
0.105105 0.78975 0.613433
0.106106 0.785876 0.618388
0.107107 0.781971 0.623318
0.108108 0.778035 0.628224
0.109109 0.774069 0.633105
0.11011 0.770072 0.637961
0.111111 0.766044 0.642792
0.112112 0.761986 0.647597
0.113113 0.757898 0.652377
0.114114 0.75378 0.657131
0.115115 0.749632 0.661859
0.116116 0.745455 0.66656
0.117117 0.741248 0.671236
0.118118 0.737011 0.675884
0.119119 0.732746 0.680506
0.12012 0.728451 0.685102
0.121121 0.724128 0.68967
0.122122 0.719776 0.69421
0.123123 0.715396 0.698724
0.124124 0.710987 0.703209
0.125125 0.70655 0.707667
0.126126 0.702085 0.712097
0.127127 0.697593 0.716499
0.128128 0.693073 0.720872
0.129129 0.688525 0.725217
