x y
-0.99998 -0.00628377
-0.999921 -0.0125673
-0.999821 -0.0188503
-0.999682 -0.0251326
-0.999503 -0.0314139
-0.999285 -0.0376939
-0.999027 -0.0439724
-0.998729 -0.0502492
-0.998391 -0.056524
-0.998014 -0.0627965
-0.997597 -0.0690666
-0.99714 -0.0753339
-0.996644 -0.0815982
-0.996108 -0.0878592
-0.995533 -0.0941168
-0.994918 -0.100371
-0.994263 -0.10662
-0.993569 -0.112866
-0.992836 -0.119107
-0.992063 -0.125344
-0.991251 -0.131575
-0.990399 -0.137801
-0.989508 -0.144022
-0.988577 -0.150237
-0.987608 -0.156446
-0.986599 -0.162649
-0.98555 -0.168845
-0.984463 -0.175035
-0.983336 -0.181217
-0.982171 -0.187393
-0.980966 -0.193561
-0.979723 -0.199721
-0.97844 -0.205873
-0.977119 -0.212018
-0.975758 -0.218153
-0.974359 -0.22428
-0.972921 -0.230399
-0.971445 -0.236508
-0.96993 -0.242607
-0.968376 -0.248697
-0.966784 -0.254777
-0.965153 -0.260847
-0.963484 -0.266907
-0.961777 -0.272956
-0.960031 -0.278994
-0.958247 -0.285021
-0.956425 -0.291036
-0.954565 -0.297041
-0.952668 -0.303033
-0.950732 -0.309013
-0.948758 -0.314981
-0.946747 -0.320936
-0.944698 -0.326879
-0.942611 -0.332809
-0.940487 -0.338725
-0.938326 -0.344628
-0.936127 -0.350517
-0.933891 -0.356393
-0.931618 -0.362254
-0.929308 -0.3681
-0.92696 -0.373932
-0.924576 -0.379749
-0.922155 -0.385552
-0.919698 -0.391338
-0.917204 -0.397109
-0.914673 -0.402865
-0.912106 -0.408604
-0.909502 -0.414327
-0.906863 -0.420034
-0.904187 -0.425723
-0.901475 -0.431396
-0.898728 -0.437052
-0.895944 -0.44269
-0.893125 -0.448311
-0.890271 -0.453914
-0.887381 -0.459498
-0.884455 -0.465065
-0.881495 -0.470613
-0.878499 -0.476142
-0.875468 -0.481652
-0.872403 -0.487143
-0.869302 -0.492615
-0.866167 -0.498067
-0.862998 -0.503499
-0.859794 -0.508911
-0.856556 -0.514303
-0.853284 -0.519674
-0.849977 -0.525025
-0.846637 -0.530355
-0.843263 -0.535663
-0.839856 -0.540951
-0.836415 -0.546216
-0.832941 -0.55146
-0.829433 -0.556682
-0.825893 -0.561882
-0.822319 -0.567059
-0.818713 -0.572214
-0.815074 -0.577346
-0.811403 -0.582455
-0.807699 -0.58754
-0.803963 -0.592602
-0.800195 -0.597641
-0.796395 -0.602656
-0.792563 -0.607646
-0.7887 -0.612613
-0.784805 -0.617555
-0.780879 -0.622472
-0.776922 -0.627365
-0.772934 -0.632232
-0.768915 -0.637075
-0.764865 -0.641892
-0.760785 -0.646683
-0.756674 -0.651448
-0.752533 -0.656188
-0.748362 -0.660901
-0.744161 -0.665588
-0.739931 -0.670248
-0.735671 -0.674881
-0.731381 -0.679488
-0.727062 -0.684067
-0.722715 -0.688619
-0.718338 -0.693144
-0.713933 -0.697641
-0.709499 -0.70211
-0.705037 -0.706551
-0.700547 -0.710964
-0.696028 -0.715348
-0.691482 -0.719704
-0.686908 -0.724031
-0.682307 -0.728329
-0.677679 -0.732598
-0.673023 -0.736837
-0.668341 -0.741047
-0.663631 -0.745228
-0.658896 -0.749379
-0.654134 -0.753499
-0.649345 -0.75759
-0.644531 -0.76165
-0.639691 -0.76568
-0.634825 -0.769679
-0.629934 -0.773648
-0.625018 -0.777585
-0.620077 -0.781491
-0.615111 -0.785367
-0.61012 -0.78921
-0.605105 -0.793022
-0.600066 -0.796803
-0.595002 -0.800551
-0.589915 -0.804267
-0.584804 -0.807951
-0.57967 -0.811603
-0.574513 -0.815222
-0.569332 -0.818809
