x y
0.997162 0.10671
0.988713 0.212822
0.974838 0.317769
0.955828 0.421047
0.932052 0.522231
0.903932 0.620987
0.871915 0.717074
0.836451 0.810333
0.797974 0.900679
0.75689 0.988091
0.71357 1.07259
0.66835 1.15424
0.621525 1.23313
0.573356 1.30935
0.524067 1.38303
0.473855 1.45427
0.422888 1.5232
0.371311 1.58994
0.319247 1.65461
0.266803 1.7173
0.214068 1.77814
0.161121 1.83722
0.108027 1.89463
0.0548421 1.95046
0.00161479 2.0048
-0.0516141 2.05772
-0.10481 2.1093
-0.157943 2.15961
-0.210987 2.20871
-0.263922 2.25666
-0.31673 2.30352
-0.369394 2.34933
-0.421902 2.39415
-0.474244 2.43802
-0.52641 2.48098
-0.578392 2.52309
-0.630185 2.56436
-0.681783 2.60484
-0.733183 2.64456
-0.784381 2.68356
-0.835375 2.72186
-0.886163 2.75948
-0.936745 2.79646
-0.987118 2.83283
-1.03728 2.86859
-1.08724 2.90378
-1.13699 2.93842
-1.18654 2.97252
-1.23588 3.00611
-1.28501 3.03919
-1.33394 3.0718
-1.38267 3.10394
-1.4312 3.13564
-1.47953 3.16689
-1.52766 3.19773
-1.57559 3.22816
-1.62334 3.25819
-1.67089 3.28783
-1.71825 3.31711
-1.76543 3.34602
-1.81242 3.37458
-1.85923 3.4028
-1.90585 3.43069
-1.9523 3.45825
-1.99857 3.4855
-2.04466 3.51245
-2.09058 3.53909
-2.13633 3.56545
-2.18191 3.59153
-2.22733 3.61733
-2.27257 3.64286
-2.31766 3.66813
-2.36258 3.69314
-2.40735 3.71791
-2.45195 3.74243
-2.4964 3.76671
-2.5407 3.79077
-2.58485 3.81459
-2.62884 3.8382
-2.67269 3.86158
-2.71639 3.88476
-2.75994 3.90773
-2.80335 3.93049
-2.84662 3.95306
-2.88975 3.97543
-2.93274 3.99761
-2.9756 4.01961
-3.01832 4.04142
-3.0609 4.06305
-3.10335 4.08451
-3.14568 4.10579
-3.18787 4.12691
-3.22994 4.14786
-3.27187 4.16865
-3.31369 4.18928
-3.35538 4.20975
-3.39695 4.23007
-3.43839 4.25024
-3.47972 4.27026
-3.52093 4.29014
-3.56202 4.30987
-3.603 4.32947
-3.64386 4.34892
-3.68461 4.36824
-3.72524 4.38743
-3.76577 4.40648
-3.80618 4.42541
-3.84649 4.44421
-3.88669 4.46289
-3.92678 4.48144
-3.96676 4.49988
-4.00664 4.51819
-4.04642 4.53639
-4.0861 4.55447
-4.12567 4.57244
-4.16515 4.5903
-4.20452 4.60805
-4.2438 4.62569
-4.28297 4.64323
-4.32205 4.66066
