x y
0.999972 0.01056
0.999886 0.0211194
0.999744 0.0316776
0.999545 0.042234
0.99929 0.052788
0.998977 0.063339
0.998609 0.0738865
0.998183 0.0844297
0.997701 0.0949682
0.997163 0.105501
0.996569 0.116028
0.995919 0.126549
0.995213 0.137063
0.994451 0.147569
0.993634 0.158066
0.992761 0.168555
0.991834 0.179035
0.990851 0.189504
0.989814 0.199963
0.988723 0.210412
0.987577 0.220848
0.986378 0.231273
0.985125 0.241685
0.983818 0.252084
0.982459 0.262469
0.981047 0.272841
0.979583 0.283197
0.978067 0.293539
0.976499 0.303865
0.974879 0.314176
0.973209 0.32447
0.971488 0.334747
0.969717 0.345006
0.967896 0.355248
0.966026 0.365472
0.964107 0.375677
0.962139 0.385864
0.960122 0.39603
0.958058 0.406178
0.955947 0.416305
0.953788 0.426412
0.951583 0.436497
0.949332 0.446562
0.947036 0.456606
0.944694 0.466627
0.942307 0.476627
0.939877 0.486604
0.937402 0.496558
0.934884 0.506489
0.932323 0.516397
0.92972 0.526282
0.927075 0.536143
0.924388 0.54598
0.921661 0.555793
0.918892 0.565581
0.916084 0.575345
0.913237 0.585084
0.91035 0.594798
0.907424 0.604486
0.904461 0.614149
0.90146 0.623787
0.898421 0.633399
0.895346 0.642985
0.892235 0.652545
0.889088 0.662079
0.885906 0.671587
0.882689 0.681068
0.879438 0.690523
0.876153 0.699951
0.872835 0.709353
0.869484 0.718728
0.8661 0.728076
0.862684 0.737398
0.859237 0.746692
0.855759 0.75596
0.85225 0.7652
0.848711 0.774413
0.845143 0.7836
0.841545 0.792759
0.837918 0.801891
0.834263 0.810996
0.830581 0.820074
0.82687 0.829124
0.823133 0.838148
0.819369 0.847144
0.815579 0.856114
0.811763 0.865056
0.807921 0.873971
0.804055 0.882859
0.800164 0.89172
0.796249 0.900555
0.79231 0.909362
0.788348 0.918143
0.784362 0.926896
0.780355 0.935623
0.776324 0.944324
0.772273 0.952998
0.768199 0.961645
0.764105 0.970266
0.759989 0.978861
0.755854 0.987429
0.751698 0.995971
0.747523 1.00449
0.743328 1.01298
0.739114 1.02144
0.734882 1.02988
0.730631 1.03829
0.726362 1.04668
0.722076 1.05504
0.717772 1.06338
0.713451 1.07169
0.709113 1.07997
0.704759 1.08823
0.700389 1.09647
0.696003 1.10468
0.691601 1.11287
0.687184 1.12103
0.682752 1.12917
0.678306 1.13728
0.673845 1.14537
0.66937 1.15343
0.66488 1.16147
0.660378 1.16949
0.655862 1.17748
0.651332 1.18545
0.64679 1.1934
0.642236 1.20132
0.637668 1.20922
0.633089 1.2171
0.628498 1.22495
0.623895 1.23278
0.619281 1.24059
0.614656 1.24838
0.610019 1.25614
0.605372 1.26388
0.600714 1.2716
0.596046 1.2793
0.591368 1.28698
0.58668 1.29463
0.581982 1.30226
0.577274 1.30987
0.572557 1.31746
0.567831 1.32503
0.563096 1.33258
0.558352 1.34011
0.5536 1.34762
0.548839 1.3551
0.54407 1.36257
0.539293 1.37001
0.534508 1.37744
0.529715 1.38484
0.524915 1.39223
0.520107 1.3996
0.515292 1.40694
0.510469 1.41427
0.50564 1.42158
0.500804 1.42886
0.495961 1.43613
0.491112 1.44338
0.486257 1.45062
0.481395 1.45783
0.476527 1.46502
0.471653 1.4722
0.466773 1.47936
0.461888 1.4865
0.456997 1.49362
0.4521 1.50072
0.447198 1.50781
0.442291 1.51488
0.437379 1.52193
0.432462 1.52897
0.42754 1.53598
0.422614 1.54298
0.417682 1.54997
0.412746 1.55693
0.407806 1.56388
0.402861 1.57081
0.397913 1.57773
0.39296 1.58463
0.388003 1.59151
0.383042 1.59838
0.378077 1.60523
0.373109 1.61207
0.368136 1.61889
0.363161 1.6257
0.358182 1.63248
0.353199 1.63926
0.348213 1.64602
0.343224 1.65276
0.338232 1.65949
0.333237 1.6662
0.328239 1.6729
0.323238 1.67959
0.318234 1.68625
0.313228 1.69291
0.308219 1.69955
0.303207 1.70618
0.298193 1.71279
0.293176 1.71939
0.288157 1.72597
0.283135 1.73254
0.278112 1.7391
0.273086 1.74564
0.268058 1.75217
0.263028 1.75869
0.257996 1.76519
0.252962 1.77168
0.247926 1.77815
0.242888 1.78462
0.237849 1.79107
0.232808 1.7975
0.227765 1.80393
0.222721 1.81034
0.217675 1.81674
0.212627 1.82313
0.207579 1.8295
0.202528 1.83586
0.197477 1.84221
0.192424 1.84855
0.18737 1.85488
0.182315 1.86119
0.177258 1.86749
0.1722 1.87379
0.167142 1.88006
0.162082 1.88633
0.157021 1.89259
0.15196 1.89883
0.146897 1.90506
0.141834 1.91129
0.13677 1.9175
0.131705 1.9237
0.126639 1.92989
0.121572 1.93606
0.116505 1.94223
0.111437 1.94839
0.106369 1.95453
0.1013 1.96067
0.0962303 1.96679
0.0911602 1.97291
0.0860897 1.97901
0.0810187 1.9851
0.0759473 1.99119
0.0708755 1.99726
0.0658034 2.00332
0.0607309 2.00937
0.0556581 2.01542
0.0505851 2.02145
0.0455118 2.02747
0.0404383 2.03349
0.0353646 2.03949
0.0302907 2.04549
0.0252167 2.05147
0.0201426 2.05745
0.0150684 2.06341
0.00999411 2.06937
0.00491979 2.07532
-0.000154558 2.08126
-0.0052289 2.08719
-0.0103032 2.09311
-0.0153775 2.09902
-0.0204517 2.10492
-0.0255258 2.11081
-0.0305999 2.1167
-0.0356738 2.12258
-0.0407475 2.12844
-0.0458211 2.1343
-0.0508945 2.14015
-0.0559677 2.14599
-0.0610407 2.15183
-0.0661134 2.15765
-0.0711859 2.16347
-0.0762581 2.16928
-0.0813301 2.17508
-0.0864017 2.18087
-0.091473 2.18666
-0.096544 2.19243
-0.101615 2.1982
-0.106685 2.20396
-0.111755 2.20971
-0.116824 2.21546
-0.121893 2.22119
-0.126962 2.22692
-0.13203 2.23264
-0.137098 2.23836
-0.142165 2.24407
-0.147232 2.24976
-0.152298 2.25546
-0.157364 2.26114
-0.16243 2.26682
-0.167494 2.27249
-0.172559 2.27815
-0.177622 2.2838
-0.182686 2.28945
-0.187748 2.29509
-0.19281 2.30073
-0.197872 2.30635
-0.202933 2.31197
-0.207993 2.31759
-0.213052 2.32319
-0.218111 2.32879
-0.22317 2.33439
-0.228228 2.33997
-0.233285 2.34555
-0.238341 2.35112
-0.243397 2.35669
-0.248452 2.36225
-0.253506 2.3678
-0.25856 2.37335
-0.263613 2.37889
-0.268665 2.38442
-0.273717 2.38995
-0.278768 2.39547
-0.283818 2.40098
-0.288867 2.40649
-0.293916 2.412
-0.298964 2.41749
