x y
0.999972 0.00980177
0.999886 0.019603
0.999744 0.0294031
0.999545 0.0392015
0.99929 0.0489977
0.998977 0.0587912
0.998608 0.0685813
0.998183 0.0783675
0.997701 0.0881492
0.997163 0.097926
0.996568 0.107697
0.995917 0.117463
0.995211 0.127221
0.994448 0.136973
0.99363 0.146716
0.992756 0.156452
0.991827 0.166179
0.990843 0.175897
0.989804 0.185604
0.98871 0.195302
0.987562 0.204989
0.986359 0.214665
0.985103 0.224328
0.983793 0.23398
0.982429 0.243619
0.981012 0.253245
0.979542 0.262857
0.978019 0.272455
0.976445 0.282038
0.974818 0.291606
0.973139 0.301159
0.971409 0.310696
0.969628 0.320217
0.967797 0.329721
0.965914 0.339208
0.963982 0.348677
0.962001 0.358128
0.95997 0.367561
0.95789 0.376975
0.955762 0.38637
0.953585 0.395746
0.951361 0.405102
0.94909 0.414437
0.946772 0.423753
0.944407 0.433047
0.941996 0.44232
0.939539 0.451572
0.937037 0.460802
0.934491 0.47001
0.9319 0.479196
0.929265 0.488359
0.926587 0.4975
0.923865 0.506617
0.921101 0.515711
0.918295 0.524781
0.915447 0.533827
0.912558 0.542849
0.909628 0.551847
0.906657 0.560821
0.903647 0.56977
0.900597 0.578694
0.897508 0.587593
0.894381 0.596467
0.891216 0.605315
0.888013 0.614138
0.884773 0.622935
0.881496 0.631706
0.878183 0.640451
0.874834 0.649171
0.87145 0.657864
0.868031 0.66653
0.864578 0.675171
0.861091 0.683784
0.85757 0.692372
0.854016 0.700932
0.85043 0.709466
0.846811 0.717973
0.843161 0.726453
0.839479 0.734906
0.835767 0.743332
0.832025 0.751732
0.828252 0.760104
0.82445 0.768449
0.820619 0.776767
0.816759 0.785058
0.812871 0.793322
0.808956 0.801559
0.805013 0.809768
0.801043 0.817951
0.797046 0.826107
0.793024 0.834235
0.788976 0.842337
0.784902 0.850411
0.780804 0.858459
0.776681 0.866479
0.772534 0.874473
0.768364 0.88244
0.76417 0.89038
0.759953 0.898293
0.755713 0.90618
0.751452 0.914041
0.747168 0.921874
0.742864 0.929682
0.738538 0.937463
0.734191 0.945217
0.729825 0.952946
0.725438 0.960648
0.721031 0.968325
0.716605 0.975975
0.712161 0.9836
0.707697 0.991199
0.703216 0.998772
0.698716 1.00632
0.694199 1.01384
0.689664 1.02134
0.685113 1.02881
0.680545 1.03626
0.67596 1.04368
0.671359 1.05108
0.666743 1.05845
0.662111 1.0658
0.657464 1.07312
0.652802 1.08042
0.648125 1.0877
0.643434 1.09495
0.638729 1.10217
0.63401 1.10938
0.629278 1.11656
0.624532 1.12371
0.619774 1.13084
0.615002 1.13795
0.610219 1.14504
0.605422 1.1521
0.600614 1.15914
0.595795 1.16616
0.590963 1.17316
0.586121 1.18013
0.581267 1.18708
0.576402 1.19401
0.571527 1.20091
0.566642 1.2078
0.561746 1.21466
0.556841 1.2215
0.551925 1.22832
0.547 1.23512
0.542066 1.2419
0.537123 1.24866
0.53217 1.25539
0.527209 1.26211
0.52224 1.2688
0.517262 1.27548
0.512275 1.28213
0.507281 1.28877
0.502279 1.29538
0.497269 1.30198
0.492252 1.30855
0.487227 1.31511
0.482196 1.32164
0.477157 1.32816
0.472111 1.33466
0.467059 1.34114
0.462 1.3476
0.456935 1.35404
0.451864 1.36046
0.446786 1.36687
0.441703 1.37325
0.436614 1.37962
0.431519 1.38597
0.426419 1.39231
0.421313 1.39862
0.416202 1.40492
0.411086 1.4112
0.405965 1.41746
0.400838 1.42371
0.395708 1.42994
0.390572 1.43615
0.385432 1.44235
0.380288 1.44853
0.375139 1.45469
0.369986 1.46084
0.364829 1.46697
0.359668 1.47308
0.354504 1.47918
0.349335 1.48527
0.344163 1.49134
0.338987 1.49739
0.333808 1.50342
0.328625 1.50945
0.323439 1.51545
0.31825 1.52145
0.313058 1.52742
0.307863 1.53338
0.302664 1.53933
0.297463 1.54527
0.29226 1.55118
0.287053 1.55709
0.281844 1.56298
0.276633 1.56886
0.271419 1.57472
0.266202 1.58057
0.260984 1.5864
0.255763 1.59223
0.25054 1.59804
0.245315 1.60383
0.240088 1.60961
0.234859 1.61538
0.229628 1.62114
0.224395 1.62688
0.219161 1.63261
0.213924 1.63833
0.208686 1.64404
0.203447 1.64973
0.198206 1.65541
0.192964 1.66108
0.18772 1.66674
0.182475 1.67238
0.177229 1.67801
0.171981 1.68363
0.166732 1.68924
0.161482 1.69484
0.156231 1.70043
0.150979 1.706
0.145726 1.71157
0.140472 1.71712
0.135217 1.72266
0.129961 1.72819
0.124704 1.73371
0.119447 1.73922
0.114188 1.74472
0.10893 1.75021
0.10367 1.75568
0.0984099 1.76115
0.0931492 1.7666
0.0878879 1.77205
0.0826262 1.77749
0.0773639 1.78291
0.0721013 1.78833
0.0668382 1.79373
0.0615748 1.79913
0.056311 1.80452
0.0510469 1.80989
0.0457826 1.81526
0.040518 1.82062
0.0352532 1.82597
0.0299882 1.8313
0.0247231 1.83663
0.0194579 1.84195
0.0141925 1.84727
0.00892713 1.85257
0.00366167 1.85786
-0.0016038 1.86314
-0.00686926 1.86842
-0.0121347 1.87369
-0.0174001 1.87895
-0.0226654 1.8842
-0.0279306 1.88944
-0.0331956 1.89467
-0.0384605 1.89989
-0.0437253 1.90511
-0.0489899 1.91032
-0.0542542 1.91552
-0.0595184 1.92071
-0.0647822 1.92589
-0.0700458 1.93107
-0.0753092 1.93624
-0.0805722 1.9414
-0.0858349 1.94655
-0.0910973 1.95169
-0.0963593 1.95683
-0.101621 1.96196
-0.106882 1.96708
-0.112143 1.9722
-0.117403 1.9773
-0.122663 1.9824
-0.127923 1.9875
-0.133182 1.99258
-0.138441 1.99766
-0.143699 2.00273
-0.148956 2.0078
-0.154214 2.01285
-0.15947 2.0179
-0.164726 2.02295
-0.169982 2.02798
-0.175237 2.03301
-0.180491 2.03804
-0.185745 2.04305
-0.190998 2.04807
-0.19625 2.05307
-0.201502 2.05807
-0.206754 2.06306
-0.212004 2.06804
-0.217254 2.07302
-0.222504 2.07799
-0.227752 2.08296
-0.233 2.08792
-0.238248 2.09287
-0.243494 2.09782
-0.24874 2.10276
-0.253986 2.1077
-0.25923 2.11263
-0.264474 2.11755
