x y z
17.854 8.82052 -0.198541
17.8519 8.82454 -0.198499
17.8497 8.82855 -0.198456
17.8476 8.83256 -0.198414
17.8455 8.83657 -0.198371
17.8433 8.84058 -0.198329
17.8412 8.84459 -0.198286
17.8391 8.84859 -0.198243
17.8369 8.8526 -0.198201
17.8348 8.85661 -0.198158
17.8327 8.86062 -0.198116
17.8305 8.86462 -0.198073
17.8284 8.86863 -0.19803
17.8263 8.87263 -0.197988
17.8241 8.87664 -0.197945
17.822 8.88064 -0.197902
17.8199 8.88465 -0.19786
17.8177 8.88865 -0.197817
17.8156 8.89265 -0.197774
17.8134 8.89666 -0.197732
17.8113 8.90066 -0.197689
17.8091 8.90466 -0.197646
17.807 8.90866 -0.197603
17.8048 8.91266 -0.197561
17.8027 8.91666 -0.197518
17.8006 8.92066 -0.197475
17.7984 8.92466 -0.197432
17.7963 8.92866 -0.19739
17.7941 8.93266 -0.197347
17.7919 8.93666 -0.197304
17.7898 8.94065 -0.197261
17.7876 8.94465 -0.197218
17.7855 8.94865 -0.197175
17.7833 8.95264 -0.197133
17.7812 8.95664 -0.19709
17.779 8.96063 -0.197047
17.7769 8.96463 -0.197004
17.7747 8.96862 -0.196961
17.7725 8.97262 -0.196918
17.7704 8.97661 -0.196875
17.7682 8.9806 -0.196832
17.766 8.98459 -0.196789
17.7639 8.98858 -0.196746
17.7617 8.99258 -0.196703
17.7595 8.99657 -0.19666
17.7574 9.00056 -0.196617
17.7552 9.00455 -0.196574
17.753 9.00853 -0.196531
17.7509 9.01252 -0.196488
17.7487 9.01651 -0.196445
17.7465 9.0205 -0.196402
17.7444 9.02449 -0.196359
17.7422 9.02847 -0.196316
17.74 9.03246 -0.196273
17.7378 9.03644 -0.19623
17.7356 9.04043 -0.196187
17.7335 9.04441 -0.196144
17.7313 9.0484 -0.196101
17.7291 9.05238 -0.196058
17.7269 9.05637 -0.196014
17.7247 9.06035 -0.195971
17.7226 9.06433 -0.195928
17.7204 9.06831 -0.195885
17.7182 9.07229 -0.195842
17.716 9.07627 -0.195799
17.7138 9.08025 -0.195755
17.7116 9.08423 -0.195712
17.7094 9.08821 -0.195669
17.7073 9.09219 -0.195626
17.7051 9.09617 -0.195582
17.7029 9.10015 -0.195539
17.7007 9.10413 -0.195496
17.6985 9.1081 -0.195453
17.6963 9.11208 -0.195409
17.6941 9.11605 -0.195366
17.6919 9.12003 -0.195323
17.6897 9.124 -0.195279
17.6875 9.12798 -0.195236
17.6853 9.13195 -0.195193
17.6831 9.13593 -0.195149
17.6809 9.1399 -0.195106
17.6787 9.14387 -0.195063
17.6765 9.14784 -0.195019
17.6743 9.15181 -0.194976
17.6721 9.15579 -0.194933
17.6699 9.15976 -0.194889
17.6677 9.16373 -0.194846
17.6655 9.1677 -0.194802
17.6633 9.17166 -0.194759
17.661 9.17563 -0.194715
17.6588 9.1796 -0.194672
17.6566 9.18357 -0.194628
17.6544 9.18754 -0.194585
17.6522 9.1915 -0.194541
17.65 9.19547 -0.194498
17.6478 9.19943 -0.194454
17.6455 9.2034 -0.194411
17.6433 9.20736 -0.194367
17.6411 9.21133 -0.194324
17.6389 9.21529 -0.19428
17.6367 9.21925 -0.194237
17.6344 9.22322 -0.194193
17.6322 9.22718 -0.194149
17.63 9.23114 -0.194106
17.6278 9.2351 -0.194062
17.6256 9.23906 -0.194019
17.6233 9.24302 -0.193975
17.6211 9.24698 -0.193931
17.6189 9.25094 -0.193888
17.6166 9.2549 -0.193844
17.6144 9.25885 -0.1938
17.6122 9.26281 -0.193757
17.6099 9.26677 -0.193713
17.6077 9.27073 -0.193669
17.6055 9.27468 -0.193626
17.6032 9.27864 -0.193582
17.601 9.28259 -0.193538
17.5988 9.28655 -0.193494
17.5965 9.2905 -0.193451
17.5943 9.29445 -0.193407
17.5921 9.29841 -0.193363
17.5898 9.30236 -0.193319
17.5876 9.30631 -0.193275
17.5853 9.31026 -0.193232
17.5831 9.31421 -0.193188
17.5808 9.31816 -0.193144
17.5786 9.32211 -0.1931
17.5764 9.32606 -0.193056
17.5741 9.33001 -0.193012
17.5719 9.33396 -0.192969
17.5696 9.33791 -0.192925
17.5674 9.34186 -0.192881
17.5651 9.3458 -0.192837
