x y z
0.898328 0.440512 -0.000154465
0.895752 0.445572 -0.000154743
0.893148 0.450619 -0.000155015
0.890516 0.455651 -0.000155281
0.887854 0.460668 -0.00015554
0.885165 0.465671 -0.000155793
0.882447 0.470659 -0.00015604
0.8797 0.475631 -0.00015628
0.876926 0.480589 -0.000156514
0.874123 0.485531 -0.000156742
0.871293 0.490457 -0.000156963
0.868434 0.495368 -0.000157177
0.865548 0.500263 -0.000157386
0.862634 0.505141 -0.000157588
0.859692 0.510004 -0.000157783
0.856722 0.51485 -0.000157972
0.853725 0.51968 -0.000158155
0.850701 0.524493 -0.000158331
0.847649 0.529289 -0.000158501
0.844571 0.534068 -0.000158664
0.841465 0.53883 -0.000158821
0.838331 0.543574 -0.000158972
0.835171 0.548301 -0.000159116
0.831985 0.553011 -0.000159253
0.828771 0.557703 -0.000159384
0.825531 0.562377 -0.000159508
0.822264 0.567032 -0.000159627
0.818971 0.57167 -0.000159738
0.815651 0.576289 -0.000159843
0.812305 0.580889 -0.000159942
0.808933 0.585471 -0.000160034
0.805535 0.590034 -0.000160119
0.802111 0.594578 -0.000160198
0.798661 0.599103 -0.000160271
0.795186 0.603609 -0.000160337
0.791685 0.608095 -0.000160396
0.788158 0.612561 -0.000160449
0.784606 0.617008 -0.000160495
0.781029 0.621435 -0.000160535
0.777426 0.625842 -0.000160569
0.773798 0.630229 -0.000160595
0.770146 0.634595 -0.000160616
0.766468 0.638941 -0.000160629
0.762766 0.643266 -0.000160637
0.75904 0.647571 -0.000160637
0.755288 0.651855 -0.000160631
0.751513 0.656117 -0.000160619
0.747713 0.660359 -0.0001606
0.743889 0.664579 -0.000160574
0.74004 0.668778 -0.000160542
0.736168 0.672955 -0.000160504
0.732273 0.67711 -0.000160458
0.728353 0.681244 -0.000160407
0.72441 0.685355 -0.000160349
0.720444 0.689444 -0.000160284
0.716454 0.693512 -0.000160212
0.712441 0.697556 -0.000160135
0.708405 0.701578 -0.00016005
0.704346 0.705578 -0.000159959
0.700265 0.709554 -0.000159862
0.69616 0.713508 -0.000159758
0.692033 0.717439 -0.000159647
0.687884 0.721346 -0.00015953
0.683713 0.72523 -0.000159407
0.679519 0.729091 -0.000159276
0.675303 0.732928 -0.00015914
0.671066 0.736741 -0.000158997
0.666806 0.74053 -0.000158847
0.662525 0.744296 -0.000158691
0.658223 0.748037 -0.000158528
0.653899 0.751754 -0.000158359
0.649554 0.755447 -0.000158183
0.645188 0.759115 -0.000158001
0.640801 0.762759 -0.000157812
0.636394 0.766378 -0.000157617
0.631965 0.769972 -0.000157416
0.627516 0.773541 -0.000157208
0.623047 0.777085 -0.000156993
0.618558 0.780604 -0.000156772
0.614048 0.784098 -0.000156544
0.609518 0.787566 -0.00015631
0.604969 0.791008 -0.00015607
0.6004 0.794425 -0.000155823
0.595812 0.797816 -0.00015557
0.591204 0.801182 -0.00015531
0.586577 0.804521 -0.000155044
0.581931 0.807834 -0.000154772
0.577266 0.811121 -0.000154493
0.572582 0.814382 -0.000154208
0.567879 0.817616 -0.000153916
0.563159 0.820823 -0.000153618
0.558419 0.824004 -0.000153313
0.553662 0.827158 -0.000153003
0.548887 0.830286 -0.000152685
0.544093 0.833386 -0.000152362
0.539282 0.836459 -0.000152032
0.534454 0.839505 -0.000151696
0.529608 0.842524 -0.000151353
0.524745 0.845516 -0.000151005
0.519865 0.848479 -0.000150649
0.514967 0.851416 -0.000150288
0.510053 0.854324 -0.00014992
0.505123 0.857205 -0.000149547
0.500176 0.860058 -0.000149166
0.495212 0.862883 -0.00014878
0.490233 0.86568 -0.000148387
0.485237 0.868449 -0.000147988
0.480226 0.871189 -0.000147583
0.475199 0.873902 -0.000147172
0.470157 0.876585 -0.000146754
0.465099 0.87924 -0.000146331
0.460026 0.881867 -0.000145901
0.454938 0.884465 -0.000145465
0.449835 0.887034 -0.000145023
0.444718 0.889574 -0.000144575
0.439586 0.892085 -0.00014412
0.434439 0.894567 -0.00014366
0.429279 0.89702 -0.000143193
0.424104 0.899444 -0.000142721
0.418916 0.901839 -0.000142242
0.413714 0.904204 -0.000141757
0.408498 0.90654 -0.000141266
0.403269 0.908846 -0.00014077
0.398027 0.911122 -0.000140267
0.392772 0.913369 -0.000139758
0.387504 0.915586 -0.000139243
0.382223 0.917773 -0.000138723
0.37693 0.91993 -0.000138196
0.371624 0.922058 -0.000137663
0.366307 0.924155 -0.000137125
0.360977 0.926222 -0.00013658
0.355635 0.928259 -0.00013603
0.350282 0.930265 -0.000135474
0.344918 0.932242 -0.000134912
0.339542 0.934188 -0.000134344
0.334155 0.936103 -0.000133771
0.328757 0.937988 -0.000133191
0.323348 0.939842 -0.000132606
0.317929 0.941666 -0.000132015
0.312499 0.943458 -0.000131418
0.307059 0.94522 -0.000130816
0.301609 0.946952 -0.000130207
0.296149 0.948652 -0.000129594
0.29068 0.950321 -0.000128974
0.285201 0.95196 -0.000128349
0.279712 0.953567 -0.000127718
0.274214 0.955143 -0.000127082
0.268708 0.956688 -0.000126439
0.263192 0.958202 -0.000125792
0.257668 0.959684 -0.000125139
0.252136 0.961135 -0.00012448
0.246595 0.962555 -0.000123816
0.241046 0.963943 -0.000123146
0.235489 0.9653 -0.000122471
0.229924 0.966626 -0.00012179
0.224352 0.967919 -0.000121104
0.218773 0.969181 -0.000120412
0.213186 0.970412 -0.000119715
0.207592 0.971611 -0.000119013
0.201992 0.972778 -0.000118305
0.196384 0.973913 -0.000117592
0.190771 0.975016 -0.000116873
0.185151 0.976088 -0.00011615
0.179525 0.977128 -0.000115421
0.173893 0.978135 -0.000114686
0.168255 0.979111 -0.000113947
0.162612 0.980055 -0.000113202
0.156963 0.980967 -0.000112452
0.151309 0.981847 -0.000111697
0.14565 0.982694 -0.000110937
0.139987 0.98351 -0.000110172
0.134319 0.984293 -0.000109401
0.128646 0.985045 -0.000108626
0.122969 0.985764 -0.000107845
0.117288 0.986451 -0.00010706
0.111603 0.987105 -0.000106269
0.105914 0.987728 -0.000105474
0.100222 0.988318 -0.000104673
0.0945268 0.988876 -0.000103868
0.0888282 0.989401 -0.000103057
0.0831267 0.989894 -0.000102242
0.0774223 0.990355 -0.000101422
0.0717154 0.990783 -0.000100597
0.0660061 0.991179 -9.97673e-05
0.0602946 0.991543 -9.89328e-05
0.054581 0.991874 -9.80935e-05
0.0488656 0.992173 -9.72494e-05
0.0431486 0.99244 -9.64006e-05
0.03743 0.992674 -9.55472e-05
0.0317102 0.992875 -9.4689e-05
0.0259893 0.993044 -9.38263e-05
0.0202675 0.993181 -9.29589e-05
0.014545 0.993285 -9.2087e-05
0.00882194 0.993357 -9.12104e-05
0.00309853 0.993396 -9.03294e-05
-0.00262505 0.993403 -8.94438e-05
-0.0083486 0.993377 -8.85538e-05
-0.0140719 0.993319 -8.76593e-05
-0.0197949 0.993228 -8.67604e-05
-0.0255172 0.993105 -8.58571e-05
-0.0312388 0.99295 -8.49494e-05
-0.0369595 0.992762 -8.40373e-05
-0.0426789 0.992541 -8.3121e-05
-0.0483971 0.992288 -8.22003e-05
-0.0541137 0.992003 -8.12754e-05
-0.0598287 0.991686 -8.03462e-05
-0.0655417 0.991335 -7.94129e-05
-0.0712527 0.990953 -7.84753e-05
-0.0769614 0.990538 -7.75336e-05
-0.0826676 0.990091 -7.65878e-05
-0.0883713 0.989611 -7.56378e-05
-0.0940721 0.9891 -7.46838e-05
-0.0997699 0.988555 -7.37258e-05
-0.105464 0.987979 -7.27637e-05
-0.111156 0.98737 -7.17977e-05
-0.116843 0.986729 -7.08277e-05
-0.122527 0.986056 -6.98538e-05
-0.128207 0.98535 -6.88759e-05
-0.133883 0.984613 -6.78943e-05
-0.139555 0.983843 -6.69087e-05
-0.145222 0.983041 -6.59194e-05
-0.150884 0.982207 -6.49262e-05
-0.156542 0.981341 -6.39294e-05
-0.162194 0.980443 -6.29288e-05
-0.167842 0.979513 -6.19245e-05
-0.173483 0.978551 -6.09165e-05
-0.17912 0.977557 -5.99049e-05
-0.18475 0.976531 -5.88897e-05
-0.190375 0.975473 -5.7871e-05
-0.195993 0.974383 -5.68487e-05
-0.201605 0.973262 -5.58228e-05
-0.207211 0.972108 -5.47935e-05
-0.21281 0.970923 -5.37608e-05
-0.218402 0.969707 -5.27246e-05
-0.223987 0.968458 -5.1685e-05
-0.229565 0.967179 -5.06421e-05
-0.235135 0.965867 -4.95958e-05
-0.240698 0.964524 -4.85463e-05
-0.246253 0.96315 -4.74934e-05
-0.2518 0.961744 -4.64374e-05
-0.257339 0.960307 -4.53781e-05
-0.262869 0.958838 -4.43156e-05
-0.268391 0.957338 -4.325e-05
-0.273905 0.955807 -4.21813e-05
-0.279409 0.954245 -4.11096e-05
-0.284905 0.952652 -4.00347e-05
-0.290391 0.951028 -3.89569e-05
-0.295868 0.949372 -3.7876e-05
-0.301336 0.947686 -3.67922e-05
-0.306793 0.945969 -3.57055e-05
-0.312241 0.944221 -3.46159e-05
-0.317679 0.942442 -3.35234e-05
-0.323106 0.940633 -3.24281e-05
-0.328523 0.938793 -3.13301e-05
-0.33393 0.936922 -3.02292e-05
-0.339325 0.935021 -2.91256e-05
-0.34471 0.933089 -2.80193e-05
-0.350083 0.931127 -2.69104e-05
-0.355445 0.929135 -2.57988e-05
-0.360796 0.927112 -2.46846e-05
-0.366135 0.925059 -2.35679e-05
-0.371462 0.922976 -2.24486e-05
-0.376777 0.920863 -2.13268e-05
-0.38208 0.91872 -2.02025e-05
-0.387371 0.916548 -1.90758e-05
-0.392649 0.914345 -1.79467e-05
-0.397915 0.912113 -1.68152e-05
-0.403167 0.909851 -1.56814e-05
-0.408407 0.907559 -1.45452e-05
-0.413633 0.905238 -1.34068e-05
-0.418847 0.902887 -1.22662e-05
-0.424046 0.900507 -1.11233e-05
-0.429232 0.898098 -9.97825e-06
-0.434404 0.89566 -8.83106e-06
-0.439562 0.893192 -7.68177e-06
-0.444706 0.890696 -6.5304e-06
-0.449835 0.88817 -5.37698e-06
-0.45495 0.885616 -4.22155e-06
-0.460051 0.883033 -3.06415e-06
-0.465136 0.880421 -1.9048e-06
-0.470206 0.877781 -7.43538e-07
-0.475262 0.875112 4.19601e-07
-0.480302 0.872414 1.58458e-06
-0.485326 0.869689 2.75138e-06
-0.490335 0.866935 3.91995e-06
-0.495328 0.864153 5.09027e-06
-0.500305 0.861343 6.2623e-06
-0.505266 0.858505 7.436e-06
-0.510211 0.855639 8.61135e-06
-0.515139 0.852746 9.78831e-06
-0.52005 0.849824 1.09668e-05
-0.524945 0.846876 1.21469e-05
-0.529823 0.8439 1.33285e-05
-0.534684 0.840896 1.45116e-05
-0.539528 0.837865 1.56961e-05
-0.544354 0.834807 1.6882e-05
-0.549163 0.831722 1.80693e-05
-0.553954 0.82861 1.9258e-05
-0.558727 0.825471 2.04479e-05
-0.563482 0.822306 2.16391e-05
-0.56822 0.819114 2.28316e-05
-0.572939 0.815895 2.40253e-05
-0.577639 0.81265 2.52201e-05
-0.582321 0.809379 2.64161e-05
-0.586984 0.806081 2.76132e-05
-0.591629 0.802757 2.88114e-05
-0.596254 0.799408 3.00106e-05
-0.60086 0.796032 3.12108e-05
-0.605447 0.792631 3.2412e-05
-0.610014 0.789204 3.36141e-05
-0.614562 0.785752 3.48172e-05
-0.61909 0.782274 3.60211e-05
-0.623598 0.778771 3.72259e-05
-0.628087 0.775243 3.84314e-05
-0.632555 0.77169 3.96377e-05
-0.637002 0.768112 4.08448e-05
-0.64143 0.764509 4.20526e-05
-0.645836 0.760881 4.3261e-05
-0.650222 0.757229 4.44701e-05
-0.654588 0.753553 4.56798e-05
-0.658932 0.749852 4.68901e-05
-0.663255 0.746127 4.81009e-05
-0.667557 0.742377 4.93122e-05
-0.671837 0.738604 5.05239e-05
-0.676096 0.734807 5.17362e-05
-0.680333 0.730987 5.29488e-05
-0.684549 0.727143 5.41618e-05
-0.688743 0.723275 5.53751e-05
-0.692914 0.719384 5.65888e-05
-0.697063 0.71547 5.78027e-05
-0.701191 0.711533 5.90168e-05
-0.705295 0.707573 6.02312e-05
-0.709377 0.70359 6.14457e-05
-0.713437 0.699585 6.26604e-05
-0.717473 0.695557 6.38752e-05
-0.721487 0.691507 6.509e-05
-0.725478 0.687434 6.63049e-05
-0.729445 0.68334 6.75198e-05
-0.733389 0.679223 6.87347e-05
-0.73731 0.675084 6.99496e-05
-0.741207 0.670924 7.11643e-05
-0.745081 0.666743 7.23789e-05
-0.748931 0.66254 7.35934e-05
-0.752757 0.658315 7.48077e-05
-0.756559 0.65407 7.60217e-05
-0.760337 0.649803 7.72355e-05
-0.76409 0.645516 7.84491e-05
-0.767819 0.641208 7.96623e-05
-0.771524 0.636879 8.08752e-05
-0.775204 0.63253 8.20876e-05
-0.77886 0.628161 8.32997e-05
-0.782491 0.623771 8.45113e-05
-0.786097 0.619362 8.57225e-05
-0.789677 0.614932 8.69331e-05
-0.793233 0.610483 8.81432e-05
-0.796764 0.606015 8.93528e-05
-0.800269 0.601527 9.05617e-05
-0.803748 0.597019 9.177e-05
-0.807203 0.592493 9.29776e-05
-0.810631 0.587947 9.41846e-05
-0.814034 0.583383 9.53908e-05
-0.817411 0.5788 9.65962e-05
