x y z
0.900094 0.448355 -0.00026345
0.894857 0.458434 -0.000263996
0.889507 0.468454 -0.000264522
0.884043 0.478415 -0.000265027
0.878468 0.488315 -0.000265513
0.87278 0.498154 -0.000265979
0.866981 0.507928 -0.000266425
0.861072 0.517638 -0.00026685
0.855052 0.527282 -0.000267255
0.848924 0.536859 -0.000267639
0.842688 0.546367 -0.000268003
0.836344 0.555806 -0.000268347
0.829893 0.565174 -0.00026867
0.823337 0.574469 -0.000268972
0.816675 0.583691 -0.000269254
0.809909 0.592839 -0.000269514
0.803039 0.601911 -0.000269754
0.796067 0.610905 -0.000269974
0.788993 0.619822 -0.000270172
0.781818 0.628659 -0.000270349
0.774543 0.637416 -0.000270506
0.767169 0.646091 -0.000270641
0.759697 0.654683 -0.000270756
0.752127 0.663192 -0.000270849
0.744461 0.671615 -0.000270921
0.7367 0.679952 -0.000270972
0.728844 0.688202 -0.000271003
0.720895 0.696363 -0.000271012
0.712853 0.704435 -0.000270999
0.70472 0.712417 -0.000270966
0.696497 0.720307 -0.000270912
0.688184 0.728104 -0.000270836
0.679783 0.735808 -0.000270739
0.671295 0.743417 -0.000270621
0.66272 0.75093 -0.000270482
0.654061 0.758346 -0.000270322
0.645317 0.765665 -0.000270141
0.63649 0.772886 -0.000269938
0.627582 0.780006 -0.000269715
0.618593 0.787027 -0.00026947
0.609524 0.793945 -0.000269204
0.600378 0.800762 -0.000268917
0.591153 0.807475 -0.000268609
0.581853 0.814083 -0.000268281
0.572478 0.820587 -0.000267931
0.56303 0.826985 -0.00026756
0.553509 0.833276 -0.000267168
0.543917 0.839459 -0.000266756
0.534255 0.845534 -0.000266323
0.524524 0.8515 -0.000265869
0.514725 0.857355 -0.000265394
0.504861 0.8631 -0.000264898
0.494931 0.868733 -0.000264382
0.484938 0.874254 -0.000263846
0.474882 0.879661 -0.000263289
0.464766 0.884955 -0.000262711
0.454589 0.890134 -0.000262113
0.444354 0.895199 -0.000261495
0.434062 0.900147 -0.000260857
0.423713 0.904978 -0.000260198
0.413311 0.909693 -0.00025952
0.402855 0.914289 -0.000258821
0.392347 0.918767 -0.000258103
0.381789 0.923126 -0.000257364
0.371182 0.927366 -0.000256606
0.360527 0.931485 -0.000255829
0.349826 0.935483 -0.000255031
0.33908 0.939361 -0.000254215
0.32829 0.943116 -0.000253378
0.317458 0.946749 -0.000252523
0.306585 0.95026 -0.000251649
0.295673 0.953647 -0.000250755
0.284723 0.95691 -0.000249843
0.273737 0.960049 -0.000248911
0.262715 0.963064 -0.000247961
0.25166 0.965954 -0.000246992
0.240572 0.968718 -0.000246005
0.229454 0.971357 -0.000245
0.218306 0.97387 -0.000243976
0.207131 0.976256 -0.000242934
0.195929 0.978515 -0.000241874
0.184702 0.980648 -0.000240797
0.173452 0.982653 -0.000239701
0.162179 0.984531 -0.000238588
0.150886 0.986281 -0.000237458
0.139574 0.987903 -0.00023631
0.128244 0.989397 -0.000235145
0.116898 0.990762 -0.000233963
0.105538 0.991999 -0.000232764
0.094164 0.993107 -0.000231549
0.0827784 0.994086 -0.000230317
0.0713826 0.994935 -0.000229068
0.059978 0.995656 -0.000227803
0.0485661 0.996248 -0.000226523
0.0371485 0.99671 -0.000225226
0.0257265 0.997043 -0.000223913
0.0143018 0.997247 -0.000222585
0.00287566 0.997321 -0.000221241
-0.00855029 0.997266 -0.000219882
-0.0199746 0.997081 -0.000218508
-0.0313958 0.996767 -0.00021712
-0.0428123 0.996323 -0.000215716
-0.0542228 0.995751 -0.000214298
-0.0656257 0.995049 -0.000212865
-0.0770195 0.994218 -0.000211418
-0.0884028 0.993259 -0.000209957
-0.099774 0.99217 -0.000208482
-0.111132 0.990953 -0.000206994
-0.122475 0.989607 -0.000205492
-0.133801 0.988133 -0.000203977
-0.145109 0.986531 -0.000202449
-0.156398 0.984801 -0.000200907
-0.167666 0.982944 -0.000199354
-0.178912 0.980959 -0.000197787
-0.190134 0.978847 -0.000196209
-0.201331 0.976609 -0.000194618
-0.212501 0.974243 -0.000193015
-0.223643 0.971752 -0.000191401
-0.234756 0.969135 -0.000189775
-0.245837 0.966393 -0.000188138
-0.256886 0.963525 -0.00018649
-0.267901 0.960533 -0.00018483
-0.278881 0.957417 -0.000183161
-0.289825 0.954176 -0.00018148
-0.30073 0.950813 -0.00017979
-0.311595 0.947326 -0.00017809
-0.32242 0.943718 -0.000176379
-0.333202 0.939987 -0.000174659
-0.343941 0.936134 -0.00017293
-0.354634 0.932161 -0.000171192
-0.365281 0.928068 -0.000169444
-0.37588 0.923854 -0.000167688
-0.38643 0.919522 -0.000165924
-0.39693 0.915071 -0.000164151
-0.407378 0.910502 -0.00016237
-0.417772 0.905815 -0.000160582
-0.428112 0.901012 -0.000158785
-0.438396 0.896092 -0.000156982
-0.448622 0.891057 -0.000155171
-0.458791 0.885908 -0.000153353
-0.468899 0.880644 -0.000151529
-0.478946 0.875267 -0.000149698
-0.488931 0.869777 -0.000147861
-0.498853 0.864176 -0.000146019
-0.508709 0.858463 -0.00014417
-0.518499 0.85264 -0.000142316
-0.528222 0.846707 -0.000140456
-0.537876 0.840666 -0.000138592
-0.547461 0.834516 -0.000136722
-0.556974 0.82826 -0.000134848
-0.566415 0.821897 -0.00013297
-0.575783 0.815428 -0.000131088
-0.585076 0.808856 -0.000129202
-0.594293 0.802179 -0.000127312
-0.603433 0.7954 -0.000125419
-0.612495 0.788519 -0.000123522
-0.621478 0.781536 -0.000121623
-0.63038 0.774454 -0.000119721
-0.639201 0.767273 -0.000117816
-0.647939 0.759993 -0.00011591
-0.656594 0.752617 -0.000114001
-0.665164 0.745144 -0.000112091
-0.673648 0.737576 -0.000110179
-0.682045 0.729914 -0.000108266
-0.690354 0.722158 -0.000106352
-0.698574 0.714311 -0.000104437
-0.706704 0.706372 -0.000102522
-0.714743 0.698344 -0.000100606
-0.72269 0.690226 -9.86903e-05
-0.730544 0.682021 -9.67747e-05
-0.738304 0.673728 -9.48596e-05
-0.74597 0.66535 -9.29451e-05
-0.753539 0.656888 -9.10315e-05
-0.761012 0.648341 -8.9119e-05
-0.768387 0.639713 -8.72079e-05
-0.775663 0.631003 -8.52984e-05
-0.78284 0.622213 -8.33907e-05
-0.789916 0.613344 -8.14851e-05
-0.796892 0.604398 -7.95818e-05
-0.803765 0.595375 -7.7681e-05
-0.810535 0.586276 -7.5783e-05
-0.817202 0.577103 -7.3888e-05
-0.823764 0.567857 -7.19963e-05
-0.830221 0.55854 -7.0108e-05
-0.836572 0.549151 -6.82234e-05
-0.842816 0.539694 -6.63428e-05
-0.848952 0.530168 -6.44663e-05
-0.85498 0.520575 -6.25942e-05
-0.860899 0.510917 -6.07267e-05
-0.866708 0.501194 -5.88641e-05
-0.872407 0.491408 -5.70066e-05
-0.877995 0.48156 -5.51543e-05
-0.883471 0.471652 -5.33076e-05
-0.888834 0.461684 -5.14666e-05
-0.894085 0.451658 -4.96316e-05
-0.899222 0.441576 -4.78027e-05
-0.904245 0.431438 -4.59803e-05
-0.909152 0.421246 -4.41645e-05
-0.913945 0.411001 -4.23556e-05
-0.918621 0.400705 -4.05537e-05
-0.923181 0.390358 -3.87591e-05
-0.927624 0.379963 -3.6972e-05
-0.93195 0.36952 -3.51927e-05
-0.936158 0.359031 -3.34212e-05
-0.940247 0.348497 -3.16579e-05
-0.944217 0.33792 -2.9903e-05
-0.948068 0.3273 -2.81566e-05
-0.951799 0.31664 -2.64189e-05
-0.955409 0.305941 -2.46903e-05
-0.9589 0.295203 -2.29708e-05
-0.962269 0.284429 -2.12607e-05
-0.965517 0.273619 -1.95602e-05
-0.968643 0.262776 -1.78695e-05
-0.971647 0.2519 -1.61887e-05
-0.974529 0.240993 -1.45182e-05
-0.977288 0.230056 -1.2858e-05
-0.979924 0.21909 -1.12084e-05
-0.982437 0.208098 -9.56957e-06
-0.984826 0.19708 -7.94171e-06
-0.987092 0.186038 -6.325e-06
-0.989234 0.174973 -4.71962e-06
-0.991252 0.163886 -3.12578e-06
-0.993145 0.15278 -1.54365e-06
-0.994914 0.141655 2.65749e-08
-0.996558 0.130512 1.58472e-06
-0.998078 0.119354 3.13061e-06
-0.999472 0.108182 4.66406e-06
-1.00074 0.0969959 6.18488e-06
-1.00189 0.0857985 7.69292e-06
-1.0029 0.0745909 9.18799e-06
-1.0038 0.0633745 1.06699e-05
-1.00457 0.0521506 1.21385e-05
-1.00521 0.0409207 1.35937e-05
-1.00573 0.0296861 1.50352e-05
-1.00612 0.0184483 1.64629e-05
-1.00639 0.0072086 1.78766e-05
-1.00653 -0.00403153 1.92762e-05
-1.00654 -0.0152707 2.06615e-05
-1.00643 -0.0265076 2.20323e-05
-1.0062 -0.0377407 2.33886e-05
-1.00584 -0.0489687 2.473e-05
-1.00536 -0.0601902 2.60566e-05
-1.00475 -0.0714038 2.73682e-05
-1.00401 -0.0826081 2.86645e-05
-1.00315 -0.0938017 2.99454e-05
-1.00217 -0.104983 3.12109e-05
-1.00106 -0.116152 3.24608e-05
-0.999831 -0.127305 3.36949e-05
-0.998475 -0.138442 3.4913e-05
-0.996996 -0.149562 3.61151e-05
-0.995394 -0.160663 3.73011e-05
-0.993669 -0.171743 3.84707e-05
-0.99182 -0.182802 3.96239e-05
-0.989849 -0.193839 4.07606e-05
-0.987756 -0.20485 4.18805e-05
-0.985541 -0.215836 4.29837e-05
-0.983204 -0.226795 4.40699e-05
-0.980746 -0.237726 4.51391e-05
-0.978167 -0.248627 4.61911e-05
-0.975467 -0.259498 4.72258e-05
-0.972647 -0.270335 4.82432e-05
-0.969708 -0.28114 4.92431e-05
-0.966649 -0.291909 5.02253e-05
-0.963471 -0.302642 5.11899e-05
-0.960174 -0.313338 5.21366e-05
-0.95676 -0.323994 5.30654e-05
-0.953228 -0.334611 5.39762e-05
-0.949579 -0.345186 5.48689e-05
-0.945813 -0.355719 5.57435e-05
-0.941931 -0.366207 5.65997e-05
-0.937934 -0.37665 5.74376e-05
-0.933821 -0.387047 5.82569e-05
-0.929594 -0.397397 5.90578e-05
-0.925254 -0.407697 5.984e-05
-0.9208 -0.417947 6.06035e-05
-0.916233 -0.428145 6.13482e-05
-0.911554 -0.438291 6.20741e-05
-0.906763 -0.448384 6.2781e-05
-0.901862 -0.458421 6.34689e-05
-0.89685 -0.468401 6.41377e-05
-0.891729 -0.478325 6.47874e-05
-0.886499 -0.488189 6.54179e-05
-0.881161 -0.497994 6.60292e-05
-0.875715 -0.507738 6.66211e-05
-0.870162 -0.517419 6.71936e-05
-0.864503 -0.527038 6.77467e-05
-0.858739 -0.536592 6.82803e-05
-0.852869 -0.54608 6.87944e-05
-0.846896 -0.555501 6.92889e-05
-0.84082 -0.564855 6.97638e-05
-0.834642 -0.57414 7.02189e-05
-0.828362 -0.583355 7.06544e-05
-0.821981 -0.592498 7.10702e-05
-0.8155 -0.601569 7.14661e-05
-0.80892 -0.610568 7.18423e-05
-0.802241 -0.619491 7.21986e-05
-0.795465 -0.628339 7.2535e-05
-0.788593 -0.637111 7.28515e-05
-0.781625 -0.645805 7.31481e-05
-0.774561 -0.654421 7.34247e-05
-0.767404 -0.662957 7.36814e-05
-0.760154 -0.671413 7.39181e-05
-0.752811 -0.679787 7.41348e-05
-0.745377 -0.688079 7.43315e-05
-0.737853 -0.696287 7.45081e-05
-0.730239 -0.70441 7.46648e-05
-0.722537 -0.712449 7.48014e-05
-0.714747 -0.7204 7.4918e-05
-0.706871 -0.728265 7.50145e-05
-0.698909 -0.736041 7.5091e-05
-0.690862 -0.743728 7.51475e-05
-0.682732 -0.751325 7.5184e-05
-0.674519 -0.758831 7.52005e-05
-0.666224 -0.766246 7.51969e-05
-0.657849 -0.773567 7.51734e-05
-0.649395 -0.780796 7.51299e-05
-0.640862 -0.787929 7.50664e-05
-0.632251 -0.794968 7.49831e-05
-0.623564 -0.80191 7.48798e-05
-0.614802 -0.808756 7.47566e-05
-0.605965 -0.815504 7.46136e-05
-0.597055 -0.822153 7.44507e-05
-0.588073 -0.828704 7.42681e-05
-0.57902 -0.835154 7.40657e-05
-0.569897 -0.841504 7.38435e-05
-0.560706 -0.847752 7.36017e-05
-0.551446 -0.853898 7.33402e-05
-0.54212 -0.859941 7.30592e-05
-0.532729 -0.86588 7.27586e-05
-0.523273 -0.871716 7.24384e-05
-0.513754 -0.877446 7.20989e-05
-0.504173 -0.88307 7.17399e-05
-0.494532 -0.888588 7.13615e-05
-0.48483 -0.894 7.09639e-05
-0.475071 -0.899303 7.0547e-05
-0.465253 -0.904499 7.0111e-05
-0.45538 -0.909585 6.96558e-05
-0.445452 -0.914563 6.91816e-05
