x y z
-4.5698 -2.93426 0.114384
-4.56718 -2.93819 0.114341
-4.56456 -2.94212 0.114299
-4.56193 -2.94605 0.114256
-4.55929 -2.94998 0.114214
-4.55665 -2.95391 0.114171
-4.55401 -2.95783 0.114128
-4.55137 -2.96175 0.114085
-4.54872 -2.96567 0.114043
-4.54607 -2.96959 0.114
-4.54341 -2.9735 0.113956
-4.54075 -2.97741 0.113913
-4.53809 -2.98132 0.11387
-4.53543 -2.98523 0.113826
-4.53276 -2.98913 0.113783
-4.53008 -2.99304 0.113739
-4.52741 -2.99694 0.113696
-4.52472 -3.00083 0.113652
-4.52204 -3.00473 0.113608
-4.51935 -3.00862 0.113564
-4.51666 -3.01251 0.11352
-4.51397 -3.0164 0.113476
-4.51127 -3.02028 0.113432
-4.50856 -3.02417 0.113387
-4.50586 -3.02805 0.113343
-4.50315 -3.03192 0.113299
-4.50044 -3.0358 0.113254
-4.49772 -3.03967 0.113209
-4.495 -3.04354 0.113165
-4.49228 -3.04741 0.11312
-4.48955 -3.05128 0.113075
-4.48682 -3.05514 0.11303
-4.48408 -3.059 0.112985
-4.48134 -3.06286 0.112939
-4.4786 -3.06672 0.112894
-4.47586 -3.07057 0.112849
-4.47311 -3.07442 0.112803
-4.47036 -3.07827 0.112758
-4.4676 -3.08212 0.112712
-4.46484 -3.08596 0.112666
-4.46208 -3.0898 0.11262
-4.45931 -3.09364 0.112574
-4.45654 -3.09748 0.112528
-4.45377 -3.10131 0.112482
-4.45099 -3.10514 0.112436
-4.44821 -3.10897 0.11239
-4.44542 -3.1128 0.112343
-4.44263 -3.11662 0.112297
-4.43984 -3.12044 0.11225
-4.43705 -3.12426 0.112204
-4.43425 -3.12808 0.112157
-4.43145 -3.13189 0.11211
-4.42864 -3.13571 0.112063
-4.42583 -3.13951 0.112016
-4.42302 -3.14332 0.111969
-4.4202 -3.14713 0.111922
-4.41738 -3.15093 0.111875
-4.41456 -3.15473 0.111827
-4.41173 -3.15852 0.11178
-4.4089 -3.16232 0.111732
-4.40607 -3.16611 0.111685
-4.40323 -3.1699 0.111637
-4.40039 -3.17368 0.111589
-4.39754 -3.17747 0.111541
-4.3947 -3.18125 0.111493
-4.39185 -3.18503 0.111445
-4.38899 -3.1888 0.111397
-4.38613 -3.19258 0.111349
-4.38327 -3.19635 0.1113
-4.3804 -3.20012 0.111252
-4.37753 -3.20388 0.111203
-4.37466 -3.20765 0.111155
-4.37179 -3.21141 0.111106
-4.36891 -3.21517 0.111057
-4.36602 -3.21892 0.111008
-4.36314 -3.22268 0.11096
-4.36025 -3.22643 0.11091
-4.35735 -3.23017 0.110861
-4.35446 -3.23392 0.110812
-4.35156 -3.23766 0.110763
-4.34865 -3.2414 0.110713
-4.34574 -3.24514 0.110664
-4.34283 -3.24888 0.110614
-4.33992 -3.25261 0.110565
-4.337 -3.25634 0.110515
-4.33408 -3.26006 0.110465
-4.33115 -3.26379 0.110415
-4.32823 -3.26751 0.110365
-4.32529 -3.27123 0.110315
-4.32236 -3.27495 0.110265
-4.31942 -3.27866 0.110214
-4.31648 -3.28237 0.110164
-4.31353 -3.28608 0.110114
-4.31058 -3.28979 0.110063
-4.30763 -3.29349 0.110012
-4.30468 -3.29719 0.109962
-4.30172 -3.30089 0.109911
-4.29875 -3.30459 0.10986
-4.29579 -3.30828 0.109809
-4.29282 -3.31197 0.109758
-4.28984 -3.31566 0.109707
-4.28687 -3.31935 0.109655
-4.28389 -3.32303 0.109604
-4.2809 -3.32671 0.109553
-4.27792 -3.33038 0.109501
-4.27493 -3.33406 0.109449
-4.27193 -3.33773 0.109398
-4.26894 -3.3414 0.109346
-4.26594 -3.34507 0.109294
-4.26293 -3.34873 0.109242
-4.25992 -3.35239 0.10919
-4.25691 -3.35605 0.109138
-4.2539 -3.35971 0.109086
-4.25088 -3.36336 0.109033
-4.24786 -3.36701 0.108981
-4.24484 -3.37066 0.108928
-4.24181 -3.3743 0.108876
-4.23878 -3.37795 0.108823
-4.23574 -3.38158 0.10877
-4.2327 -3.38522 0.108718
-4.22966 -3.38886 0.108665
-4.22662 -3.39249 0.108612
-4.22357 -3.39612 0.108559
-4.22052 -3.39974 0.108505
-4.21746 -3.40337 0.108452
-4.2144 -3.40699 0.108399
-4.21134 -3.4106 0.108345
-4.20828 -3.41422 0.108292
-4.20521 -3.41783 0.108238
-4.20214 -3.42144 0.108184
-4.19906 -3.42505 0.108131
-4.19598 -3.42865 0.108077
-4.1929 -3.43225 0.108023
-4.18982 -3.43585 0.107969
-4.18673 -3.43945 0.107915
-4.18364 -3.44304 0.10786
-4.18054 -3.44663 0.107806
-4.17744 -3.45022 0.107752
-4.17434 -3.4538 0.107697
-4.17123 -3.45739 0.107643
-4.16813 -3.46097 0.107588
-4.16501 -3.46454 0.107533
-4.1619 -3.46812 0.107478
-4.15878 -3.47169 0.107423
-4.15566 -3.47525 0.107368
-4.15253 -3.47882 0.107313
-4.1494 -3.48238 0.107258
-4.14627 -3.48594 0.107203
-4.14313 -3.4895 0.107148
-4.14 -3.49305 0.107092
-4.13685 -3.4966 0.107037
-4.13371 -3.50015 0.106981
-4.13056 -3.5037 0.106925
-4.12741 -3.50724 0.10687
-4.12425 -3.51078 0.106814
-4.12109 -3.51432 0.106758
-4.11793 -3.51785 0.106702
-4.11477 -3.52139 0.106646
-4.1116 -3.52491 0.106589
-4.10843 -3.52844 0.106533
-4.10525 -3.53196 0.106477
-4.10207 -3.53548 0.10642
-4.09889 -3.539 0.106364
-4.09571 -3.54252 0.106307
-4.09252 -3.54603 0.10625
-4.08932 -3.54954 0.106194
-4.08613 -3.55304 0.106137
-4.08293 -3.55655 0.10608
-4.07973 -3.56005 0.106023
-4.07653 -3.56354 0.105965
-4.07332 -3.56704 0.105908
-4.07011 -3.57053 0.105851
-4.06689 -3.57402 0.105793
-4.06367 -3.57751 0.105736
-4.06045 -3.58099 0.105678
-4.05723 -3.58447 0.105621
-4.054 -3.58795 0.105563
-4.05077 -3.59142 0.105505
-4.04753 -3.59489 0.105447
-4.0443 -3.59836 0.105389
-4.04106 -3.60183 0.105331
-4.03781 -3.60529 0.105273
-4.03457 -3.60875 0.105215
-4.03131 -3.61221 0.105156
-4.02806 -3.61566 0.105098
-4.0248 -3.61911 0.10504
-4.02154 -3.62256 0.104981
-4.01828 -3.62601 0.104922
-4.01501 -3.62945 0.104864
-4.01174 -3.63289 0.104805
-4.00847 -3.63633 0.104746
-4.00519 -3.63976 0.104687
-4.00191 -3.64319 0.104628
-3.99863 -3.64662 0.104568
-3.99535 -3.65004 0.104509
-3.99206 -3.65347 0.10445
-3.98876 -3.65689 0.10439
-3.98547 -3.6603 0.104331
-3.98217 -3.66371 0.104271
-3.97887 -3.66712 0.104212
-3.97556 -3.67053 0.104152
-3.97225 -3.67394 0.104092
-3.96894 -3.67734 0.104032
-3.96563 -3.68074 0.103972
-3.96231 -3.68413 0.103912
-3.95899 -3.68752 0.103852
-3.95566 -3.69091 0.103791
-3.95234 -3.6943 0.103731
-3.949 -3.69768 0.103671
-3.94567 -3.70107 0.10361
-3.94233 -3.70444 0.10355
-3.93899 -3.70782 0.103489
-3.93565 -3.71119 0.103428
-3.9323 -3.71456 0.103367
-3.92895 -3.71792 0.103306
-3.9256 -3.72129 0.103245
-3.92224 -3.72465 0.103184
-3.91888 -3.728 0.103123
-3.91552 -3.73136 0.103062
-3.91216 -3.73471 0.103
-3.90879 -3.73805 0.102939
-3.90542 -3.7414 0.102877
-3.90204 -3.74474 0.102816
-3.89866 -3.74808 0.102754
-3.89528 -3.75142 0.102692
-3.8919 -3.75475 0.10263
-3.88851 -3.75808 0.102569
-3.88512 -3.7614 0.102507
-3.88172 -3.76473 0.102444
-3.87833 -3.76805 0.102382
-3.87493 -3.77136 0.10232
-3.87152 -3.77468 0.102258
-3.86812 -3.77799 0.102195
-3.86471 -3.7813 0.102133
-3.86129 -3.7846 0.10207
-3.85788 -3.78791 0.102007
-3.85446 -3.79121 0.101945
-3.85104 -3.7945 0.101882
-3.84761 -3.79779 0.101819
-3.84418 -3.80108 0.101756
-3.84075 -3.80437 0.101693
-3.83732 -3.80765 0.10163
-3.83388 -3.81094 0.101566
-3.83044 -3.81421 0.101503
-3.82699 -3.81749 0.10144
-3.82355 -3.82076 0.101376
-3.8201 -3.82403 0.101313
-3.81664 -3.82729 0.101249
-3.81319 -3.83055 0.101185
-3.80973 -3.83381 0.101121
-3.80627 -3.83707 0.101057
-3.8028 -3.84032 0.100993
-3.79933 -3.84357 0.100929
-3.79586 -3.84682 0.100865
-3.79239 -3.85006 0.100801
-3.78891 -3.8533 0.100737
-3.78543 -3.85654 0.100672
-3.78194 -3.85977 0.100608
-3.77846 -3.86301 0.100543
-3.77497 -3.86623 0.100479
-3.77147 -3.86946 0.100414
-3.76798 -3.87268 0.100349
-3.76448 -3.8759 0.100284
-3.76098 -3.87911 0.100219
-3.75747 -3.88233 0.100154
-3.75396 -3.88554 0.100089
-3.75045 -3.88874 0.100024
-3.74694 -3.89194 0.0999585
-3.74342 -3.89514 0.0998931
-3.7399 -3.89834 0.0998276
-3.73638 -3.90153 0.0997621
-3.73285 -3.90472 0.0996965
-3.72932 -3.90791 0.0996308
-3.72579 -3.91109 0.099565
-3.72225 -3.91428 0.0994992
-3.71871 -3.91745 0.0994332
-3.71517 -3.92063 0.0993672
-3.71163 -3.9238 0.0993011
-3.70808 -3.92697 0.0992349
-3.70453 -3.93013 0.0991687
-3.70098 -3.93329 0.0991023
-3.69742 -3.93645 0.0990359
-3.69386 -3.93961 0.0989694
-3.6903 -3.94276 0.0989028
-3.68673 -3.94591 0.0988362
-3.68316 -3.94905 0.0987694
-3.67959 -3.9522 0.0987026
-3.67602 -3.95534 0.0986357
-3.67244 -3.95847 0.0985687
-3.66886 -3.9616 0.0985017
-3.66528 -3.96473 0.0984345
-3.66169 -3.96786 0.0983673
-3.6581 -3.97098 0.0983
-3.65451 -3.9741 0.0982326
-3.65091 -3.97722 0.0981652
-3.64732 -3.98033 0.0980976
-3.64372 -3.98345 0.09803
-3.64011 -3.98655 0.0979623
-3.6365 -3.98966 0.0978945
-3.63289 -3.99276 0.0978267
-3.62928 -3.99585 0.0977587
-3.62567 -3.99895 0.0976907
-3.62205 -4.00204 0.0976226
-3.61842 -4.00513 0.0975545
-3.6148 -4.00821 0.0974862
-3.61117 -4.01129 0.0974179
-3.60754 -4.01437 0.0973495
-3.60391 -4.01745 0.097281
-3.60027 -4.02052 0.0972124
-3.59663 -4.02359 0.0971438
-3.59299 -4.02665 0.097075
-3.58934 -4.02971 0.0970062
-3.5857 -4.03277 0.0969373
-3.58205 -4.03582 0.0968684
-3.57839 -4.03888 0.0967993
-3.57473 -4.04193 0.0967302
-3.57108 -4.04497 0.096661
-3.56741 -4.04801 0.0965917
-3.56375 -4.05105 0.0965224
-3.56008 -4.05409 0.096453
-3.55641 -4.05712 0.0963834
-3.55273 -4.06015 0.0963138
-3.54906 -4.06317 0.0962442
-3.54538 -4.0662 0.0961744
-3.54169 -4.06921 0.0961046
-3.53801 -4.07223 0.0960347
-3.53432 -4.07524 0.0959647
-3.53063 -4.07825 0.0958947
-3.52693 -4.08126 0.0958245
-3.52324 -4.08426 0.0957543
-3.51954 -4.08726 0.095684
-3.51583 -4.09025 0.0956136
-3.51213 -4.09325 0.0955432
-3.50842 -4.09623 0.0954727
-3.50471 -4.09922 0.0954021
-3.50099 -4.1022 0.0953314
-3.49727 -4.10518 0.0952606
-3.49355 -4.10816 0.0951898
-3.48983 -4.11113 0.0951189
-3.48611 -4.1141 0.0950479
-3.48238 -4.11706 0.0949768
-3.47865 -4.12003 0.0949057
-3.47491 -4.12299 0.0948344
-3.47117 -4.12594 0.0947631
-3.46743 -4.12889 0.0946918
-3.46369 -4.13184 0.0946203
-3.45995 -4.13479 0.0945488
-3.4562 -4.13773 0.0944772
-3.45245 -4.14067 0.0944055
-3.44869 -4.1436 0.0943337
-3.44494 -4.14654 0.0942619
-3.44118 -4.14946 0.09419
-3.43741 -4.15239 0.094118
-3.43365 -4.15531 0.0940459
-3.42988 -4.15823 0.0939737
-3.42611 -4.16114 0.0939015
-3.42234 -4.16406 0.0938292
-3.41856 -4.16696 0.0937568
-3.41478 -4.16987 0.0936844
-3.411 -4.17277 0.0936119
-3.40721 -4.17567 0.0935393
-3.40343 -4.17856 0.0934666
-3.39964 -4.18146 0.0933938
-3.39584 -4.18434 0.093321
-3.39205 -4.18723 0.0932481
-3.38825 -4.19011 0.0931751
-3.38445 -4.19299 0.093102
-3.38064 -4.19586 0.0930289
-3.37684 -4.19873 0.0929557
-3.37303 -4.2016 0.0928824
-3.36921 -4.20446 0.092809
-3.3654 -4.20732 0.0927356
-3.36158 -4.21018 0.0926621
-3.35776 -4.21303 0.0925885
-3.35394 -4.21588 0.0925148
-3.35011 -4.21873 0.0924411
-3.34628 -4.22157 0.0923672
-3.34245 -4.22441 0.0922933
-3.33862 -4.22725 0.0922194
-3.33478 -4.23008 0.0921453
-3.33094 -4.23291 0.0920712
-3.3271 -4.23574 0.091997
-3.32325 -4.23856 0.0919227
-3.3194 -4.24138 0.0918484
-3.31555 -4.2442 0.091774
-3.3117 -4.24701 0.0916995
-3.30784 -4.24982 0.0916249
-3.30399 -4.25262 0.0915503
-3.30012 -4.25542 0.0914755
-3.29626 -4.25822 0.0914007
-3.29239 -4.26102 0.0913259
-3.28852 -4.26381 0.0912509
-3.28465 -4.2666 0.0911759
-3.28078 -4.26938 0.0911008
-3.2769 -4.27216 0.0910257
-3.27302 -4.27494 0.0909504
-3.26914 -4.27771 0.0908751
-3.26525 -4.28048 0.0907997
-3.26136 -4.28325 0.0907242
-3.25747 -4.28601 0.0906487
-3.25358 -4.28877 0.0905731
-3.24968 -4.29153 0.0904974
-3.24578 -4.29428 0.0904216
-3.24188 -4.29703 0.0903458
-3.23798 -4.29978 0.0902699
-3.23407 -4.30252 0.0901939
-3.23016 -4.30526 0.0901178
-3.22625 -4.308 0.0900417
-3.22233 -4.31073 0.0899655
-3.21842 -4.31346 0.0898892
-3.21449 -4.31618 0.0898129
-3.21057 -4.3189 0.0897365
-3.20665 -4.32162 0.08966
-3.20272 -4.32433 0.0895834
-3.19879 -4.32704 0.0895067
-3.19486 -4.32975 0.08943
-3.19092 -4.33245 0.0893532
-3.18698 -4.33515 0.0892764
-3.18304 -4.33785 0.0891994
-3.1791 -4.34054 0.0891224
-3.17515 -4.34323 0.0890453
-3.1712 -4.34592 0.0889682
-3.16725 -4.3486 0.0888909
-3.1633 -4.35128 0.0888136
-3.15934 -4.35395 0.0887363
-3.15538 -4.35662 0.0886588
-3.15142 -4.35929 0.0885813
-3.14745 -4.36196 0.0885037
-3.14349 -4.36462 0.088426
-3.13952 -4.36727 0.0883483
-3.13554 -4.36993 0.0882705
-3.13157 -4.37258 0.0881926
-3.12759 -4.37522 0.0881146
-3.12361 -4.37787 0.0880366
-3.11963 -4.38051 0.0879585
-3.11565 -4.38314 0.0878803
-3.11166 -4.38577 0.0878021
-3.10767 -4.3884 0.0877238
-3.10367 -4.39103 0.0876454
-3.09968 -4.39365 0.0875669
-3.09568 -4.39627 0.0874884
-3.09168 -4.39888 0.0874098
-3.08768 -4.40149 0.0873311
-3.08367 -4.4041 0.0872523
-3.07967 -4.4067 0.0871735
-3.07566 -4.4093 0.0870946
-3.07164 -4.4119 0.0870157
-3.06763 -4.41449 0.0869366
-3.06361 -4.41708 0.0868575
-3.05959 -4.41966 0.0867783
-3.05557 -4.42224 0.0866991
-3.05154 -4.42482 0.0866198
-3.04751 -4.42739 0.0865404
-3.04348 -4.42997 0.0864609
-3.03945 -4.43253 0.0863814
-3.03541 -4.4351 0.0863018
-3.03137 -4.43765 0.0862221
-3.02733 -4.44021 0.0861424
-3.02329 -4.44276 0.0860625
-3.01925 -4.44531 0.0859827
-3.0152 -4.44786 0.0859027
-3.01115 -4.4504 0.0858227
-3.00709 -4.45294 0.0857426
-3.00304 -4.45547 0.0856624
-2.99898 -4.458 0.0855822
-2.99492 -4.46053 0.0855018
-2.99086 -4.46305 0.0854215
-2.98679 -4.46557 0.085341
-2.98272 -4.46808 0.0852605
-2.97865 -4.4706 0.0851799
-2.97458 -4.4731 0.0850992
-2.97051 -4.47561 0.0850185
-2.96643 -4.47811 0.0849377
-2.96235 -4.48061 0.0848568
-2.95827 -4.4831 0.0847759
-2.95418 -4.48559 0.0846949
-2.95009 -4.48808 0.0846138
-2.946 -4.49056 0.0845326
-2.94191 -4.49304 0.0844514
-2.93782 -4.49551 0.0843701
-2.93372 -4.49798 0.0842888
-2.92962 -4.50045 0.0842073
-2.92552 -4.50291 0.0841258
-2.92142 -4.50537 0.0840443
-2.91731 -4.50783 0.0839626
-2.9132 -4.51028 0.0838809
-2.90909 -4.51273 0.0837991
-2.90497 -4.51518 0.0837173
-2.90086 -4.51762 0.0836354
-2.89674 -4.52006 0.0835534
-2.89262 -4.52249 0.0834713
-2.8885 -4.52492 0.0833892
-2.88437 -4.52735 0.083307
-2.88024 -4.52977 0.0832248
-2.87611 -4.53219 0.0831424
-2.87198 -4.53461 0.08306
-2.86784 -4.53702 0.0829776
-2.8637 -4.53943 0.082895
-2.85956 -4.54183 0.0828124
-2.85542 -4.54423 0.0827298
-2.85128 -4.54663 0.082647
-2.84713 -4.54902 0.0825642
-2.84298 -4.55141 0.0824813
-2.83883 -4.5538 0.0823984
-2.83468 -4.55618 0.0823154
-2.83052 -4.55855 0.0822323
-2.82636 -4.56093 0.0821492
-2.8222 -4.5633 0.082066
-2.81804 -4.56567 0.0819827
-2.81387 -4.56803 0.0818993
-2.8097 -4.57039 0.0818159
-2.80553 -4.57274 0.0817324
-2.80136 -4.57509 0.0816489
-2.79718 -4.57744 0.0815652
-2.79301 -4.57979 0.0814816
-2.78883 -4.58213 0.0813978
-2.78464 -4.58446 0.081314
-2.78046 -4.5868 0.0812301
-2.77627 -4.58912 0.0811461
-2.77208 -4.59145 0.0810621
-2.76789 -4.59377 0.080978
-2.7637 -4.59609 0.0808939
-2.7595 -4.5984 0.0808096
-2.75531 -4.60071 0.0807253
-2.7511 -4.60302 0.080641
-2.7469 -4.60532 0.0805565
-2.7427 -4.60762 0.0804721
-2.73849 -4.60991 0.0803875
-2.73428 -4.6122 0.0803029
-2.73007 -4.61449 0.0802182
-2.72585 -4.61677 0.0801334
-2.72164 -4.61905 0.0800486
-2.71742 -4.62133 0.0799637
-2.7132 -4.6236 0.0798787
-2.70898 -4.62587 0.0797937
-2.70475 -4.62813 0.0797086
-2.70052 -4.63039 0.0796235
-2.69629 -4.63265 0.0795383
-2.69206 -4.6349 0.079453
-2.68783 -4.63715 0.0793676
-2.68359 -4.63939 0.0792822
-2.67935 -4.64163 0.0791967
-2.67511 -4.64387 0.0791112
-2.67087 -4.6461 0.0790255
-2.66662 -4.64833 0.0789399
-2.66238 -4.65056 0.0788541
-2.65813 -4.65278 0.0787683
-2.65387 -4.655 0.0786824
-2.64962 -4.65721 0.0785965
-2.64536 -4.65942 0.0785105
-2.64111 -4.66163 0.0784244
-2.63685 -4.66383 0.0783383
-2.63258 -4.66603 0.0782521
-2.62832 -4.66822 0.0781658
-2.62405 -4.67041 0.0780795
-2.61978 -4.6726 0.0779931
-2.61551 -4.67478 0.0779066
-2.61124 -4.67696 0.0778201
-2.60696 -4.67914 0.0777335
-2.60268 -4.68131 0.0776468
-2.5984 -4.68348 0.0775601
-2.59412 -4.68564 0.0774733
-2.58983 -4.6878 0.0773865
-2.58555 -4.68996 0.0772995
-2.58126 -4.69211 0.0772126
-2.57697 -4.69426 0.0771255
-2.57267 -4.6964 0.0770384
-2.56838 -4.69854 0.0769512
-2.56408 -4.70068 0.076864
-2.55978 -4.70281 0.0767767
-2.55548 -4.70494 0.0766893
-2.55118 -4.70706 0.0766019
-2.54687 -4.70918 0.0765144
-2.54256 -4.7113 0.0764269
-2.53825 -4.71341 0.0763393
-2.53394 -4.71552 0.0762516
-2.52963 -4.71763 0.0761638
-2.52531 -4.71973 0.076076
-2.52099 -4.72182 0.0759881
-2.51667 -4.72392 0.0759002
-2.51235 -4.72601 0.0758122
-2.50802 -4.72809 0.0757242
-2.50369 -4.73017 0.075636
-2.49937 -4.73225 0.0755478
-2.49503 -4.73432 0.0754596
-2.4907 -4.73639 0.0753713
-2.48637 -4.73846 0.0752829
-2.48203 -4.74052 0.0751945
-2.47769 -4.74258 0.075106
-2.47335 -4.74463 0.0750174
-2.469 -4.74668 0.0749288
-2.46466 -4.74873 0.0748401
-2.46031 -4.75077 0.0747513
-2.45596 -4.75281 0.0746625
-2.45161 -4.75484 0.0745737
-2.44726 -4.75687 0.0744847
-2.4429 -4.7589 0.0743957
-2.43854 -4.76092 0.0743067
-2.43418 -4.76294 0.0742175
-2.42982 -4.76495 0.0741283
-2.42546 -4.76696 0.0740391
-2.42109 -4.76897 0.0739498
-2.41672 -4.77097 0.0738604
-2.41235 -4.77297 0.073771
-2.40798 -4.77496 0.0736815
-2.40361 -4.77695 0.0735919
-2.39923 -4.77894 0.0735023
-2.39485 -4.78092 0.0734126
-2.39047 -4.7829 0.0733229
-2.38609 -4.78487 0.0732331
-2.38171 -4.78684 0.0731432
-2.37732 -4.78881 0.0730533
-2.37293 -4.79077 0.0729633
-2.36854 -4.79273 0.0728733
-2.36415 -4.79468 0.0727832
-2.35976 -4.79663 0.072693
-2.35536 -4.79858 0.0726028
-2.35096 -4.80052 0.0725125
-2.34656 -4.80246 0.0724222
-2.34216 -4.80439 0.0723317
-2.33776 -4.80632 0.0722413
-2.33335 -4.80825 0.0721508
-2.32894 -4.81017 0.0720602
