x y z
0.00433861 0.0027862 -0.000108664
0.00433614 0.00278991 -0.000108623
0.00433366 0.00279361 -0.000108583
0.00433118 0.00279732 -0.000108543
0.00432869 0.00280102 -0.000108502
0.0043262 0.00280472 -0.000108462
0.00432371 0.00280842 -0.000108421
0.00432122 0.00281211 -0.00010838
0.00431872 0.00281581 -0.00010834
0.00431622 0.0028195 -0.000108299
0.00431372 0.00282319 -0.000108258
0.00431121 0.00282688 -0.000108217
0.0043087 0.00283056 -0.000108176
0.00430618 0.00283424 -0.000108134
0.00430367 0.00283793 -0.000108093
0.00430115 0.00284161 -0.000108052
0.00429863 0.00284528 -0.00010801
0.0042961 0.00284896 -0.000107969
0.00429357 0.00285263 -0.000107927
0.00429104 0.0028563 -0.000107885
0.0042885 0.00285997 -0.000107843
0.00428597 0.00286364 -0.000107801
0.00428342 0.0028673 -0.000107759
0.00428088 0.00287097 -0.000107717
0.00427833 0.00287463 -0.000107675
0.00427578 0.00287829 -0.000107633
0.00427323 0.00288194 -0.00010759
0.00427067 0.0028856 -0.000107548
0.00426811 0.00288925 -0.000107505
0.00426555 0.0028929 -0.000107463
0.00426298 0.00289655 -0.00010742
0.00426041 0.0029002 -0.000107377
0.00425784 0.00290384 -0.000107335
0.00425526 0.00290749 -0.000107292
0.00425268 0.00291113 -0.000107249
0.0042501 0.00291477 -0.000107205
0.00424752 0.0029184 -0.000107162
0.00424493 0.00292204 -0.000107119
0.00424234 0.00292567 -0.000107076
0.00423974 0.0029293 -0.000107032
0.00423714 0.00293293 -0.000106989
0.00423454 0.00293656 -0.000106945
0.00423194 0.00294018 -0.000106901
0.00422933 0.0029438 -0.000106857
0.00422672 0.00294742 -0.000106813
0.00422411 0.00295104 -0.00010677
0.00422149 0.00295466 -0.000106725
0.00421887 0.00295827 -0.000106681
0.00421625 0.00296189 -0.000106637
0.00421362 0.0029655 -0.000106593
0.00421099 0.0029691 -0.000106548
0.00420836 0.00297271 -0.000106504
0.00420572 0.00297631 -0.000106459
0.00420309 0.00297992 -0.000106415
0.00420044 0.00298352 -0.00010637
0.0041978 0.00298711 -0.000106325
0.00419515 0.00299071 -0.00010628
0.0041925 0.0029943 -0.000106235
0.00418984 0.0029979 -0.00010619
0.00418719 0.00300149 -0.000106145
0.00418452 0.00300507 -0.0001061
0.00418186 0.00300866 -0.000106054
0.00417919 0.00301224 -0.000106009
0.00417652 0.00301582 -0.000105963
0.00417385 0.0030194 -0.000105918
0.00417117 0.00302298 -0.000105872
0.00416849 0.00302656 -0.000105826
0.00416581 0.00303013 -0.000105781
0.00416312 0.0030337 -0.000105735
0.00416043 0.00303727 -0.000105689
0.00415774 0.00304084 -0.000105643
0.00415504 0.0030444 -0.000105596
0.00415234 0.00304797 -0.00010555
0.00414964 0.00305153 -0.000105504
0.00414693 0.00305509 -0.000105457
0.00414422 0.00305864 -0.000105411
0.00414151 0.0030622 -0.000105364
0.0041388 0.00306575 -0.000105318
0.00413608 0.0030693 -0.000105271
0.00413336 0.00307285 -0.000105224
0.00413063 0.0030764 -0.000105177
0.0041279 0.00307994 -0.00010513
0.00412517 0.00308348 -0.000105083
0.00412244 0.00308702 -0.000105036
0.0041197 0.00309056 -0.000104988
0.00411696 0.0030941 -0.000104941
0.00411421 0.00309763 -0.000104894
0.00411146 0.00310116 -0.000104846
0.00410871 0.00310469 -0.000104798
0.00410596 0.00310822 -0.000104751
0.0041032 0.00311175 -0.000104703
0.00410044 0.00311527 -0.000104655
0.00409768 0.00311879 -0.000104607
0.00409491 0.00312231 -0.000104559
0.00409214 0.00312583 -0.000104511
0.00408936 0.00312934 -0.000104463
0.00408659 0.00313286 -0.000104415
0.00408381 0.00313637 -0.000104366
0.00408102 0.00313988 -0.000104318
0.00407824 0.00314338 -0.000104269
0.00407545 0.00314689 -0.000104221
0.00407265 0.00315039 -0.000104172
0.00406986 0.00315389 -0.000104123
0.00406706 0.00315739 -0.000104074
0.00406425 0.00316088 -0.000104025
0.00406145 0.00316438 -0.000103976
0.00405864 0.00316787 -0.000103927
0.00405582 0.00317136 -0.000103878
0.00405301 0.00317484 -0.000103829
0.00405019 0.00317833 -0.000103779
0.00404736 0.00318181 -0.00010373
0.00404454 0.00318529 -0.00010368
0.00404171 0.00318877 -0.000103631
0.00403887 0.00319225 -0.000103581
0.00403604 0.00319572 -0.000103531
0.0040332 0.00319919 -0.000103481
0.00403035 0.00320266 -0.000103431
0.00402751 0.00320613 -0.000103381
0.00402466 0.0032096 -0.000103331
0.00402181 0.00321306 -0.000103281
0.00401895 0.00321652 -0.000103231
0.00401609 0.00321998 -0.000103181
0.00401323 0.00322344 -0.00010313
0.00401036 0.00322689 -0.00010308
0.00400749 0.00323034 -0.000103029
