t x y
0 0.900875 0.435437
0.00500501 0.885903 0.463267
0.01001 0.870054 0.49064
0.015015 0.853343 0.517525
0.02002 0.835782 0.543895
0.025025 0.817387 0.569723
0.03003 0.798176 0.594981
0.035035 0.778164 0.619643
0.04004 0.757371 0.643682
0.045045 0.735814 0.667073
0.0500501 0.713515 0.689791
0.0550551 0.690494 0.711811
0.0600601 0.666773 0.733109
0.0650651 0.642375 0.753662
0.0700701 0.617322 0.773447
0.0750751 0.591639 0.792443
0.0800801 0.565351 0.810629
0.0850851 0.538485 0.827985
0.0900901 0.511065 0.844491
0.0950951 0.48312 0.860128
0.1001 0.454677 0.874879
0.105105 0.425765 0.888728
0.11011 0.396414 0.901659
0.115115 0.366652 0.913656
0.12012 0.336509 0.924706
0.125125 0.306018 0.934796
0.13013 0.275209 0.943915
0.135135 0.244113 0.952052
0.14014 0.212763 0.959198
0.145145 0.181191 0.965343
0.15015 0.14943 0.97048
0.155155 0.117513 0.974604
0.16016 0.0854735 0.977709
0.165165 0.0533443 0.979792
0.17017 0.0211592 0.980848
0.175175 -0.0110481 0.980878
0.18018 -0.0432438 0.979879
0.185185 -0.0753942 0.977854
0.19019 -0.107465 0.974804
0.195195 -0.139424 0.970731
0.2002 -0.171237 0.965641
0.205205 -0.20287 0.959539
0.21021 -0.23429 0.95243
0.215215 -0.265465 0.944324
0.22022 -0.296361 0.935227
0.225225 -0.326947 0.925152
0.23023 -0.357191 0.914108
0.235235 -0.387061 0.902107
0.24024 -0.416527 0.889164
0.245245 -0.445557 0.875291
0.25025 -0.474123 0.860505
0.255255 -0.502194 0.844822
0.26026 -0.529742 0.828259
0.265265 -0.556738 0.810833
0.27027 -0.583156 0.792565
0.275275 -0.608969 0.773475
0.28028 -0.63415 0.753582
0.285285 -0.658675 0.73291
0.29029 -0.682519 0.711479
0.295295 -0.705659 0.689315
0.3003 -0.728072 0.666441
0.305305 -0.749736 0.642881
0.31031 -0.770631 0.618661
0.315315 -0.790735 0.593808
0.32032 -0.810032 0.568347
0.325325 -0.828501 0.542306
0.33033 -0.846126 0.515712
0.335335 -0.862892 0.488595
0.34034 -0.878782 0.460982
0.345345 -0.893783 0.432902
0.35035 -0.907882 0.404385
0.355355 -0.921066 0.375461
0.36036 -0.933324 0.34616
0.365365 -0.944647 0.316511
0.37037 -0.955024 0.286546
0.375375 -0.964449 0.256295
0.38038 -0.972915 0.225789
0.385385 -0.980414 0.195059
0.39039 -0.986943 0.164136
0.395395 -0.992498 0.133051
0.4004 -0.997075 0.101835
0.405405 -1.00067 0.0705183
0.41041 -1.00329 0.0391329
0.415415 -1.00493 0.00770929
0.42042 -1.00558 -0.0237218
0.425425 -1.00527 -0.0551299
0.43043 -1.00397 -0.0864846
0.435435 -1.00171 -0.117756
0.44044 -0.998479 -0.148913
0.445445 -0.99429 -0.179928
0.45045 -0.989147 -0.21077
0.455455 -0.98306 -0.24141
0.46046 -0.976035 -0.27182
0.465465 -0.968081 -0.301972
0.47047 -0.95921 -0.331838
0.475475 -0.949432 -0.361389
0.48048 -0.938758 -0.3906
0.485485 -0.927201 -0.419443
0.49049 -0.914774 -0.447893
0.495495 -0.90149 -0.475924
0.500501 -0.887366 -0.50351
0.505506 -0.872414 -0.530627
0.510511 -0.856653 -0.557252
0.515516 -0.840098 -0.58336
0.520521 -0.822766 -0.608929
0.525526 -0.804675 -0.633936
0.530531 -0.785845 -0.65836
0.535536 -0.766293 -0.68218
0.540541 -0.746039 -0.705376
0.545546 -0.725103 -0.727926
0.550551 -0.703507 -0.749813
0.555556 -0.68127 -0.771018
0.560561 -0.658415 -0.791523
0.565566 -0.634963 -0.81131
0.570571 -0.610937 -0.830364
0.575576 -0.586359 -0.848668
0.580581 -0.561253 -0.866208
0.585586 -0.535643 -0.882968
0.590591 -0.509551 -0.898936
0.595596 -0.483003 -0.914098
0.600601 -0.456022 -0.928442
0.605606 -0.428634 -0.941956
0.610611 -0.400864 -0.95463
0.615616 -0.372736 -0.966453
0.620621 -0.344277 -0.977417
0.625626 -0.315511 -0.987512
0.630631 -0.286466 -0.99673
0.635636 -0.257167 -1.00506
0.640641 -0.22764 -1.01251
0.645646 -0.197911 -1.01906
0.650651 -0.168008 -1.0247
0.655656 -0.137956 -1.02945
0.660661 -0.107782 -1.03328
0.665666 -0.0775136 -1.0362
0.670671 -0.0471766 -1.03821
0.675676 -0.0167981 -1.03931
0.680681 0.0135953 -1.03949
0.685686 0.0439766 -1.03875
0.690691 0.0743193 -1.0371
0.695696 0.104597 -1.03454
0.700701 0.134782 -1.03107
0.705706 0.164849 -1.02669
0.710711 0.19477 -1.02141
0.715716 0.224521 -1.01523
0.720721 0.254074 -1.00815
0.725726 0.283403 -1.00019
0.730731 0.312483 -0.991351
0.735736 0.341288 -0.981637
0.740741 0.369791 -0.971058
0.745746 0.39797 -0.959623
0.750751 0.425797 -0.947342
0.755756 0.453248 -0.934224
0.760761 0.480299 -0.920281
0.765766 0.506925 -0.905525
0.770771 0.533102 -0.889967
0.775776 0.558808 -0.873621
0.780781 0.584018 -0.856501
0.785786 0.608709 -0.83862
0.790791 0.63286 -0.819994
0.795796 0.656447 -0.800638
0.800801 0.67945 -0.780569
0.805806 0.701846 -0.759803
0.810811 0.723615 -0.738358
0.815816 0.744736 -0.716253
0.820821 0.76519 -0.693505
0.825826 0.784957 -0.670134
0.830831 0.804017 -0.646161
0.835836 0.822353 -0.621606
0.840841 0.839947 -0.596489
0.845846 0.856781 -0.570833
0.850851 0.872838 -0.544659
0.855856 0.888103 -0.517991
0.860861 0.90256 -0.490852
0.865866 0.916193 -0.463265
0.870871 0.92899 -0.435254
0.875876 0.940935 -0.406845
0.880881 0.952017 -0.378063
0.885886 0.962223 -0.348932
0.890891 0.971541 -0.31948
0.895896 0.979961 -0.289733
0.900901 0.987473 -0.259717
0.905906 0.994068 -0.229459
0.910911 0.999736 -0.198988
0.915916 1.00447 -0.168331
0.920921 1.00827 -0.137517
0.925926 1.01112 -0.106573
0.930931 1.01301 -0.0755296
0.935936 1.01395 -0.0444145
0.940941 1.01394 -0.0132575
0.945946 1.01296 0.0179121
0.950951 1.01102 0.0490647
0.955956 1.00811 0.0801705
0.960961 1.00424 0.1112
0.965966 0.999405 0.142122
0.970971 0.993611 0.172908
0.975976 0.986859 0.203527
0.980981 0.979153 0.23395
0.985986 0.970498 0.264145
0.990991 0.9609 0.294084
0.995996 0.950365 0.323737
1.001 0.938902 0.353073
1.00601 0.926518 0.382063
1.01101 0.913225 0.410678
1.01602 0.899032 0.438888
1.02102 0.883951 0.466664
1.02603 0.867994 0.493979
1.03103 0.851176 0.520803
1.03604 0.833511 0.547109
1.04104 0.815014 0.572869
1.04605 0.795702 0.598056
1.05105 0.775592 0.622643
1.05606 0.754702 0.646605
1.06106 0.733052 0.669915
1.06607 0.710662 0.692548
1.07107 0.687552 0.714481
1.07608 0.663745 0.735688
1.08108 0.639263 0.756148
1.08609 0.61413 0.775838
1.09109 0.58837 0.794735
1.0961 0.562009 0.81282
1.1011 0.535071 0.830072
1.10611 0.507584 0.846471
1.11111 0.479575 0.862
1.11612 0.451072 0.876641
