t x y
0 0.900875 0.435437
0.00500501 0.886348 0.463482
0.01001 0.870945 0.49107
0.015015 0.854681 0.518172
0.02002 0.837572 0.544761
0.025025 0.819632 0.570811
0.03003 0.800879 0.596294
0.035035 0.781331 0.621185
0.04004 0.761007 0.645458
0.045045 0.739925 0.66909
0.0500501 0.718106 0.692055
0.0550551 0.695572 0.714331
0.0600601 0.672345 0.735894
0.0650651 0.648446 0.756723
0.0700701 0.623899 0.776795
0.0750751 0.598729 0.796091
0.0800801 0.57296 0.814591
0.0850851 0.546617 0.832276
0.0900901 0.519727 0.849127
0.0950951 0.492316 0.865128
0.1001 0.464412 0.880261
0.105105 0.436042 0.894511
0.11011 0.407234 0.907864
0.115115 0.378018 0.920305
0.12012 0.348422 0.931823
0.125125 0.318476 0.942405
0.13013 0.288211 0.95204
0.135135 0.257655 0.960718
0.14014 0.226841 0.968431
0.145145 0.195799 0.975171
0.15015 0.16456 0.980931
0.155155 0.133156 0.985705
0.16016 0.101618 0.989488
0.165165 0.0699775 0.992277
0.17017 0.038267 0.994069
0.175175 0.006518 0.994863
0.18018 -0.0252375 0.994657
0.185185 -0.0569677 0.993452
0.19019 -0.0886408 0.99125
0.195195 -0.120225 0.988054
0.2002 -0.151688 0.983866
0.205205 -0.183 0.978692
0.21021 -0.214128 0.972537
0.215215 -0.245041 0.965407
0.22022 -0.275709 0.957312
0.225225 -0.306102 0.948258
0.23023 -0.336188 0.938256
0.235235 -0.365938 0.927317
0.24024 -0.395323 0.915452
0.245245 -0.424314 0.902673
0.25025 -0.452881 0.888995
0.255255 -0.480997 0.87443
0.26026 -0.508635 0.858996
0.265265 -0.535766 0.842707
0.27027 -0.562366 0.825581
0.275275 -0.588407 0.807635
0.28028 -0.613865 0.788889
0.285285 -0.638714 0.769361
0.29029 -0.662931 0.749071
0.295295 -0.686493 0.728042
0.3003 -0.709378 0.706293
0.305305 -0.731562 0.683847
0.31031 -0.753025 0.660728
0.315315 -0.773748 0.636958
0.32032 -0.79371 0.612562
0.325325 -0.812892 0.587565
0.33033 -0.831277 0.561991
0.335335 -0.848849 0.535867
0.34034 -0.865589 0.509219
0.345345 -0.881484 0.482074
0.35035 -0.896519 0.454457
0.355355 -0.910681 0.426399
0.36036 -0.923956 0.397925
0.365365 -0.936332 0.369064
0.37037 -0.9478 0.339845
0.375375 -0.95835 0.310297
0.38038 -0.967971 0.280448
0.385385 -0.976656 0.250328
0.39039 -0.984399 0.219966
0.395395 -0.991192 0.189392
0.4004 -0.997031 0.158636
0.405405 -1.00191 0.127727
0.41041 -1.00583 0.096696
0.415415 -1.00878 0.0655719
0.42042 -1.01077 0.0343849
0.425425 -1.01179 0.00316507
0.43043 -1.01184 -0.0280578
0.435435 -1.01093 -0.0592539
0.44044 -1.00905 -0.0903936
0.445445 -1.00621 -0.121447
0.45045 -1.00242 -0.152385
0.455455 -0.997678 -0.183179
0.46046 -0.991988 -0.213799
0.465465 -0.985358 -0.244216
0.47047 -0.977797 -0.274403
0.475475 -0.969312 -0.30433
0.48048 -0.959912 -0.33397
0.485485 -0.949607 -0.363295
0.49049 -0.938409 -0.392278
0.495495 -0.926328 -0.420892
0.500501 -0.913376 -0.449111
0.505506 -0.899568 -0.476909
0.510511 -0.884916 -0.504259
0.515516 -0.869436 -0.531138
0.520521 -0.853142 -0.557519
0.525526 -0.836051 -0.583379
0.530531 -0.818179 -0.608694
0.535536 -0.799544 -0.633442
0.540541 -0.780164 -0.657599
0.545546 -0.760057 -0.681144
0.550551 -0.739242 -0.704055
0.555556 -0.717741 -0.726311
0.560561 -0.695572 -0.747892
0.565566 -0.672758 -0.768779
